Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Seq,Cold,0,0,8192,64,179045936,149204946.66666666,536870912,8388608,28.785689696972515,56222050.18939945
BW_DMA_RD,Seq,Cold,1,0,8192,64,206429360,172024466.66666666,536870912,8388608,24.96718855883679,48764040.1539781
BW_DMA_RD,Seq,Cold,2,0,8192,64,206429840,172024866.66666666,536870912,8388608,24.967130504000778,48763926.76562652
BW_DMA_RD,Seq,Cold,3,0,8192,64,206413600,172011333.33333334,536870912,8388608,24.96909484258789,48767763.364429474
BW_DMA_RD,Seq,Cold,4,0,8192,64,206302272,171918560.0,536870912,8388608,24.982569048972955,48794080.17377531
BW_DMA_RD,Seq,Cold,6,0,8192,64,206401344,172001120.0,536870912,8388608,24.970577493913993,48770659.16780077
BW_DMA_RD,Seq,Cold,8,0,8192,64,192130192,160108493.33333334,536870912,8388608,26.82535577333936,52393272.994803436
BW_DMA_RD,Seq,Cold,12,0,8192,64,207020944,172517453.33333334,536870912,8388608,24.895842206187602,48624691.808960155
BW_DMA_RD,Seq,Cold,16,0,8192,64,202772816,168977346.66666666,536870912,8388608,25.417414705134835,49643388.09596647
BW_DMA_RD,Seq,Cold,20,0,8192,64,206725344,172271120.0,536870912,8388608,24.931441184105612,48694221.06270628
BW_DMA_RD,Seq,Cold,25,0,8192,64,207405632,172838026.66666666,536870912,8388608,24.84966635428685,48534504.59821651
BW_DMA_RD,Seq,Cold,32,0,8192,64,203576736,169647280.0,536870912,8388608,25.317041900111807,49447347.46115587
BW_DMA_RD,Seq,Cold,41,0,8192,64,206909760,172424800.0,536870912,8388608,24.909220112188038,48650820.53161726
BW_DMA_RD,Seq,Cold,48,0,8192,64,203251456,169376213.33333334,536870912,8388608,25.357558841792503,49526482.11287598
BW_DMA_RD,Seq,Cold,63,0,8192,64,206814704,172345586.66666666,536870912,8388608,24.92066886694865,48673181.38075908
BW_DMA_RD,Seq,Cold,0,0,8192,64,179054432,149212026.66666666,536870912,8388608,28.78432383734573,56219382.49481588
BW_DMA_RD,Seq,Cold,0,1,8192,64,410958320,342465266.6666667,536870912,8388608,12.54132232971947,24494770.175233338
BW_DMA_RD,Seq,Cold,0,2,8192,64,410977808,342481506.6666667,536870912,8388608,12.54072763753706,24493608.66706457
BW_DMA_RD,Seq,Cold,0,3,8192,64,410958928,342465773.3333333,536870912,8388608,12.541303775252208,24494733.936039466
BW_DMA_RD,Seq,Cold,0,4,8192,64,410971568,342476306.6666667,536870912,8388608,12.540918050077858,24493980.566558316
BW_DMA_RD,Seq,Cold,0,6,8192,64,410956736,342463946.6666667,536870912,8388608,12.541370669247284,24494864.5883736
BW_DMA_RD,Seq,Cold,0,8,8192,64,179061072,149217560.0,536870912,8388608,28.78325644783362,56217297.749675035
BW_DMA_RD,Seq,Cold,0,12,8192,64,410965376,342471146.6666667,536870912,8388608,12.541107003622612,24494349.616450414
BW_DMA_RD,Seq,Cold,0,16,8192,64,179054480,149212066.66666666,536870912,8388608,28.784316120992898,56219367.42381426
BW_DMA_RD,Seq,Cold,0,20,8192,64,410970528,342475440.0,536870912,8388608,12.540949786063491,24494042.550905254
BW_DMA_RD,Seq,Cold,0,25,8192,64,410981104,342484253.3333333,536870912,8388608,12.540627062990225,24493412.232402783
BW_DMA_RD,Seq,Cold,0,32,8192,64,179063968,149219973.33333334,536870912,8388608,28.782790936476957,56216388.54780655
BW_DMA_RD,Seq,Cold,0,41,8192,64,410964592,342470493.3333333,536870912,8388608,12.54113092837935,24494396.344490916
BW_DMA_RD,Seq,Cold,0,48,8192,64,179048368,149206973.33333334,536870912,8388608,28.785298703197338,56221286.52968229
BW_DMA_RD,Seq,Cold,0,63,8192,64,410964496,342470413.3333333,536870912,8388608,12.54113385794767,24494402.066304043
BW_DMA_RD,Seq,Cold,0,0,8192,128,244430992,203692493.33333334,1073741824,8388608,42.171090605400806,41182705.66933673
BW_DMA_RD,Seq,Cold,1,0,8192,128,291190544,242658786.66666666,1073741824,8388608,35.39923161241115,34569562.12149527
BW_DMA_RD,Seq,Cold,2,0,8192,128,291187456,242656213.33333334,1073741824,8388608,35.399607016038495,34569928.72660009
BW_DMA_RD,Seq,Cold,3,0,8192,128,291187184,242655986.66666666,1073741824,8388608,35.3996400830608,34569961.01861406
BW_DMA_RD,Seq,Cold,4,0,8192,128,291175232,242646026.66666666,1073741824,8388608,35.401093147922694,34571380.02726825
BW_DMA_RD,Seq,Cold,6,0,8192,128,291196192,242663493.33333334,1073741824,8388608,35.39854501394029,34568891.61517607
BW_DMA_RD,Seq,Cold,8,0,8192,128,269870416,224892013.33333334,1073741824,8388608,38.19581880512609,37300604.30188094
BW_DMA_RD,Seq,Cold,12,0,8192,128,291171920,242643266.66666666,1073741824,8388608,35.401495825559,34571773.26714747
BW_DMA_RD,Seq,Cold,16,0,8192,128,291090000,242575000.0,1073741824,8388608,35.411458691126455,34581502.62805318
BW_DMA_RD,Seq,Cold,20,0,8192,128,291180800,242650666.66666666,1073741824,8388608,35.400416203266154,34570718.9485021
BW_DMA_RD,Seq,Cold,25,0,8192,128,291177104,242647586.66666666,1073741824,8388608,35.40086555157167,34571157.7652067
BW_DMA_RD,Seq,Cold,32,0,8192,128,291089792,242574826.66666666,1073741824,8388608,35.411483994601916,34581527.33847843
BW_DMA_RD,Seq,Cold,41,0,8192,128,291088736,242573946.66666666,1073741824,8388608,35.411612458958224,34581652.79195139
BW_DMA_RD,Seq,Cold,48,0,8192,128,291092000,242576666.66666666,1073741824,8388608,35.411215390323335,34581265.02961263
BW_DMA_RD,Seq,Cold,63,0,8192,128,291091648,242576373.33333334,1073741824,8388608,35.41125821102225,34581306.84670142
BW_DMA_RD,Seq,Cold,0,0,8192,128,244425472,203687893.33333334,1073741824,8388608,42.17204297921945,41183635.72189399
BW_DMA_RD,Seq,Cold,0,1,8192,128,446643472,372202893.3333333,1073741824,8388608,23.078634652920666,22537729.153242834
BW_DMA_RD,Seq,Cold,0,2,8192,128,446645648,372204706.6666667,1073741824,8388608,23.07852221678873,22537619.35233275
BW_DMA_RD,Seq,Cold,0,3,8192,128,446648288,372206906.6666667,1073741824,8388608,23.078385806776,22537486.13942969
BW_DMA_RD,Seq,Cold,0,4,8192,128,446643984,372203320.0,1073741824,8388608,23.078608197261648,22537703.317638326
BW_DMA_RD,Seq,Cold,0,6,8192,128,446648976,372207480.0,1073741824,8388608,23.078350257764836,22537451.423598472
BW_DMA_RD,Seq,Cold,0,8,8192,128,244424000,203686666.66666666,1073741824,8388608,42.17229695283606,41183883.743003964
BW_DMA_RD,Seq,Cold,0,12,8192,128,446643200,372202666.6666667,1073741824,8388608,23.078648707514184,22537742.87843182
BW_DMA_RD,Seq,Cold,0,16,8192,128,244416624,203680520.0,1073741824,8388608,42.17356962757165,41185126.58942544
BW_DMA_RD,Seq,Cold,0,20,8192,128,446643088,372202573.3333333,1073741824,8388608,23.07865449470473,22537748.52998509
BW_DMA_RD,Seq,Cold,0,25,8192,128,446645040,372204200.0,1073741824,8388608,23.078553632656483,22537650.031891096
