Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Seq,HWarm,0,0,8192,64,212372400,176977000.0,536870912,8388608,24.26850548941388,47399424.78401148
BW_DMA_WR,Seq,HWarm,1,0,8192,64,212411152,177009293.33333334,536870912,8388608,24.264077976470837,47390777.2977946
BW_DMA_WR,Seq,HWarm,2,0,8192,64,212411248,177009373.33333334,536870912,8388608,24.26406701023667,47390755.8793685
BW_DMA_WR,Seq,HWarm,3,0,8192,64,212411200,177009333.33333334,536870912,8388608,24.264072493352515,47390766.588579126
BW_DMA_WR,Seq,HWarm,4,0,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,6,0,8192,64,212411056,177009213.33333334,536870912,8388608,24.26408894271492,47390798.71624008
BW_DMA_WR,Seq,HWarm,8,0,8192,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Seq,HWarm,12,0,8192,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Seq,HWarm,16,0,8192,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Seq,HWarm,20,0,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,25,0,8192,64,212411360,177009466.66666666,536870912,8388608,24.264054216309336,47390730.89122917
BW_DMA_WR,Seq,HWarm,32,0,8192,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Seq,HWarm,41,0,8192,64,212411200,177009333.33333334,536870912,8388608,24.264072493352515,47390766.588579126
BW_DMA_WR,Seq,HWarm,48,0,8192,64,212372352,176976960.0,536870912,8388608,24.268510974535893,47399435.49714042
BW_DMA_WR,Seq,HWarm,63,0,8192,64,212411216,177009346.66666666,536870912,8388608,24.264070665646962,47390763.01884172
BW_DMA_WR,Seq,HWarm,0,0,8192,64,212372368,176976973.33333334,536870912,8388608,24.268509146161612,47399431.9260969
BW_DMA_WR,Seq,HWarm,0,1,8192,64,212735280,177279400.0,536870912,8388608,24.22710871088237,47318571.70094213
BW_DMA_WR,Seq,HWarm,0,2,8192,64,212735280,177279400.0,536870912,8388608,24.22710871088237,47318571.70094213
BW_DMA_WR,Seq,HWarm,0,3,8192,64,212735216,177279346.66666666,536870912,8388608,24.227115999449758,47318585.93642531
BW_DMA_WR,Seq,HWarm,0,4,8192,64,212735328,177279440.0,536870912,8388608,24.22710324445971,47318561.02433536
BW_DMA_WR,Seq,HWarm,0,6,8192,64,212735248,177279373.33333334,536870912,8388608,24.227112355165513,47318578.81868264
BW_DMA_WR,Seq,HWarm,0,8,8192,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Seq,HWarm,0,12,8192,64,212735312,177279426.66666666,536870912,8388608,24.227105066600323,47318564.583203755
BW_DMA_WR,Seq,HWarm,0,16,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,0,20,8192,64,212735344,177279453.33333334,536870912,8388608,24.227101422319368,47318557.46546751
BW_DMA_WR,Seq,HWarm,0,25,8192,64,212735264,177279386.66666666,536870912,8388608,24.227110533023808,47318575.259812124
BW_DMA_WR,Seq,HWarm,0,32,8192,64,212372480,176977066.66666666,536870912,8388608,24.268496347549362,47399406.92880735
BW_DMA_WR,Seq,HWarm,0,41,8192,64,212735328,177279440.0,536870912,8388608,24.22710324445971,47318561.02433536
BW_DMA_WR,Seq,HWarm,0,48,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,0,63,8192,64,212735152,177279293.33333334,536870912,8388608,24.227123288021527,47318600.17191705
BW_DMA_WR,Seq,HWarm,0,0,8192,128,243369376,202807813.33333334,1073741824,8388608,42.355047622754306,41362351.19409601
BW_DMA_WR,Seq,HWarm,1,0,8192,128,279092048,232576706.66666666,1073741824,8388608,36.93377000264802,36068134.768210955
BW_DMA_WR,Seq,HWarm,2,0,8192,128,279089136,232574280.0,1073741824,8388608,36.93415536748088,36068511.10105554
BW_DMA_WR,Seq,HWarm,3,0,8192,128,279091568,232576306.66666666,1073741824,8388608,36.93383352377024,36068196.800556876
BW_DMA_WR,Seq,HWarm,4,0,8192,128,263137824,219281520.0,1073741824,8388608,39.173089424042665,38254970.14066666
BW_DMA_WR,Seq,HWarm,6,0,8192,128,279091744,232576453.33333334,1073741824,8388608,36.933810232666715,36068174.05533859
BW_DMA_WR,Seq,HWarm,8,0,8192,128,263135584,219279653.33333334,1073741824,8388608,39.17342289365166,38255295.7945817
BW_DMA_WR,Seq,HWarm,12,0,8192,128,263134416,219278680.0,1073741824,8388608,39.17359677648552,38255465.60203664
BW_DMA_WR,Seq,HWarm,16,0,8192,128,259201712,216001426.66666666,1073741824,8388608,39.76795303882869,38835891.63948115
BW_DMA_WR,Seq,HWarm,20,0,8192,128,265095520,220912933.33333334,1073741824,8388608,38.8838012441704,37972462.15251016
BW_DMA_WR,Seq,HWarm,25,0,8192,128,281692432,234743693.33333334,1073741824,8388608,36.592823730528906,35735179.42434464
BW_DMA_WR,Seq,HWarm,32,0,8192,128,262424080,218686733.33333334,1073741824,8388608,39.27963283857182,38359016.443917796
BW_DMA_WR,Seq,HWarm,41,0,8192,128,281642960,234702466.66666666,1073741824,8388608,36.599251443742816,35741456.48803009
BW_DMA_WR,Seq,HWarm,48,0,8192,128,259703504,216419586.66666666,1073741824,8388608,39.691114488774865,38760853.9929442
BW_DMA_WR,Seq,HWarm,63,0,8192,128,279597856,232998213.33333334,1073741824,8388608,36.86695476806517,36002885.51568864
BW_DMA_WR,Seq,HWarm,0,0,8192,128,243369440,202807866.66666666,1073741824,8388608,42.35503648444932,41362340.31684504
BW_DMA_WR,Seq,HWarm,0,1,8192,128,382521216,318767680.0,1073741824,8388608,26.94731972827358,26315741.92214217
BW_DMA_WR,Seq,HWarm,0,2,8192,128,382521200,318767666.6666667,1073741824,8388608,26.947320855419253,26315743.022870366
BW_DMA_WR,Seq,HWarm,0,3,8192,128,382521200,318767666.6666667,1073741824,8388608,26.947320855419253,26315743.022870366
BW_DMA_WR,Seq,HWarm,0,4,8192,128,382521200,318767666.6666667,1073741824,8388608,26.947320855419253,26315743.022870366
BW_DMA_WR,Seq,HWarm,0,6,8192,128,382521216,318767680.0,1073741824,8388608,26.94731972827358,26315741.92214217
BW_DMA_WR,Seq,HWarm,0,8,8192,128,243369584,202807986.66666666,1073741824,8388608,42.355011423284516,41362315.843051285
BW_DMA_WR,Seq,HWarm,0,12,8192,128,382521200,318767666.6666667,1073741824,8388608,26.947320855419253,26315743.022870366
BW_DMA_WR,Seq,HWarm,0,16,8192,128,243369392,202807826.66666666,1073741824,8388608,42.35504483817751,41362348.47478273
BW_DMA_WR,Seq,HWarm,0,20,8192,128,382521216,318767680.0,1073741824,8388608,26.94731972827358,26315741.92214217
BW_DMA_WR,Seq,HWarm,0,25,8192,128,382521200,318767666.6666667,1073741824,8388608,26.947320855419253,26315743.022870366
BW_DMA_WR,Seq,HWarm,0,32,8192,128,243369680,202808066.66666666,1073741824,8388608,42.354994715857785,41362299.52720487
BW_DMA_WR,Seq,HWarm,0,41,8192,128,382521184,318767653.3333333,1073741824,8388608,26.947321982565025,26315744.123598658
BW_DMA_WR,Seq,HWarm,0,48,8192,128,243369328,202807773.33333334,1073741824,8388608,42.355055976486895,41362359.35203799
BW_DMA_WR,Seq,HWarm,0,63,8192,128,382521216,318767680.0,1073741824,8388608,26.94731972827358,26315741.92214217
BW_DMA_WR,Seq,HWarm,0,0,8192,256,408329968,340274973.3333333,2147483648,8388608,50.48819493160492,24652438.93144772
BW_DMA_WR,Seq,HWarm,1,0,8192,256,464006608,386672173.3333333,2147483648,8388608,44.4300634201313,21694366.904360984
BW_DMA_WR,Seq,HWarm,2,0,8192,256,463996848,386664040.0,2147483648,8388608,44.4309979898829,21694823.237247508
BW_DMA_WR,Seq,HWarm,3,0,8192,256,463990032,386658360.0,2147483648,8388608,44.431650679943914,21695141.933566365
BW_DMA_WR,Seq,HWarm,4,0,8192,256,451429680,376191400.0,2147483648,8388608,45.667894545170356,22298776.633383963
BW_DMA_WR,Seq,HWarm,6,0,8192,256,464008768,386673973.3333333,2147483648,8388608,44.429856594434014,21694265.915250983
BW_DMA_WR,Seq,HWarm,8,0,8192,256,451373312,376144426.6666667,2147483648,8388608,45.67359760250956,22301561.32935037
BW_DMA_WR,Seq,HWarm,12,0,8192,256,451411952,376176626.6666667,2147483648,8388608,45.66968802988185,22299652.358340748
BW_DMA_WR,Seq,HWarm,16,0,8192,256,441510928,367925773.3333333,2147483648,8388608,46.69384541439935,22799729.20624968
BW_DMA_WR,Seq,HWarm,20,0,8192,256,453473936,377894946.6666667,2147483648,8388608,45.46202413009245,22198253.969771706
BW_DMA_WR,Seq,HWarm,25,0,8192,256,465357472,387797893.3333333,2147483648,8388608,44.30108950909894,21631391.361864716
BW_DMA_WR,Seq,HWarm,32,0,8192,256,443840672,369867226.6666667,2147483648,8388608,46.4487468620271,22680052.17872417
BW_DMA_WR,Seq,HWarm,41,0,8192,256,465416880,387847400.0,2147483648,8388608,44.29543470963064,21628630.22931184
BW_DMA_WR,Seq,HWarm,48,0,8192,256,439854992,366545826.6666667,2147483648,8388608,46.86963521105155,22885564.067896266
BW_DMA_WR,Seq,HWarm,63,0,8192,256,462660176,385550146.6666667,2147483648,8388608,44.55936363280163,21757501.773828916
BW_DMA_WR,Seq,HWarm,0,0,8192,256,408329648,340274706.6666667,2147483648,8388608,50.488234498220905,24652458.251084425
BW_DMA_WR,Seq,HWarm,0,1,8192,256,553648816,461374013.3333333,2147483648,8388608,37.23631736403822,18181795.587909285
BW_DMA_WR,Seq,HWarm,0,2,8192,256,553648816,461374013.3333333,2147483648,8388608,37.23631736403822,18181795.587909285
BW_DMA_WR,Seq,HWarm,0,3,8192,256,553648816,461374013.3333333,2147483648,8388608,37.23631736403822,18181795.587909285
BW_DMA_WR,Seq,HWarm,0,4,8192,256,553648832,461374026.6666667,2147483648,8388608,37.23631628793899,18181795.062470213
BW_DMA_WR,Seq,HWarm,0,6,8192,256,553648800,461374000.0,2147483648,8388608,37.2363184401375,18181796.11334839
