        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq    Cold  0  0   4KB    8    800.0  569.5   560   544  2384   576   992      666.7   474.6     466     453    1986     480       826            2    2097152
  LAT_CMD_RD  Seq    Cold  1  0   4KB    8    800.0  569.4   560   544  2960   576   992      666.7   474.5     466     453    2466     480       826            1    2097152
  LAT_CMD_RD  Seq    Cold  2  0   4KB    8    800.0  569.5   560   544  2912   576   992      666.7   474.6     466     453    2426     480       826            2    2097152
  LAT_CMD_RD  Seq    Cold  3  0   4KB    8    800.0  569.3   560   544  2320   576   992      666.7   474.4     466     453    1933     480       826            2    2097152
  LAT_CMD_RD  Seq    Cold  4  0   4KB    8    800.0  569.4   560   544  2304   576   992      666.7   474.5     466     453    1920     480       826            2    2097152
  LAT_CMD_RD  Seq    Cold  6  0   4KB    8    800.0  569.8   560   544  2720   576   992      666.7   474.8     466     453    2266     480       826            4    2097152
  LAT_CMD_RD  Seq    Cold  8  0   4KB    8    800.0  569.4   560   544  2320   576   992      666.7   474.5     466     453    1933     480       826            1    2097152
  LAT_CMD_RD  Seq    Cold 16  0   4KB    8    799.0  569.5   560   544  2512   576   992      665.8   474.6     466     453    2093     480       826            2    2097152
  LAT_CMD_RD  Seq    Cold 32  0   4KB    8    803.0  572.2   560   544  2656   576   992      669.2   476.9     466     453    2213     480       826            1    2097152
  LAT_CMD_RD  Seq    Cold 48  0   4KB    8    803.0  572.4   560   544  2480   576   992      669.2   477.0     466     453    2066     480       826            2    2097152

  LAT_CMD_RD  Seq   HWarm  0  0   4KB    8    735.0  505.2   512   464 14880   512   544      612.5   421.0     426     386   12400     426       453            2    2097152
  LAT_CMD_RD  Seq   HWarm  1  0   4KB    8    732.0  501.6   496   464  2240   512   544      610.0   418.0     413     386    1866     426       453            2    2097152
  LAT_CMD_RD  Seq   HWarm  2  0   4KB    8    732.0  501.6   496   464  2320   512   544      610.0   418.0     413     386    1933     426       453            2    2097152
  LAT_CMD_RD  Seq   HWarm  3  0   4KB    8    732.0  501.7   496   464  2624   512   544      610.0   418.1     413     386    2186     426       453            2    2097152
  LAT_CMD_RD  Seq   HWarm  4  0   4KB    8    733.0  503.1   496   464 14368   512   544      610.8   419.2     413     386   11973     426       453            3    2097152
  LAT_CMD_RD  Seq   HWarm  6  0   4KB    8    732.0  501.6   496   464  2208   512   544      610.0   418.0     413     386    1840     426       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  8  0   4KB    8    732.0  501.5   496   464  2336   512   544      610.0   418.0     413     386    1946     426       453            2    2097152
  LAT_CMD_RD  Seq   HWarm 16  0   4KB    8    732.0  501.6   496   464  2208   512   544      610.0   418.0     413     386    1840     426       453            1    2097152
  LAT_CMD_RD  Seq   HWarm 32  0   4KB    8    734.0  503.9   496   480  2448   512   544      611.7   419.9     413     400    2040     426       453            2    2097152
  LAT_CMD_RD  Seq   HWarm 48  0   4KB    8    734.0  503.8   496   480  2224   512   544      611.7   419.9     413     400    1853     426       453            1    2097152

  LAT_CMD_RD  Seq    Cold  0  0   8MB    8    805.0  574.9   560   544  2320   592  1040      670.8   479.1     466     453    1933     493       866            2    2097152
  LAT_CMD_RD  Seq    Cold  1  0   8MB    8    805.0  575.0   560   544  2592   592  1056      670.8   479.2     466     453    2160     493       880            2    2097152
