Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Rand,Cold,0,0,1024,8,798,569.2543792724609,560.0,544,2464,576.0,992.0,665.0,474.37864939371747,466.6666666666667,453.3333333333333,2053.3333333333335,480.0,826.6666666666666,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,4096,8,798,569.1297378540039,560.0,544,2304,576.0,992.0,665.0,474.27478154500324,466.6666666666667,453.3333333333333,1920.0,480.0,826.6666666666666,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,16384,8,799,569.369140625,560.0,544,2304,576.0,992.0,665.8333333333334,474.4742838541667,466.6666666666667,453.3333333333333,1920.0,480.0,826.6666666666666,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,262144,8,800,570.2333831787109,560.0,544,2288,576.0,992.0,666.6666666666666,475.1944859822591,466.6666666666667,453.3333333333333,1906.6666666666667,480.0,826.6666666666666,1,2097152
LAT_CMD_RD,Rand,Cold,0,0,524288,8,828,598.5748825073242,560.0,544,2432,896.0,1264.0,690.0,498.81240208943683,466.6666666666667,453.3333333333333,2026.6666666666667,746.6666666666666,1053.3333333333333,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,1048576,8,988,758.7197647094727,896.0,544,2640,944.0,1328.0,823.3333333333334,632.2664705912272,746.6666666666666,453.3333333333333,2200.0,786.6666666666666,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,1572864.0,8,1042,812.5573120117188,896.0,544,2640,1024.0,1328.0,868.3333333333334,677.131093343099,746.6666666666666,453.3333333333333,2200.0,853.3333333333334,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,2097152,8,1069,839.3996963500977,896.0,544,2832,1072.0,1328.0,890.8333333333334,699.4997469584147,746.6666666666666,453.3333333333333,2360.0,893.3333333333334,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,3145728,8,1096,865.8564071655273,896.0,544,2880,1088.0,1328.0,913.3333333333334,721.5470059712728,746.6666666666666,453.3333333333333,2400.0,906.6666666666666,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,4194304,8,1110,879.4815368652344,896.0,544,2640,1104.0,1328.0,925.0,732.9012807210287,746.6666666666666,453.3333333333333,2200.0,920.0,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,8388608,8,1207,897.2717742919922,896.0,544,2304,1072.0,1328.0,1005.8333333333334,747.7264785766602,746.6666666666666,453.3333333333333,1920.0,893.3333333333334,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,16777216,8,1257,906.7796478271484,896.0,544,2800,1072.0,1360.0,1047.5,755.6497065226237,746.6666666666666,453.3333333333333,2333.3333333333335,893.3333333333334,1133.3333333333333,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,33554432,8,1282,911.4117965698242,896.0,544,2320,1072.0,1376.0,1068.3333333333333,759.5098304748535,746.6666666666666,453.3333333333333,1933.3333333333333,893.3333333333334,1146.6666666666667,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,67108864,8,1311,930.3143692016602,912.0,560,2688,1104.0,1344.0,1092.5,775.2619743347168,760.0,466.6666666666667,2240.0,920.0,1120.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1024,8,793,563.0259170532227,560.0,464,2304,576.0,992.0,660.8333333333334,469.18826421101886,466.6666666666667,386.6666666666667,1920.0,480.0,826.6666666666666,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,4096,8,796,565.9449768066406,560.0,464,2512,576.0,992.0,663.3333333333334,471.6208140055339,466.6666666666667,386.6666666666667,2093.3333333333335,480.0,826.6666666666666,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,16384,8,794,564.7863388061523,560.0,464,2304,576.0,992.0,661.6666666666666,470.65528233846027,466.6666666666667,386.6666666666667,1920.0,480.0,826.6666666666666,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,262144,8,1049,818.6579284667969,896.0,464,2304,1040.0,1328.0,874.1666666666666,682.2149403889974,746.6666666666666,386.6666666666667,1920.0,866.6666666666666,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,524288,8,896,665.4532852172852,560.0,464,2608,912.0,1312.0,746.6666666666666,554.5444043477377,466.6666666666667,386.6666666666667,2173.3333333333335,760.0,1093.3333333333333,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1048576,8,1083,853.0186080932617,896.0,464,2336,1120.0,1328.0,902.5,710.8488400777181,746.6666666666666,386.6666666666667,1946.6666666666667,933.3333333333334,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1572864.0,8,1042,811.3976364135742,896.0,464,2560,1008.0,1328.0,868.3333333333334,676.1646970113119,746.6666666666666,386.6666666666667,2133.3333333333335,840.0,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,2097152,8,1099,868.7033462524414,896.0,464,2304,1136.0,1328.0,915.8333333333334,723.9194552103678,746.6666666666666,386.6666666666667,1920.0,946.6666666666666,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,3145728,8,1131,901.1478118896484,896.0,464,2224,1136.0,1344.0,942.5,750.9565099080404,746.6666666666666,386.6666666666667,1853.3333333333333,946.6666666666666,1120.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,4194304,8,1112,881.2581176757812,896.0,464,2880,1104.0,1328.0,926.6666666666666,734.3817647298177,746.6666666666666,386.6666666666667,2400.0,920.0,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,8388608,8,1214,903.7636413574219,896.0,464,2592,1072.0,1328.0,1011.6666666666666,753.1363677978516,746.6666666666666,386.6666666666667,2160.0,893.3333333333334,1106.6666666666667,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,16777216,8,1254,903.7752227783203,896.0,464,2352,1056.0,1344.0,1045.0,753.1460189819336,746.6666666666666,386.6666666666667,1960.0,880.0,1120.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,33554432,8,1279,907.9622192382812,896.0,464,2720,1056.0,1376.0,1065.8333333333333,756.6351826985677,746.6666666666666,386.6666666666667,2266.6666666666665,880.0,1146.6666666666667,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,67108864,8,1293,911.5184173583984,896.0,464,2720,1088.0,1376.0,1077.5,759.5986811319987,746.6666666666666,386.6666666666667,2266.6666666666665,906.6666666666666,1146.6666666666667,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,1024,8,710,480.82977294921875,480.0,464,2256,496.0,512.0,591.6666666666666,400.6914774576823,400.0,386.6666666666667,1880.0,413.3333333333333,426.6666666666667,1,2097152
LAT_CMD_RD,Rand,DWarm,0,0,4096,8,710,480.9766616821289,480.0,464,2240,496.0,512.0,591.6666666666666,400.8138847351074,400.0,386.6666666666667,1866.6666666666667,413.3333333333333,426.6666666666667,1,2097152
