        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0   1KB   64   1005.0  680.4   688   656  2528   688   720      837.5   567.0     573     546    2106     573       600            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4KB   64   1005.0  680.3   688   656  2512   688   720      837.5   566.9     573     546    2093     573       600            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16KB   64   1005.0  680.3   688   656  2512   688   720      837.5   566.9     573     546    2093     573       600            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 256KB   64   1006.0  680.5   688   656  2528   688   768      838.3   567.1     573     546    2106     573       640            3    2097152
LAT_CMD_WRRD Rand    Cold  0  0 512KB   64   1036.0  710.7   688   656  5424  1024  1344      863.3   592.3     573     546    4520     853      1120            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0   1MB   64   1197.0  871.6  1008   656  2784  1040  1440      997.5   726.4     840     546    2320     866      1200            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1.5MB   64   1251.0  926.0  1024   656  2576  1040  1440     1042.5   771.6     853     546    2146     866      1200            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   2MB   64   1278.0  953.2  1024   656  3488  1056  1440     1065.0   794.4     853     546    2906     880      1200            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0   3MB   64   1327.0 1002.3  1024   656  2512  1120  1520     1105.8   835.2     853     546    2093     933      1266            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4MB   64   1353.0 1027.5  1024   656  2528  1120  1520     1127.5   856.2     853     546    2106     933      1266            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   8MB   64   1482.0 1076.1  1104   656  2704  1136  1536     1235.0   896.7     920     546    2253     946      1280            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16MB   64   1546.0 1100.1  1120   656  2656  1136  1536     1288.3   916.7     933     546    2213     946      1280            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  32MB   64   1577.0 1110.6  1120   656  2864  1136  1536     1314.2   925.5     933     546    2386     946      1280            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  64MB   64   1594.0 1117.6  1120   656  2784  1136  1536     1328.3   931.3     933     546    2320     946      1280            0    2097152

LAT_CMD_WRRD Rand DThrash  0  0   1KB   64   1005.0  680.4   688   656  2416   688   720      837.5   567.0     573     546    2013     573       600            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4KB   64   1005.0  680.2   688   656  2416   688   720      837.5   566.8     573     546    2013     573       600            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16KB   64   1005.0  680.3   688   656  2576   688   720      837.5   566.9     573     546    2146     573       600            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0 256KB   64   1160.0  835.3   688   656  2416  1040  1424      966.7   696.1     573     546    2013     866      1186            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 512KB   64   1054.0  729.2   688   656  2896  1024  1376      878.3   607.7     573     546    2413     853      1146            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   1MB   64   1259.0  933.8  1024   656  2432  1040  1440     1049.2   778.2     853     546    2026     866      1200            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1.5MB   64   1326.0 1000.8  1024   656  2416  1040  1440     1105.0   834.0     853     546    2013     866      1200            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   2MB   64   1300.0  975.4  1024   656  2416  1056  1440     1083.3   812.9     853     546    2013     880      1200            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   3MB   64   1351.0 1025.5  1024   656  3120  1120  1520     1125.8   854.6     853     546    2600     933      1266            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4MB   64   1360.0 1034.8  1024   656  3024  1136  1520     1133.3   862.3     853     546    2520     946      1266            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   8MB   64   1490.0 1084.5  1104   656  2512  1136  1536     1241.7   903.8     920     546    2093     946      1280            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16MB   64   1547.0 1100.8  1120   656  2752  1136  1536     1289.2   917.4     933     546    2293     946      1280            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  32MB   64   1577.0 1111.3  1120   656  2512  1136  1536     1314.2   926.1     933     546    2093     946      1280            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  64MB   64   1593.0 1117.2  1120   656  2880  1136  1536     1327.5   931.0     933     546    2400     946      1280            0    2097152

LAT_CMD_WRRD Rand   DWarm  0  0   1KB   64   1005.0  680.4   688   656  2432   688   720      837.5   567.0     573     546    2026     573       600            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4KB   64   1005.0  680.3   688   656  2512   688   720      837.5   566.9     573     546    2093     573       600            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  16KB   64   1005.0  680.3   688   656  2800   688   720      837.5   566.9     573     546    2333     573       600            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 256KB   64   1005.0  680.3   688   656  2640   688   720      837.5   566.9     573     546    2200     573       600            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 512KB   64   1035.0  710.3   688   656  2416  1024  1344      862.5   592.0     573     546    2013     853      1120            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   1MB   64   1196.0  871.2  1008   656  2464  1040  1440      996.7   726.0     840     546    2053     866      1200            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1.5MB   64   1250.0  924.6  1024   656  2432  1040  1440     1041.7   770.5     853     546    2026     866      1200            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   2MB   64   1276.0  951.5  1024   656  3232  1040  1440     1063.3   792.9     853     546    2693     866      1200            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   3MB   64   1326.0 1001.2  1024   656  2736  1120  1520     1105.0   834.3     853     546    2280     933      1266            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4MB   64   1351.0 1026.5  1024   656  2672  1120  1520     1125.8   855.4     853     546    2226     933      1266            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   8MB   64   1481.0 1075.5  1104   656  2512  1136  1536     1234.2   896.2     920     546    2093     946      1280            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  16MB   64   1546.0 1099.9  1120   656  2512  1136  1536     1288.3   916.6     933     546    2093     946      1280            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  32MB   64   1576.0 1110.5  1120   656  3104  1136  1536     1313.3   925.4     933     546    2586     946      1280            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  64MB   64   1593.0 1117.5  1120   656  2944  1136  1536     1327.5   931.3     933     546    2453     946      1280            0    2097152

LAT_CMD_WRRD Rand   HWarm  0  0   1KB   64   1005.0  680.4   688   656  2448   688   720      837.5   567.0     573     546    2040     573       600            2    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   4KB   64   1005.0  680.3   688   656  2672   688   720      837.5   566.9     573     546    2226     573       600            2    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  16KB   64   1005.0  680.3   688   656  2976   688   720      837.5   566.9     573     546    2480     573       600            2    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 256KB   64   1005.0  680.4   688   656  2480   688   720      837.5   567.0     573     546    2066     573       600            2    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 512KB   64   1035.0  710.3   688   656  2432  1024  1344      862.5   591.9     573     546    2026     853      1120            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   1MB   64   1196.0  871.0  1008   656  2800  1040  1440      996.7   725.9     840     546    2333     866      1200            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 1.5MB   64   1250.0  925.0  1024   656  2784  1040  1440     1041.7   770.8     853     546    2320     866      1200            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   2MB   64   1277.0  951.8  1024   656  2656  1040  1440     1064.2   793.2     853     546    2213     866      1200            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   3MB   64   1303.0  978.4  1024   656  2432  1040  1440     1085.8   815.3     853     546    2026     866      1200            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   4MB   64   1317.0  991.6  1024   656  2848  1040  1456     1097.5   826.3     853     546    2373     866      1213            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   8MB   64   1419.0 1013.0  1024   656  2448  1056  1456     1182.5   844.2     853     546    2040     880      1213            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  16MB   64   1471.0 1024.7  1024   656  2448  1056  1456     1225.8   853.9     853     546    2040     880      1213            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  32MB   64   1519.0 1052.6  1024   656  2448  1120  1520     1265.8   877.1     853     546    2040     933      1266            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  64MB   64   1563.0 1087.0  1104   656  2496  1136  1536     1302.5   905.8     920     546    2080     946      1280            0    2097152
