        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  240    976.0  746.8   752   720  2464   768   784      813.3   622.3     626     600    2053     640       653            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  241    986.0  755.8   752   720  2512   768   800      821.7   629.8     626     600    2093     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  242    987.0  757.6   752   720 14304   784   800      822.5   631.3     626     600   11920     653       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  243    986.0  756.0   752   720  2608   768   800      821.7   630.0     626     600    2173     640       666            3    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  244    986.0  755.8   752   720  3072   768   800      821.7   629.8     626     600    2560     640       666            3    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  245    987.0  757.3   752   720  2496   768   800      822.5   631.1     626     600    2080     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  246    987.0  756.9   752   720  2608   768   800      822.5   630.8     626     600    2173     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  247    987.0  757.2   752   720  2912   768   800      822.5   631.0     626     600    2426     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  248    981.0  750.8   752   720  2480   768   784      817.5   625.7     626     600    2066     640       653            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  249    987.0  757.0   752   720  3024   768   800      822.5   630.8     626     600    2520     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  250    987.0  756.9   752   720  2720   768   800      822.5   630.7     626     600    2266     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  251    987.0  757.3   752   720  2496   768   800      822.5   631.0     626     600    2080     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  252    987.0  757.2   752   720  2848   768   800      822.5   631.0     626     600    2373     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  253    987.0  757.2   752   720  3136   768   800      822.5   631.0     626     600    2613     640       666            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  254    987.0  757.0   752   720  2592   768   800      822.5   630.8     626     600    2160     640       666            2    2097152
