Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Seq,Cold,0,0,8192,64,212372368,176976973.33333334,536870912,8388608,24.268509146161612,47399431.9260969
BW_DMA_WR,Seq,Cold,1,0,8192,64,212411264,177009386.66666666,536870912,8388608,24.26406518253194,47390752.309632696
BW_DMA_WR,Seq,Cold,2,0,8192,64,212411248,177009373.33333334,536870912,8388608,24.26406701023667,47390755.8793685
BW_DMA_WR,Seq,Cold,3,0,8192,64,212411120,177009266.66666666,536870912,8388608,24.264081631884434,47390784.437274285
BW_DMA_WR,Seq,Cold,4,0,8192,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Seq,Cold,6,0,8192,64,212411296,177009413.33333334,536870912,8388608,24.264061527123303,47390745.1701627
BW_DMA_WR,Seq,Cold,8,0,8192,64,212372368,176976973.33333334,536870912,8388608,24.268509146161612,47399431.9260969
BW_DMA_WR,Seq,Cold,12,0,8192,64,212372352,176976960.0,536870912,8388608,24.268510974535893,47399435.49714042
BW_DMA_WR,Seq,Cold,16,0,8192,64,212372384,176976986.66666666,536870912,8388608,24.26850731778761,47399428.355053924
BW_DMA_WR,Seq,Cold,20,0,8192,64,212372368,176976973.33333334,536870912,8388608,24.268509146161612,47399431.9260969
BW_DMA_WR,Seq,Cold,25,0,8192,64,212411296,177009413.33333334,536870912,8388608,24.264061527123303,47390745.1701627
BW_DMA_WR,Seq,Cold,32,0,8192,64,212372352,176976960.0,536870912,8388608,24.268510974535893,47399435.49714042
BW_DMA_WR,Seq,Cold,41,0,8192,64,212411104,177009253.33333334,536870912,8388608,24.26408345959164,47390788.00701492
BW_DMA_WR,Seq,Cold,48,0,8192,64,212372400,176977000.0,536870912,8388608,24.26850548941388,47399424.78401148
BW_DMA_WR,Seq,Cold,63,0,8192,64,212411216,177009346.66666666,536870912,8388608,24.264070665646962,47390763.01884172
BW_DMA_WR,Seq,Cold,0,0,8192,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Seq,Cold,0,1,8192,64,212734624,177278853.33333334,536870912,8388608,24.227183418905987,47318717.615050755
BW_DMA_WR,Seq,Cold,0,2,8192,64,212734752,177278960.0,536870912,8388608,24.227168841694468,47318689.1439345
BW_DMA_WR,Seq,Cold,0,3,8192,64,212735056,177279213.33333334,536870912,8388608,24.22713422088741,47318621.52517072
BW_DMA_WR,Seq,Cold,0,4,8192,64,212735424,177279520.0,536870912,8388608,24.22709231162178,47318539.6711363
BW_DMA_WR,Seq,Cold,0,6,8192,64,212735104,177279253.33333334,536870912,8388608,24.227128754453236,47318610.84854148
BW_DMA_WR,Seq,Cold,0,8,8192,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Seq,Cold,0,12,8192,64,212735472,177279560.0,536870912,8388608,24.22708684520652,47318528.994543985
BW_DMA_WR,Seq,Cold,0,16,8192,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Seq,Cold,0,20,8192,64,212734912,177279093.33333334,536870912,8388608,24.227150620204736,47318653.55508737
BW_DMA_WR,Seq,Cold,0,25,8192,64,212735200,177279333.33333334,536870912,8388608,24.227117821592287,47318589.49529744
BW_DMA_WR,Seq,Cold,0,32,8192,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Seq,Cold,0,41,8192,64,212735216,177279346.66666666,536870912,8388608,24.227115999449758,47318585.93642531
BW_DMA_WR,Seq,Cold,0,48,8192,64,212372400,176977000.0,536870912,8388608,24.26850548941388,47399424.78401148
BW_DMA_WR,Seq,Cold,0,63,8192,64,212735312,177279426.66666666,536870912,8388608,24.227105066600323,47318564.583203755
BW_DMA_WR,Seq,Cold,0,0,8192,128,243369360,202807800.0,1073741824,8388608,42.355050407331476,41362353.91340964
BW_DMA_WR,Seq,Cold,1,0,8192,128,279329568,232774640.0,1073741824,8388608,36.90236441564253,36037465.2496509
BW_DMA_WR,Seq,Cold,2,0,8192,128,279329136,232774280.0,1073741824,8388608,36.90242148745987,36037520.98384753
BW_DMA_WR,Seq,Cold,3,0,8192,128,279327984,232773320.0,1073741824,8388608,36.90257367983582,36037669.60921466
BW_DMA_WR,Seq,Cold,4,0,8192,128,263156016,219296680.0,1073741824,8388608,39.17038138470678,38252325.571002714
BW_DMA_WR,Seq,Cold,6,0,8192,128,279341184,232784320.0,1073741824,8388608,36.90082988407467,36035966.68366667
BW_DMA_WR,Seq,Cold,8,0,8192,128,263156192,219296826.66666666,1073741824,8388608,39.17035518738621,38252299.98768184
