        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0   4KB    8    914.0  658.6   656   640  1216   672   704      761.7   548.8     546     533    1013     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   4KB    8    914.0  658.5   656   640  1056   672   704      761.7   548.8     546     533     880     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   4KB    8    914.0  658.5   656   640  1056   672   704      761.7   548.8     546     533     880     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   4KB    8    914.0  658.6   656   640  1072   672   704      761.7   548.8     546     533     893     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   4KB    8    914.0  658.6   656   640  1216   672   704      761.7   548.8     546     533    1013     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   4KB    8    914.0  658.6   656   640  1024   672   704      761.7   548.8     546     533     853     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   4KB    8    914.0  658.5   656   640  1152   672   704      761.7   548.8     546     533     960     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   4KB    8    914.0  658.6   656   640  1040   672   704      761.7   548.8     546     533     866     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   4KB    8    916.0  661.0   656   640  1104   672   704      763.3   550.8     546     533     920     560       586            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   4KB    8    916.0  661.0   656   640  1152   672   704      763.3   550.8     546     533     960     560       586            0    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   4KB    8    914.0  658.5   656   640  1088   672   704      761.7   548.8     546     533     906     560       586            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0   4KB    8    914.0  658.6   656   640  1168   672   704      761.7   548.8     546     533     973     560       586            0    2097152
