        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    4    879.0  649.1   640   608 15120   656   736      732.5   540.9     533     506   12600     546       613            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    8    879.0  649.3   656   608   720   656   688      732.5   541.1     546     506     600     546       573            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   16    879.0  649.3   656   608   720   656   688      732.5   541.1     546     506     600     546       573            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   24    885.0  655.7   656   624   720   672   688      737.5   546.4     546     520     600     560       573            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   32    889.0  659.4   656   624   736   672   688      740.8   549.5     546     520     613     560       573            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   48    897.0  666.0   672   624   736   672   704      747.5   555.0     560     520     613     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    894.0  662.9   656   624   736   672   704      745.0   552.4     546     520     613     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    929.0  698.5   688   672  1264   720   800      774.2   582.0     573     560    1053     600       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256    981.0  751.3   752   720   816   768   800      817.5   626.0     626     600     680     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  512   1071.0  841.1   848   816   928   864   880      892.5   700.9     706     680     773     720       733            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  768   1161.0  930.4   928   896  1024   944   976      967.5   775.3     773     746     853     786       813            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1024   1246.0 1016.3  1024   992  1104  1024  1056     1038.3   847.0     853     826     920     853       880            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1280   1331.0 1101.1  1104  1072  1184  1120  1152     1109.2   917.6     920     893     986     933       960            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1520   1413.0 1183.0  1184  1152  1264  1200  1232     1177.5   985.9     986     960    1053    1000      1026            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 2048   1584.0 1354.8  1360  1328  1440  1376  1408     1320.0  1129.0    1133    1106    1200    1146      1173            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    4   1134.0  902.4   896   880   976   912   944      945.0   752.0     746     733     813     760       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    8   1135.0  904.6   912   880   976   912   944      945.8   753.8     760     733     813     760       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   16   1135.0  905.9   912   896   976   912   944      945.8   754.9     760     746     813     760       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   24   1145.0  914.2   912   896   976   928   944      954.2   761.9     760     746     813     773       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   32   1147.0  915.7   912   896   992   928   944      955.8   763.1     760     746     826     773       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   48   1160.0  930.3   928   912   992   944   960      966.7   775.2     773     760     826     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1161.0  930.7   928   912   992   944   960      967.5   775.6     773     760     826     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1207.0  978.0   976   944  1056   992  1024     1005.8   815.0     813     786     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  256   1283.0 1053.4  1056  1040  1120  1072  1088     1069.2   877.8     880     866     933     893       906            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  512   1440.0 1211.4  1216  1184  1312  1232  1248     1200.0  1009.5    1013     986    1093    1026      1040            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  768   1592.0 1362.6  1360  1344  1456  1376  1408     1326.7  1135.5    1133    1120    1213    1146      1173            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1024   1753.0 1523.3  1520  1504  1632  1536  1568     1460.8  1269.4    1266    1253    1360    1280      1306            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1280   1922.0 1693.4  1696  1648  1808  1712  1744     1601.7  1411.2    1413    1373    1506    1426      1453            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1520   2104.0 1874.7  1872  1856  2000  1904  1936     1753.3  1562.2    1560    1546    1666    1586      1613            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 2048   2441.0 2213.3  2208  2192  2320  2240  2272     2034.2  1844.4    1840    1826    1933    1866      1893            0    2097152
