Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,240,970,740.1460266113281,736.0,720,816,752.0,784.0,808.3333333333334,616.7883555094401,613.3333333333334,600.0,680.0,626.6666666666666,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,241,977,748.0861053466797,752.0,736,816,768.0,784.0,814.1666666666666,623.4050877888998,626.6666666666666,613.3333333333334,680.0,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,242,977,747.8603591918945,752.0,720,816,768.0,784.0,814.1666666666666,623.2169659932455,626.6666666666666,600.0,680.0,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,243,977,747.8586502075195,752.0,720,832,768.0,784.0,814.1666666666666,623.2155418395996,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,244,977,747.8594818115234,752.0,720,832,768.0,784.0,814.1666666666666,623.2162348429362,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,245,979,749.915412902832,752.0,720,832,768.0,784.0,815.8333333333334,624.92951075236,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,246,979,749.896125793457,752.0,720,832,768.0,784.0,815.8333333333334,624.9134381612142,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,247,979,749.8041915893555,752.0,720,832,768.0,784.0,815.8333333333334,624.8368263244629,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,248,973,743.1778411865234,736.0,720,816,752.0,784.0,810.8333333333334,619.3148676554362,613.3333333333334,600.0,680.0,626.6666666666666,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,249,981,751.6881408691406,752.0,720,13168,768.0,784.0,817.5,626.4067840576172,626.6666666666666,600.0,10973.333333333334,640.0,653.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,250,979,749.8923416137695,752.0,720,832,768.0,784.0,815.8333333333334,624.9102846781412,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,251,979,749.8906326293945,752.0,720,832,768.0,784.0,815.8333333333334,624.9088605244955,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,252,979,749.8993759155273,752.0,720,816,768.0,784.0,815.8333333333334,624.9161465962728,626.6666666666666,600.0,680.0,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,253,979,749.8628921508789,752.0,720,832,768.0,784.0,815.8333333333334,624.8857434590658,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,254,979,749.9148178100586,752.0,720,832,768.0,784.0,815.8333333333334,624.9290148417155,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,255,979,749.9002304077148,752.0,720,832,768.0,784.0,815.8333333333334,624.9168586730957,626.6666666666666,600.0,693.3333333333334,640.0,653.3333333333334,0,2097152
