Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Seq,Cold,0,0,8192,64,177789072,148157560.0,536870912,8388608,28.989187564914,56619506.96272266
BW_DMA_RD,Seq,Cold,1,0,8192,64,205670544,171392120.0,536870912,8388608,25.05930433674547,48943953.78270599
BW_DMA_RD,Seq,Cold,2,0,8192,64,205658576,171382146.66666666,536870912,8388608,25.060762626305458,48946802.00450285
BW_DMA_RD,Seq,Cold,3,0,8192,64,205646528,171372106.66666666,536870912,8388608,25.062230835231997,48949669.60006249
BW_DMA_RD,Seq,Cold,4,0,8192,64,205514944,171262453.33333334,536870912,8388608,25.078277301333376,48981010.354166746
BW_DMA_RD,Seq,Cold,6,0,8192,64,205628960,171357466.66666666,536870912,8388608,25.064372037868598,48953851.63646211
BW_DMA_RD,Seq,Cold,8,0,8192,64,191779888,159816573.33333334,536870912,8388608,26.874354808258097,52488974.2348791
BW_DMA_RD,Seq,Cold,12,0,8192,64,206855696,172379746.66666666,536870912,8388608,24.915730409473472,48663535.956002876
BW_DMA_RD,Seq,Cold,16,0,8192,64,201783344,168152786.66666666,536870912,8388608,25.5420524461127,49886821.18381386
BW_DMA_RD,Seq,Cold,20,0,8192,64,206794944,172329120.0,536870912,8388608,24.92305012640928,48677832.27814312
BW_DMA_RD,Seq,Cold,25,0,8192,64,206968768,172473973.33333334,536870912,8388608,24.902118348600304,48636949.899609976
BW_DMA_RD,Seq,Cold,32,0,8192,64,203028464,169190386.66666666,536870912,8388608,25.385409777813226,49580878.472291455
BW_DMA_RD,Seq,Cold,41,0,8192,64,206998096,172498413.33333334,536870912,8388608,24.898590155148092,48630058.896773614
BW_DMA_RD,Seq,Cold,48,0,8192,64,202838368,169031973.33333334,536870912,8388608,25.409200468424196,49627344.66489101
BW_DMA_RD,Seq,Cold,63,0,8192,64,206565744,172138120.0,536870912,8388608,24.950704097384122,48731843.94020337
BW_DMA_RD,Seq,Cold,0,0,8192,64,177773328,148144440.0,536870912,8388608,28.99175491162544,56624521.311768435
BW_DMA_RD,Seq,Cold,0,1,8192,64,410407296,342006080.0,536870912,8388608,12.55816065024341,24527657.520006664
BW_DMA_RD,Seq,Cold,0,2,8192,64,410406016,342005013.3333333,536870912,8388608,12.55819981742178,24527734.018401913
BW_DMA_RD,Seq,Cold,0,3,8192,64,410409568,342007973.3333333,536870912,8388608,12.558091129103502,24527521.736530274
BW_DMA_RD,Seq,Cold,0,4,8192,64,410414752,342012293.3333333,536870912,8388608,12.55793250628574,24527211.926339336
BW_DMA_RD,Seq,Cold,0,6,8192,64,410409200,342007666.6666667,536870912,8388608,12.558102389517583,24527543.729526527
BW_DMA_RD,Seq,Cold,0,8,8192,64,177733680,148111400.0,536870912,8388608,28.998222257030857,56637152.84576339
BW_DMA_RD,Seq,Cold,0,12,8192,64,410409520,342007933.3333333,536870912,8388608,12.558092597852019,24527524.605179727
BW_DMA_RD,Seq,Cold,0,16,8192,64,177706704,148088920.0,536870912,8388608,29.00262420713177,56645750.40455423
BW_DMA_RD,Seq,Cold,0,20,8192,64,410402592,342002160.0,536870912,8388608,12.558304590824806,24527938.6539547
BW_DMA_RD,Seq,Cold,0,25,8192,64,410424016,342020013.3333333,536870912,8388608,12.557649051414185,24526658.30354333
BW_DMA_RD,Seq,Cold,0,32,8192,64,177716864,148097386.66666666,536870912,8388608,29.00096613903788,56642511.99030836
BW_DMA_RD,Seq,Cold,0,41,8192,64,410409024,342007520.0,536870912,8388608,12.558107774940153,24527554.247929987
BW_DMA_RD,Seq,Cold,0,48,8192,64,177719360,148099466.66666666,536870912,8388608,29.000558831632077,56641716.4680314
BW_DMA_RD,Seq,Cold,0,63,8192,64,410410928,342009106.6666667,536870912,8388608,12.55804951470493,24527440.458408065
BW_DMA_RD,Seq,Cold,0,0,8192,128,244396608,203663840.0,1073741824,8388608,42.17702362874038,41188499.63744178
BW_DMA_RD,Seq,Cold,1,0,8192,128,291211920,242676600.0,1073741824,8388608,35.3966331817736,34567024.59157579
BW_DMA_RD,Seq,Cold,2,0,8192,128,291204512,242670426.66666666,1073741824,8388608,35.3975336426106,34567903.94786191
BW_DMA_RD,Seq,Cold,3,0,8192,128,291197120,242664266.66666666,1073741824,8388608,35.39843220427455,34568781.44948687
BW_DMA_RD,Seq,Cold,4,0,8192,128,291175328,242646106.66666666,1073741824,8388608,35.40108147624376,34571368.629144296
BW_DMA_RD,Seq,Cold,6,0,8192,128,291218480,242682066.66666666,1073741824,8388608,35.39583583569284,34566245.9332938
BW_DMA_RD,Seq,Cold,8,0,8192,128,269496608,224580506.66666666,1073741824,8388608,38.248798702505376,37352342.48291541
BW_DMA_RD,Seq,Cold,12,0,8192,128,291186432,242655360.0,1073741824,8388608,35.39973150397337,34570050.296849
BW_DMA_RD,Seq,Cold,16,0,8192,128,291085120,242570933.33333334,1073741824,8388608,35.412052359117496,34582082.38195068
BW_DMA_RD,Seq,Cold,20,0,8192,128,291213264,242677720.0,1073741824,8388608,35.396469820138414,34566865.05872892
BW_DMA_RD,Seq,Cold,25,0,8192,128,291202448,242668706.66666666,1073741824,8388608,35.39778453510803,34568148.96006644
BW_DMA_RD,Seq,Cold,32,0,8192,128,291068752,242557293.33333334,1073741824,8388608,35.41404372531202,34584027.07550002
BW_DMA_RD,Seq,Cold,41,0,8192,128,291094576,242578813.33333334,1073741824,8388608,35.410902023815105,34580959.007631935
BW_DMA_RD,Seq,Cold,48,0,8192,128,291089392,242574493.33333334,1073741824,8388608,35.41153265523327,34581574.85862625
BW_DMA_RD,Seq,Cold,63,0,8192,128,291090320,242575266.66666666,1073741824,8388608,35.411419762773285,34581464.612083286
BW_DMA_RD,Seq,Cold,0,0,8192,128,244403200,203669333.33333334,1073741824,8388608,42.175886037498685,41187388.70849481
BW_DMA_RD,Seq,Cold,0,1,8192,128,446641200,372201000.0,1073741824,8388608,23.078752050639306,22537843.799452446
BW_DMA_RD,Seq,Cold,0,2,8192,128,446641424,372201186.6666667,1073741824,8388608,23.078740476163265,22537832.49625319
BW_DMA_RD,Seq,Cold,0,3,8192,128,446640816,372200680.0,1073741824,8388608,23.078771892625237,22537863.176391833
BW_DMA_RD,Seq,Cold,0,4,8192,128,446641488,372201240.0,1073741824,8388608,23.078737169172246,22537829.266769774
BW_DMA_RD,Seq,Cold,0,6,8192,128,446641552,372201293.3333333,1073741824,8388608,23.078733862182176,22537826.03728728
BW_DMA_RD,Seq,Cold,0,8,8192,128,244398848,203665706.66666666,1073741824,8388608,42.176637061726254,41188122.13059204
BW_DMA_RD,Seq,Cold,0,12,8192,128,446641696,372201413.3333333,1073741824,8388608,23.078726421457976,22537818.770955056
BW_DMA_RD,Seq,Cold,0,16,8192,128,244398064,203665053.33333334,1073741824,8388608,42.17677235937515,41188254.2572023
