Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,HWarm,0,0,8192,16,194147696,161789746.66666666,134217728,8388608,6.636649392944638,51848823.38237999
BW_DMA_RD,Rand,HWarm,0,0,8192,32,196958336,164131946.66666666,268435456,8388608,13.083885810245675,51108928.94627217
BW_DMA_RD,Rand,HWarm,0,0,8192,63,251382704,209485586.66666666,528482304,8388608,20.18209700855155,40043843.27093562
BW_DMA_RD,Rand,HWarm,0,0,8192,64,204652016,170543346.66666666,536870912,8388608,25.18402142297978,49187541.84175738
BW_DMA_RD,Rand,HWarm,0,0,8192,65,254183584,211819653.33333334,545259520,8388608,20.593349537474456,39602595.26437396
BW_DMA_RD,Rand,HWarm,0,0,8192,127,256676064,213896720.0,1065353216,8388608,39.8455185661566,39218030.084799804
BW_DMA_RD,Rand,HWarm,0,0,8192,128,251795344,209829453.33333334,1073741824,8388608,40.937697046534744,39978219.772006586
BW_DMA_RD,Rand,HWarm,0,0,8192,129,304494720,253745600.0,1082130432,8388608,34.117018998556034,33059126.936585303
BW_DMA_RD,Rand,HWarm,0,0,8192,192,369121984,307601653.3333333,1610612736,8388608,41.88827253811033,27271010.766998913
BW_DMA_RD,Rand,HWarm,0,0,8192,255,451431344,376192786.6666667,2139095040,8388608,45.48933665536525,22298694.438904535
BW_DMA_RD,Rand,HWarm,0,0,8192,256,452208656,376840546.6666667,2147483648,8388608,45.589226891755914,22260364.69324019
BW_DMA_RD,Rand,HWarm,0,0,8192,257,417519232,347932693.3333333,2155872256,8388608,49.56986905360087,24109858.48910548
BW_DMA_RD,Rand,HWarm,0,0,8192,320,555393216,462827680.0,2684354560,8388608,46.399205164220085,18124689.51727347
BW_DMA_RD,Rand,HWarm,0,0,8192,384,579679472,483066226.6666667,3221225472,8388608,53.34631641259844,17365337.37389272
BW_DMA_RD,Rand,HWarm,0,0,8192,511,749945664,624954720.0,4286578688,8388608,54.87218258628401,13422745.251047948
BW_DMA_RD,Rand,HWarm,0,0,8192,512,750010272,625008560.0,4294967296,8388608,54.9748284535495,13421588.977917358
BW_DMA_RD,Rand,HWarm,0,0,8192,513,784872640,654060533.3333334,4303355904,8388608,52.635567317520454,12825430.632924087
BW_DMA_RD,Rand,HWarm,0,0,8192,576,871802288,726501906.6666666,4831838208,8388608,53.206612824122345,11546573.963568218
BW_DMA_RD,Rand,HWarm,0,0,8192,640,951058512,792548760.0,5368709120,8388608,54.19183667639578,10584343.100858552
BW_DMA_RD,Rand,HWarm,0,0,8192,704,1031231904,859359920.0,5905580032,8388608,54.97654609723944,9761460.59965189
BW_DMA_RD,Rand,HWarm,0,0,8192,767,1119861872,933218226.6666666,6434062336,8388608,55.15590803648684,8988902.874264479
BW_DMA_RD,Rand,HWarm,0,0,8192,768,1119804608,933170506.6666666,6442450944,8388608,55.230643471686804,8989362.544219857
BW_DMA_RD,Rand,HWarm,0,0,8192,769,1159681712,966401426.6666666,6450839552,8388608,53.40091083474808,8680252.086272445
BW_DMA_RD,Rand,HWarm,0,0,8192,832,1241657136,1034714280.0,6979321856,8388608,53.96134558807867,8107173.315516627
BW_DMA_RD,Rand,HWarm,0,0,8192,896,1319196080,1099330066.6666667,7516192768,8388608,54.69653197635335,7630654.572593939
BW_DMA_RD,Rand,HWarm,0,0,8192,960,1399159808,1165966506.6666667,8053063680,8388608,55.254168170045084,7194553.147141288
