Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,HWarm,0,0,4096,4,792,562.1105346679688,560.0,544,1072,560.0,976.0,660.0,468.4254455566406,466.6666666666667,453.3333333333333,893.3333333333334,466.6666666666667,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,795,565.1499786376953,560.0,544,1136,576.0,976.0,662.5,470.9583155314128,466.6666666666667,453.3333333333333,946.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,16,796,566.2783355712891,560.0,544,1104,576.0,992.0,663.3333333333334,471.8986129760742,466.6666666666667,453.3333333333333,920.0,480.0,826.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,24,804,573.6581954956055,560.0,544,1232,576.0,992.0,670.0,478.0484962463379,466.6666666666667,453.3333333333333,1026.6666666666667,480.0,826.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,32,804,574.4959259033203,560.0,544,1184,576.0,992.0,670.0,478.7466049194336,466.6666666666667,453.3333333333333,986.6666666666666,480.0,826.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,48,814,584.3025360107422,576.0,560,1120,592.0,1008.0,678.3333333333334,486.91878000895184,480.0,466.6666666666667,933.3333333333334,493.3333333333333,840.0,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,64,815,585.5119476318359,576.0,560,1136,592.0,1008.0,679.1666666666666,487.92662302652997,480.0,466.6666666666667,946.6666666666666,493.3333333333333,840.0,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,4,903,653.5227432250977,656.0,624,800,672.0,688.0,752.5,544.6022860209147,546.6666666666666,520.0,666.6666666666666,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,8,913,658.5117340087891,656.0,640,736,672.0,704.0,760.8333333333334,548.7597783406576,546.6666666666666,533.3333333333334,613.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,16,924,659.7568740844727,656.0,640,736,672.0,704.0,770.0,549.7973950703939,546.6666666666666,533.3333333333334,613.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,24,945,670.6532363891602,672.0,640,752,688.0,704.0,787.5,558.8776969909668,560.0,533.3333333333334,626.6666666666666,573.3333333333334,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,32,957,671.8257141113281,672.0,656,736,688.0,704.0,797.5,559.8547617594401,560.0,546.6666666666666,613.3333333333334,573.3333333333334,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,48,991,686.1552658081055,688.0,656,752,704.0,720.0,825.8333333333334,571.7960548400879,573.3333333333334,546.6666666666666,626.6666666666666,586.6666666666666,600.0,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,64,1003,677.0483703613281,672.0,656,752,688.0,720.0,835.8333333333334,564.2069753011068,560.0,546.6666666666666,626.6666666666666,573.3333333333334,600.0,0,2097152
