#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  1024    8    707.0  477.7   480   464   544   480   512      589.2   398.1     400     386     453     400       426            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  4096    8    708.0  477.8   480   464   544   480   512      590.0   398.1     400     386     453     400       426            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 16384    8    777.0  546.3   560   464  1088   576   976      647.5   455.3     466     386     906     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 262144    8    794.0  564.9   560   464  6960   576   976      661.7   470.7     466     386    5800     480       813            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 524288    8    795.0  565.6   560   464  1120   576   976      662.5   471.4     466     386     933     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1048576    8    796.0  566.0   560   464  1072   576   976      663.3   471.7     466     386     893     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1572864.0    8    797.0  566.5   560   464  1152   576   976      664.2   472.1     466     386     960     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 2097152    8    797.0  566.6   560   464  1088   576   976      664.2   472.2     466     386     906     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 3145728    8    797.0  566.6   560   464  1072   576   992      664.2   472.2     466     386     893     480       826            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 4194304    8    797.0  566.7   560   464  1120   576   976      664.2   472.3     466     386     933     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 8388608    8    879.0  568.1   560   464  1168   576   992      732.5   473.4     466     386     973     480       826            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 16777216    8    919.0  568.6   560   464  1168   576   976      765.8   473.9     466     386     973     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 33554432    8    939.0  568.3   560   464  1088   576   976      782.5   473.6     466     386     906     480       813            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 67108864    8    942.0  561.1   560   464  1184   576   976      785.0   467.6     466     386     986     480       813            0    2097152


  LAT_CMD_RD Rand DThrash  0  0  1024    8    790.0  559.8   560   464  1072   576   976      658.3   466.5     466     386     893     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  4096    8    790.0  559.7   560   464  1168   576   976      658.3   466.4     466     386     973     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16384    8    792.0  562.2   560   464  1120   576   976      660.0   468.5     466     386     933     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 262144    8    793.0  562.5   560   464  1152   576   976      660.8   468.7     466     386     960     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 524288    8    793.0  562.5   560   464  1072   576   976      660.8   468.8     466     386     893     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1048576    8    793.0  562.8   560   464  1088   576   976      660.8   469.0     466     386     906     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1572864.0    8    793.0  562.8   560   464  1072   576   976      660.8   469.0     466     386     893     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 2097152    8    793.0  562.6   560   464  1152   576   976      660.8   468.9     466     386     960     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 3145728    8    793.0  562.8   560   464  1168   576   976      660.8   469.0     466     386     973     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 4194304    8    793.0  562.7   560   464  1072   576   976      660.8   468.9     466     386     893     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 8388608    8    875.0  564.4   560   464  1088   576   976      729.2   470.3     466     386     906     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16777216    8    916.0  565.3   560   464  1152   576   976      763.3   471.1     466     386     960     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 33554432    8    936.0  565.1   560   464  1088   576   976      780.0   470.9     466     386     906     480       813            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 67108864    8    939.0  558.5   560   464  1168   576   976      782.5   465.4     466     386     973     480       813            0    2097152


  LAT_CMD_RD Rand   DWarm  0  0  1024    8    707.0  477.7   480   464   544   480   512      589.2   398.1     400     386     453     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0  4096    8    707.0  477.8   480   464   544   480   512      589.2   398.1     400     386     453     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 16384    8    707.0  477.8   480   464   544   480   512      589.2   398.2     400     386     453     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 262144    8    707.0  477.8   480   464   544   480   512      589.2   398.2     400     386     453     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 524288    8    707.0  477.8   480   464   928   480   512      589.2   398.2     400     386     773     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 1048576    8    707.0  477.8   480   464   592   480   512      589.2   398.1     400     386     493     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 1572864.0    8    707.0  477.8   480   464   544   480   512      589.2   398.2     400     386     453     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 2097152    8    707.0  477.8   480   464   944   480   512      589.2   398.2     400     386     786     400       426            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 3145728    8    730.0  500.5   480   464  1184   560   960      608.3   417.1     400     386     986     466       800            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 4194304    8    742.0  511.8   480   464  1072   560   976      618.3   426.5     400     386     893     466       813            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 8388608    8    851.0  540.3   560   464  1168   560   976      709.2   450.2     466     386     973     466       813            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 16777216    8    905.0  554.9   560   464  1152   576   976      754.2   462.4     466     386     960     480       813            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 33554432    8    932.0  561.9   560   464  1120   576   976      776.7   468.3     466     386     933     480       813            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 67108864    8    939.0  558.1   560   464  1088   576   976      782.5   465.1     466     386     906     480       813            0    2097152


  LAT_CMD_RD Rand   HWarm  0  0  1024    8    794.0  564.6   560   544  1184   576   976      661.7   470.5     466     453     986     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0  4096    8    794.0  564.6   560   544  1168   576   976      661.7   470.5     466     453     973     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 16384    8    794.0  564.6   560   544  1152   576   976      661.7   470.5     466     453     960     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 262144    8    797.0  566.8   560   544  1168   576   976      664.2   472.3     466     453     973     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 524288    8    797.0  566.8   560   544  1088   576   976      664.2   472.3     466     453     906     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 1048576    8    797.0  566.8   560   544  1136   576   976      664.2   472.3     466     453     946     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 1572864.0    8    797.0  566.8   560   544  1088   576   992      664.2   472.4     466     453     906     480       826            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 2097152    8    797.0  566.8   560   544  1072   576   992      664.2   472.3     466     453     893     480       826            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 3145728    8    797.0  566.9   560   544  1136   576   976      664.2   472.4     466     453     946     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 4194304    8    796.0  566.4   560   544  1088   576   976      663.3   472.0     466     453     906     480       813            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 8388608    8    878.0  568.1   560   544  1120   576   992      731.7   473.5     466     453     933     480       826            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 16777216    8    938.0  588.1   576   560  1088   608   992      781.7   490.1     480     466     906     506       826            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 33554432    8    959.0  588.5   576   560  1152   608   992      799.2   490.4     480     466     960     506       826            0    2097152
  LAT_CMD_RD Rand   HWarm  0  0 67108864    8    963.0  582.7   576   464  1168   608   992      802.5   485.6     480     386     973     506       826            0    2097152
