        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0   1KB   64    815.0  585.4   576   560  1104   592  1008      679.2   487.9     480     466     920     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4KB   64    815.0  585.5   576   560  1088   592  1008      679.2   487.9     480     466     906     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16KB   64    815.0  585.5   576   560  1168   592  1008      679.2   487.9     480     466     973     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 256KB   64    815.0  584.8   576   560  1136   592  1008      679.2   487.4     480     466     946     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 512KB   64    815.0  584.9   576   560  1104   592  1008      679.2   487.4     480     466     920     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   1MB   64    815.0  584.9   576   560  1152   592  1008      679.2   487.4     480     466     960     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1.5MB   64    815.0  584.9   576   560  1184   592  1008      679.2   487.4     480     466     986     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   2MB   64    815.0  584.9   576   560  1200   592  1008      679.2   487.4     480     466    1000     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   3MB   64    815.0  584.9   576   560  1168   592  1008      679.2   487.4     480     466     973     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4MB   64    815.0  584.8   576   560  1104   592  1008      679.2   487.4     480     466     920     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   8MB   64    896.0  585.6   576   560  1104   592  1008      746.7   488.0     480     466     920     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16MB   64    936.0  585.6   576   560  1088   592  1008      780.0   488.0     480     466     906     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  32MB   64    956.0  585.4   576   560  1104   592  1008      796.7   487.8     480     466     920     493       840            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  64MB   64    963.0  582.8   576   480  1152   592  1008      802.5   485.6     480     400     960     493       840            0    2097152

  LAT_CMD_RD Rand DThrash  0  0   1KB   64    816.0  585.7   576   560  1168   592  1008      680.0   488.0     480     466     973     493       840            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   4KB   64    812.0  582.5   576   480  1104   592  1008      676.7   485.4     480     400     920     493       840            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  16KB   64    812.0  582.6   576   480  1088   592  1008      676.7   485.5     480     400     906     493       840            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 256KB   64    811.0  581.0   576   480  1264   592  1008      675.8   484.2     480     400    1053     493       840            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 512KB   64    811.0  581.4   576   480  1200   592  1008      675.8   484.5     480     400    1000     493       840            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   1MB   64    811.0  581.4   576   480  1152   592  1008      675.8   484.5     480     400     960     493       840            0    2097152
