        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64    963.0  730.4   720   704  1392   736  1152      802.5   608.6     600     586    1160     613       960            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB   64   1004.0  771.9   768   720 14112   784  1168      836.7   643.2     640     600   11760     653       973            1   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB   64    964.0  731.6   720   624  1312   736  1152      803.3   609.6     600     520    1093     613       960            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB   64    987.0  754.9   736   720 13664   768  1152      822.5   629.1     613     600   11386     640       960            1   16777216
  LAT_DMA_RD Rand    Cold  0  0   8KB 2048   1666.0 1433.7  1424  1392  2128  1536  1872     1388.3  1194.8    1186    1160    1773    1280      1560            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB 2048   1704.0 1471.2  1456  1424 15568  1648  1920     1420.0  1226.0    1213    1186   12973    1373      1600            1   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB 2048   1666.0 1433.4  1424  1392  2048  1520  1872     1388.3  1194.5    1186    1160    1706    1266      1560            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB 2048   1690.0 1457.6  1440  1408  8432  1584  1904     1408.3  1214.7    1200    1173    7026    1320      1586            1   16777216

LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   1163.0  930.7   928   912  1008   944   960      969.2   775.6     773     760     840     786       800            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB   64   1163.0  930.3   928   912  1312   944   960      969.2   775.3     773     760    1093     786       800            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   1163.0  931.4   928   912  1456   944   976      969.2   776.1     773     760    1213     786       813            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB   64   1164.0  931.9   928   912  1472   944   976      970.0   776.5     773     760    1226     786       813            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0   8KB 2048   2443.0 2211.5  2208  2192  2336  2240  2272     2035.8  1842.9    1840    1826    1946    1866      1893            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB 2048   2443.0 2211.5  2208  2192  2352  2240  2272     2035.8  1842.9    1840    1826    1960    1866      1893            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB 2048   2534.0 2302.6  2304  2176  2864  2336  2368     2111.7  1918.9    1920    1813    2386    1946      1973            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB 2048   2534.0 2303.0  2304  2192  2864  2336  2384     2111.7  1919.2    1920    1826    2386    1946      1986            0   16777216
