#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   64   1161.0  930.3   928   912  1008   944   960      967.5   775.2     773     760     840     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0  8192   64   1178.0  949.3   944   928  1296   960   992      981.7   791.1     786     773    1080     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0  8192   64   1178.0  949.7   944   928  1360   960   992      981.7   791.4     786     773    1133     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0  8192   64   1178.0  949.3   944   928  1152   960   992      981.7   791.1     786     773     960     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0  8192   64   1176.0  947.5   944   928  1328   960   976      980.0   789.6     786     773    1106     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0  8192   64   1178.0  949.3   944   928  1344   960   992      981.7   791.1     786     773    1120     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0  8192   64   1176.0  947.5   944   928  1392   960   976      980.0   789.6     786     773    1160     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0  8192   64   1174.0  945.1   944   928  1296   960   976      978.3   787.6     786     773    1080     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0  8192   64   1171.0  943.6   944   928  1344   960   976      975.8   786.3     786     773    1120     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0  8192   64   1173.0  944.5   944   928  1440   960   976      977.5   787.1     786     773    1200     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0  8192   64   1175.0  947.1   944   928  1296   960   976      979.2   789.3     786     773    1080     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0  8192   64   1168.0  939.7   944   928  1232   944   976      973.3   783.1     786     773    1026     786       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 41  0  8192   64   1179.0  950.0   944   928  1216   960   992      982.5   791.7     786     773    1013     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm 48  0  8192   64   1175.0  945.3   944   928  1376   960   976      979.2   787.8     786     773    1146     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 63  0  8192   64   1180.0  952.7   960   928  1232   960   992      983.3   793.9     800     773    1026     800       826            0    2097152


LAT_DMA_WRRD  Seq   HWarm  0  0  8192   64   1161.0  930.7   928   912  1008   944   960      967.5   775.6     773     760     840     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  1  8192   64   1201.0  972.3   976   960  1040   976  1008     1000.8   810.2     813     800     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  2  8192   64   1201.0  972.6   976   960  1040   976  1008     1000.8   810.5     813     800     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  3  8192   64   1200.0  972.6   976   960  1056   976  1008     1000.0   810.5     813     800     880     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  4  8192   64   1200.0  972.6   976   960  1488   976  1008     1000.0   810.5     813     800    1240     813       840            0    2097152
