Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_WRRD,Rand,Cold,0,0,8192,64,1161,930.3036804199219,928.0,912,1008,944.0,960.0,967.5,775.2530670166016,773.3333333333334,760.0,840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,65536,64,1161,930.6741714477539,928.0,912,992,944.0,960.0,967.5,775.5618095397949,773.3333333333334,760.0,826.6666666666666,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,262144,64,1161,930.6967544555664,928.0,912,1408,944.0,960.0,967.5,775.580628712972,773.3333333333334,760.0,1173.3333333333333,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,524288,64,1161,930.6983032226562,928.0,912,1296,944.0,960.0,967.5,775.5819193522135,773.3333333333334,760.0,1080.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,1048576,64,1161,930.6928329467773,928.0,912,1408,944.0,960.0,967.5,775.5773607889811,773.3333333333334,760.0,1173.3333333333333,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,1572864.0,64,1161,930.2976455688477,928.0,912,1088,944.0,960.0,967.5,775.2480379740397,773.3333333333334,760.0,906.6666666666666,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,2097152,64,1161,930.2922897338867,928.0,912,1376,944.0,960.0,967.5,775.2435747782389,773.3333333333334,760.0,1146.6666666666667,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,4194304,64,1161,930.5300369262695,928.0,912,1440,944.0,960.0,967.5,775.441697438558,773.3333333333334,760.0,1200.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,8388608,64,1161,931.0574111938477,928.0,912,1424,944.0,976.0,967.5,775.881175994873,773.3333333333334,760.0,1186.6666666666667,786.6666666666666,813.3333333333334,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,16777216,64,1161,931.2822570800781,928.0,912,1440,944.0,976.0,967.5,776.0685475667318,773.3333333333334,760.0,1200.0,786.6666666666666,813.3333333333334,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,33554432,64,1161,931.3482818603516,928.0,912,1456,944.0,976.0,967.5,776.1235682169596,773.3333333333334,760.0,1213.3333333333333,786.6666666666666,813.3333333333334,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,67108864,64,1161,931.3476867675781,928.0,912,1440,944.0,976.0,967.5,776.1230723063151,773.3333333333334,760.0,1200.0,786.6666666666666,813.3333333333334,0,2097152
LAT_DMA_WRRD,Rand,DThrash,0,0,8192,64,1160,930.6735763549805,928.0,912,1008,944.0,960.0,966.6666666666666,775.5613136291504,773.3333333333334,760.0,840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,DThrash,0,0,65536,64,1160,930.6847610473633,928.0,912,1088,944.0,960.0,966.6666666666666,775.5706342061361,773.3333333333334,760.0,906.6666666666666,786.6666666666666,800.0,0,2097152
