Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_WRRD,Rand,Cold,0,0,1024,8,911,656.0984115600586,656.0,640,1088,672.0,688.0,759.1666666666666,546.7486763000488,546.6666666666666,533.3333333333334,906.6666666666666,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4096,8,911,656.0455703735352,656.0,640,1104,672.0,688.0,759.1666666666666,546.7046419779459,546.6666666666666,533.3333333333334,920.0,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16384,8,911,656.1256256103516,656.0,640,1152,672.0,688.0,759.1666666666666,546.771354675293,546.6666666666666,533.3333333333334,960.0,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,262144,8,911,656.2467803955078,656.0,640,1216,672.0,736.0,759.1666666666666,546.8723169962565,546.6666666666666,533.3333333333334,1013.3333333333334,560.0,613.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,524288,8,912,656.4819793701172,656.0,640,1216,672.0,736.0,760.0,547.0683161417643,546.6666666666666,533.3333333333334,1013.3333333333334,560.0,613.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1048576,8,912,656.8239669799805,656.0,640,1232,672.0,752.0,760.0,547.3533058166504,546.6666666666666,533.3333333333334,1026.6666666666667,560.0,626.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1572864.0,8,912,657.1340560913086,656.0,640,1232,672.0,752.0,760.0,547.6117134094238,546.6666666666666,533.3333333333334,1026.6666666666667,560.0,626.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,2097152,8,913,657.5085601806641,656.0,640,1232,672.0,752.0,760.8333333333334,547.9238001505533,546.6666666666666,533.3333333333334,1026.6666666666667,560.0,626.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,3145728,8,935,680.1355819702148,656.0,640,1248,736.0,1136.0,779.1666666666666,566.7796516418457,546.6666666666666,533.3333333333334,1040.0,613.3333333333334,946.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4194304,8,946,691.2896728515625,656.0,640,1264,752.0,1152.0,788.3333333333334,576.0747273763021,546.6666666666666,533.3333333333334,1053.3333333333333,626.6666666666666,960.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,8388608,8,1055,719.6859588623047,736.0,640,1328,752.0,1152.0,879.1666666666666,599.7382990519205,613.3333333333334,533.3333333333334,1106.6666666666667,626.6666666666666,960.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16777216,8,1110,733.7336120605469,736.0,640,1296,752.0,1168.0,925.0,611.4446767171224,613.3333333333334,533.3333333333334,1080.0,626.6666666666666,973.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,33554432,8,1139,742.6827850341797,736.0,640,1328,768.0,1168.0,949.1666666666666,618.9023208618164,613.3333333333334,533.3333333333334,1106.6666666666667,640.0,973.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,67108864,8,1152,746.4105453491211,736.0,640,1360,768.0,1168.0,960.0,622.0087877909342,613.3333333333334,533.3333333333334,1133.3333333333333,640.0,973.3333333333334,0,2097152
