        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64   1040.0  810.6   784   768  1648  1072  1184      866.7   675.5     653     640    1373     893       986            0    2097152
  LAT_DMA_RD Rand    Cold  0  0  64KB   64   1026.0  796.4   784   768  1712   816  1200      855.0   663.7     653     640    1426     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 256KB   64   1026.0  796.3   784   768  1648   816  1200      855.0   663.6     653     640    1373     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 512KB   64   1026.0  796.4   784   768  1696   816  1200      855.0   663.7     653     640    1413     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   1MB   64   1026.0  796.4   784   768  1648   816  1200      855.0   663.7     653     640    1373     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 1.5MB   64   1026.0  796.3   784   768  1696   816  1200      855.0   663.6     653     640    1413     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   2MB   64   1026.0  796.4   784   768  1648   816  1200      855.0   663.7     653     640    1373     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   4MB   64   1026.0  796.5   784   768  1600   816  1200      855.0   663.7     653     640    1333     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   8MB   64   1026.0  796.4   784   768  1728   816  1200      855.0   663.7     653     640    1440     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0  16MB   64   1026.0  796.4   784   768  1632   816  1200      855.0   663.7     653     640    1360     680      1000            0    2097152
  LAT_DMA_RD Rand    Cold  0  0  32MB   64   1026.0  796.4   784   768  1664   816  1200      855.0   663.7     653     640    1386     680      1000            0    2097152
