Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,HWarm,0,0,8192,16,200576336,167146946.66666666,134217728,8388608,6.423939206866358,50187025.05364342
BW_DMA_RD,Rand,HWarm,0,0,8192,32,202864400,169053666.66666666,268435456,8388608,12.702969952342551,49620976.37633809
BW_DMA_RD,Rand,HWarm,0,0,8192,63,253341056,211117546.66666666,528482304,8388608,20.026087356326485,39734300.3101716
BW_DMA_RD,Rand,HWarm,0,0,8192,64,212579664,177149720.0,536870912,8388608,24.244843830405152,47353210.60626006
BW_DMA_RD,Rand,HWarm,0,0,8192,65,259095472,215912893.33333334,545259520,8388608,20.202944310813738,38851815.98233411
BW_DMA_RD,Rand,HWarm,0,0,8192,127,260902096,217418413.33333334,1065353216,8388608,39.20011004281085,38582785.47520753
BW_DMA_RD,Rand,HWarm,0,0,8192,128,256731104,213942586.66666666,1073741824,8388608,40.150653153425466,39209622.22014205
BW_DMA_RD,Rand,HWarm,0,0,8192,129,297322096,247768413.33333334,1082130432,8388608,34.94006092032931,33856648.17861367
BW_DMA_RD,Rand,HWarm,0,0,8192,192,374792560,312327133.3333333,1610612736,8388608,41.254506934716105,26858402.952289127
BW_DMA_RD,Rand,HWarm,0,0,8192,255,405786752,338155626.6666667,2139095040,8388608,50.60616760598433,24806944.90489428
BW_DMA_RD,Rand,HWarm,0,0,8192,256,457966304,381638586.6666667,2147483648,8388608,45.01606961196865,21980502.74021907
BW_DMA_RD,Rand,HWarm,0,0,8192,257,421561008,351300840.0,2155872256,8388608,49.094610898169215,23878701.798720434
BW_DMA_RD,Rand,HWarm,0,0,8192,320,548285168,456904306.6666667,2684354560,8388608,47.000731152369966,18359660.606394514
BW_DMA_RD,Rand,HWarm,0,0,8192,384,581349664,484458053.3333333,3221225472,8388608,53.193054793268104,17315447.523850296
BW_DMA_RD,Rand,HWarm,0,0,8192,511,751988528,626657106.6666666,4286578688,8388608,54.72311594200278,13386280.80773062
BW_DMA_RD,Rand,HWarm,0,0,8192,512,752052416,626710346.6666666,4294967296,8388608,54.82554827880508,13385143.622755148
BW_DMA_RD,Rand,HWarm,0,0,8192,513,789718256,658098546.6666666,4303355904,8388608,52.31260182289619,12746735.33696301
BW_DMA_RD,Rand,HWarm,0,0,8192,576,870933664,725778053.3333334,4831838208,8388608,53.25967833619071,11558089.916708054
