Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Rand,Cold,0,0,4096,512,758187296,631822746.6666666,4294967296,8388608,54.38192681297578,13276837.600824164
BW_DMA_WR,Rand,Cold,0,0,16384,512,757409488,631174573.3333334,4294967296,8388608,54.437773350945925,13290472.009508282
BW_DMA_WR,Rand,Cold,0,0,262144,512,757478096,631231746.6666666,4294967296,8388608,54.43284269120305,13289268.235156996
BW_DMA_WR,Rand,Cold,0,0,524288,512,757470640,631225533.3333334,4294967296,8388608,54.43337848923095,13289399.045222398
BW_DMA_WR,Rand,Cold,0,0,1048576,512,757699184,631415986.6666666,4294967296,8388608,54.41695980709939,13285390.577905124
BW_DMA_WR,Rand,Cold,0,0,1572864.0,512,758187712,631823093.3333334,4294967296,8388608,54.381896974874735,13276830.316131527
BW_DMA_WR,Rand,Cold,0,0,2097152,512,758187552,631822960.0,4294967296,8388608,54.38190845106357,13276833.117935441
BW_DMA_WR,Rand,Cold,0,0,3145728,512,757411488,631176240.0,4294967296,8388608,54.437629604054806,13290436.915052442
BW_DMA_WR,Rand,Cold,0,0,4194304,512,758187856,631823213.3333334,4294967296,8388608,54.38188664630893,13276827.794509016
BW_DMA_WR,Rand,Cold,0,0,8388608,512,757478128,631231773.3333334,4294967296,8388608,54.432840391663426,13289267.673745954
BW_DMA_WR,Rand,Cold,0,0,16777216,512,757645024,631370853.3333334,4294967296,8388608,54.42084978518911,13286340.279587183
BW_DMA_WR,Rand,Cold,0,0,33554432,512,758188000,631823333.3333334,4294967296,8388608,54.38187631774704,13276825.27288746
BW_DMA_WR,Rand,Cold,0,0,67108864,512,757459168,631215973.3333334,4294967296,8388608,54.43420290293456,13289600.318099258
BW_DMA_WR,Rand,DThrash,0,0,4096,512,757539872,631283226.6666666,4294967296,8388608,54.42840379179408,13288184.519480977
BW_DMA_WR,Rand,DThrash,0,0,16384,512,757514752,631262293.3333334,4294967296,8388608,54.43020869592253,13288625.16990296
BW_DMA_WR,Rand,DThrash,0,0,262144,512,757621488,631351240.0,4294967296,8388608,54.42254040397545,13286753.028314319
BW_DMA_WR,Rand,DThrash,0,0,524288,512,757410768,631175640.0,4294967296,8388608,54.43768135284815,13290449.549035193
BW_DMA_WR,Rand,DThrash,0,0,1048576,512,757429888,631191573.3333334,4294967296,8388608,54.43630716827482,13290114.054754594
BW_DMA_WR,Rand,DThrash,0,0,1572864.0,512,758187024,631822520.0,4294967296,8388608,54.38194632252108,13276842.363896746
BW_DMA_WR,Rand,DThrash,0,0,2097152,512,757448736,631207280.0,4294967296,8388608,54.43495260067343,13289783.349773785
