Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,1030,797.6555757522583,784.0,624,3168,960.0,1216.0,858.3333333333334,664.7129797935486,653.3333333333334,520.0,2640.0,800.0,1013.3333333333334,2,16777216
LAT_DMA_RD,Rand,HWarm,0,0,8192,64,1041,808.541729927063,784.0,768,14992,1040.0,1184.0,867.5,673.7847749392191,653.3333333333334,640.0,12493.333333333334,866.6666666666666,986.6666666666666,1,16777216
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,1369,1136.911841392517,1120.0,624,3168,1328.0,1808.0,1140.8333333333333,947.4265344937643,933.3333333333334,520.0,2640.0,1106.6666666666667,1506.6666666666667,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,67108864,64,1374,1141.8224172592163,1120.0,768,12336,1328.0,1824.0,1145.0,951.5186810493469,933.3333333333334,640.0,10280.0,1106.6666666666667,1520.0,1,16777216
LAT_DMA_RD,Rand,Cold,0,0,8192,2048,1733,1501.0475301742554,1488.0,1456,3744,1552.0,1936.0,1444.1666666666667,1250.8729418118794,1240.0,1213.3333333333333,3120.0,1293.3333333333333,1613.3333333333333,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,8192,2048,1732,1499.5509338378906,1488.0,1456,14928,1552.0,1936.0,1443.3333333333333,1249.6257781982422,1240.0,1213.3333333333333,12440.0,1293.3333333333333,1613.3333333333333,1,16777216
LAT_DMA_RD,Rand,Cold,0,0,67108864,2048,2080,1847.863567352295,1824.0,1456,4208,2112.0,2544.0,1733.3333333333333,1539.8863061269124,1520.0,1213.3333333333333,3506.6666666666665,1760.0,2120.0,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,67108864,2048,2082,1849.4969625473022,1824.0,1456,43776,2112.0,2544.0,1735.0,1541.2474687894185,1520.0,1213.3333333333333,36480.0,1760.0,2120.0,1693,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,8192,64,1166,934.0790700912476,928.0,912,2992,944.0,976.0,971.6666666666666,778.3992250760397,773.3333333333334,760.0,2493.3333333333335,786.6666666666666,813.3333333333334,4,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,8192,64,1166,934.0638217926025,928.0,912,2944,944.0,976.0,971.6666666666666,778.3865181605021,773.3333333333334,760.0,2453.3333333333335,786.6666666666666,813.3333333333334,3,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,67108864,64,1658,1426.8363161087036,1424.0,912,3216,1456.0,1856.0,1381.6666666666667,1189.0302634239197,1186.6666666666667,760.0,2680.0,1213.3333333333333,1546.6666666666667,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,67108864,64,1658,1427.4520950317383,1424.0,912,3632,1472.0,1856.0,1381.6666666666667,1189.5434125264485,1186.6666666666667,760.0,3026.6666666666665,1226.6666666666667,1546.6666666666667,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,8192,2048,2441,2209.790270805359,2208.0,2192,4528,2240.0,2272.0,2034.1666666666667,1841.491892337799,1840.0,1826.6666666666667,3773.3333333333335,1866.6666666666667,1893.3333333333333,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,8192,2048,2441,2209.7913360595703,2208.0,2192,4208,2240.0,2272.0,2034.1666666666667,1841.4927800496419,1840.0,1826.6666666666667,3506.6666666666665,1866.6666666666667,1893.3333333333333,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,67108864,2048,2734,2502.4454774856567,2496.0,2192,60384,2544.0,2960.0,2278.3333333333335,2085.371231238047,2080.0,1826.6666666666667,50320.0,2120.0,2466.6666666666665,1019,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,67108864,2048,2732,2500.533929824829,2496.0,2192,5632,2544.0,2944.0,2276.6666666666665,2083.7782748540244,2080.0,1826.6666666666667,4693.333333333333,2120.0,2453.3333333333335,0,16777216
