        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64   1030.0  797.7   784   624  3168   960  1216      858.3   664.7     653     520    2640     800      1013            2   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB   64   1041.0  808.5   784   768 14992  1040  1184      867.5   673.8     653     640   12493     866       986            1   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB   64   1369.0 1136.9  1120   624  3168  1328  1808     1140.8   947.4     933     520    2640    1106      1506            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB   64   1374.0 1141.8  1120   768 12336  1328  1824     1145.0   951.5     933     640   10280    1106      1520            1   16777216
  LAT_DMA_RD Rand    Cold  0  0   8KB 2048   1733.0 1501.0  1488  1456  3744  1552  1936     1444.2  1250.9    1240    1213    3120    1293      1613            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB 2048   1732.0 1499.6  1488  1456 14928  1552  1936     1443.3  1249.6    1240    1213   12440    1293      1613            1   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB 2048   2080.0 1847.9  1824  1456  4208  2112  2544     1733.3  1539.9    1520    1213    3506    1760      2120            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB 2048   2082.0 1849.5  1824  1456 43776  2112  2544     1735.0  1541.2    1520    1213   36480    1760      2120         1693   16777216

LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   1166.0  934.1   928   912  2992   944   976      971.7   778.4     773     760    2493     786       813            4   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB   64   1166.0  934.1   928   912  2944   944   976      971.7   778.4     773     760    2453     786       813            3   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   1658.0 1426.8  1424   912  3216  1456  1856     1381.7  1189.0    1186     760    2680    1213      1546            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB   64   1658.0 1427.5  1424   912  3632  1472  1856     1381.7  1189.5    1186     760    3026    1226      1546            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0   8KB 2048   2441.0 2209.8  2208  2192  4528  2240  2272     2034.2  1841.5    1840    1826    3773    1866      1893            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB 2048   2441.0 2209.8  2208  2192  4208  2240  2272     2034.2  1841.5    1840    1826    3506    1866      1893            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB 2048   2734.0 2502.4  2496  2192 60384  2544  2960     2278.3  2085.4    2080    1826   50320    2120      2466         1019   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB 2048   2732.0 2500.5  2496  2192  5632  2544  2944     2276.7  2083.8    2080    1826    4693    2120      2453            0   16777216
