#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD Rand    Cold  0  0  8192   64   1164.0  934.0   928   912  2704   944   976      970.0   778.4     773     760    2253     786       813            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 65536   64   1164.0  934.2   928   912  2688   944   976      970.0   778.5     773     760    2240     786       813            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 262144   64   1164.0  934.3   928   912  2672   944  1072      970.0   778.6     773     760    2226     786       893            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 524288   64   1185.0  956.4   928   912  2688  1184  1520      987.5   797.0     773     760    2240     986      1266            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1048576   64   1302.0 1074.1  1168   912  2512  1200  1600     1085.0   895.1     973     760    2093    1000      1333            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1572864.0   64   1341.0 1112.4  1184   912  2768  1200  1600     1117.5   927.0     986     760    2306    1000      1333            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 2097152   64   1360.0 1131.7  1184   912  2784  1200  1600     1133.3   943.1     986     760    2320    1000      1333            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 4194304   64   1481.0 1252.2  1184   912  2800  1440  1840     1234.2  1043.5     986     760    2333    1200      1533            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 8388608   64   1570.0 1341.5  1424   912  2880  1456  1856     1308.3  1117.9    1186     760    2400    1213      1546            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 16777216   64   1619.0 1390.7  1424   912  2880  1456  1856     1349.2  1159.0    1186     760    2400    1213      1546            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 33554432   64   1643.0 1414.8  1424   912  2688  1456  1856     1369.2  1179.0    1186     760    2240    1213      1546            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 67108864   64   1655.0 1426.8  1424   928  3584  1456  1856     1379.2  1189.0    1186     773    2986    1213      1546            0    2097152


LAT_DMA_WRRD Rand DThrash  0  0  8192   64   1164.0  934.2   928   912  2768   944   976      970.0   778.5     773     760    2306     786       813            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 65536   64   1190.0  961.1   928   912  2800  1184  1536      991.7   801.0     773     760    2333     986      1280            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 262144   64   1304.0 1074.9  1168   912  2784  1200  1600     1086.7   895.8     973     760    2320    1000      1333            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 524288   64   1218.0  989.4   944   912  2624  1184  1584     1015.0   824.5     786     760    2186     986      1320            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 1048576   64   1355.0 1126.1  1184   912  2480  1200  1616     1129.2   938.4     986     760    2066    1000      1346            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 1572864.0   64   1401.0 1172.0  1184   912  2448  1216  1616     1167.5   976.7     986     760    2040    1013      1346            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 2097152   64   1381.0 1151.8  1184   912  2448  1216  1616     1150.8   959.8     986     760    2040    1013      1346            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 4194304   64   1502.0 1272.9  1184   912  2672  1440  1840     1251.7  1060.8     986     760    2226    1200      1533            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 8388608   64   1574.0 1344.7  1424   912  3008  1456  1856     1311.7  1120.6    1186     760    2506    1213      1546            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 16777216   64   1623.0 1393.8  1424   912  2432  1456  1856     1352.5  1161.5    1186     760    2026    1213      1546            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 33554432   64   1645.0 1416.3  1424   912  2688  1456  1856     1370.8  1180.2    1186     760    2240    1213      1546            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 67108864   64   1655.0 1426.9  1424   928  3024  1456  1856     1379.2  1189.1    1186     773    2520    1213      1546            0    2097152


LAT_DMA_WRRD Rand   DWarm  0  0  8192   64   1164.0  934.1   928   912  2448   944   976      970.0   778.4     773     760    2040     786       813            0    2097152
