Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Seq,HWarm,0,0,8192,64,196528080,163773400.0,536870912,8388608,26.22506033336305,51220820.963599704
BW_DMA_RD,Seq,HWarm,1,0,8192,64,211404352,176170293.33333334,536870912,8388608,24.379634129764746,47616472.909696765
BW_DMA_RD,Seq,HWarm,2,0,8192,64,211429456,176191213.33333334,536870912,8388608,24.37673942272263,47610819.185005136
BW_DMA_RD,Seq,HWarm,3,0,8192,64,211402096,176168413.33333334,536870912,8388608,24.37989429962889,47616981.05396268
BW_DMA_RD,Seq,HWarm,4,0,8192,64,211346048,176121706.66666666,536870912,8388608,24.38635973547989,47629608.858359165
BW_DMA_RD,Seq,HWarm,6,0,8192,64,211378160,176148466.66666666,536870912,8388608,24.382655025476616,47622373.096634015
BW_DMA_RD,Seq,HWarm,8,0,8192,64,197422768,164518973.33333334,536870912,8388608,26.106212608669328,50988696.50130728
BW_DMA_RD,Seq,HWarm,12,0,8192,64,212549968,177124973.33333334,536870912,8388608,24.248231150992222,47359826.466781676
BW_DMA_RD,Seq,HWarm,16,0,8192,64,210566640,175472200.0,536870912,8388608,24.476625334383453,47805908.85621768
BW_DMA_RD,Seq,HWarm,20,0,8192,64,211897200,176581000.0,536870912,8388608,24.32292996415243,47505722.58623522
BW_DMA_RD,Seq,HWarm,25,0,8192,64,212948256,177456880.0,536870912,8388608,24.20287844573848,47271246.96433297
BW_DMA_RD,Seq,HWarm,32,0,8192,64,210933824,175778186.66666666,536870912,8388608,24.434017539074247,47722690.506004386
BW_DMA_RD,Seq,HWarm,41,0,8192,64,213107296,177589413.33333334,536870912,8388608,24.184816061858342,47235968.87081707
BW_DMA_RD,Seq,HWarm,48,0,8192,64,211019984,175849986.66666666,536870912,8388608,24.424041067124715,47703205.20922796
BW_DMA_RD,Seq,HWarm,63,0,8192,64,212532960,177110800.0,536870912,8388608,24.250171621380513,47363616.44800881
BW_DMA_RD,Seq,HWarm,0,0,8192,64,196532112,163776760.0,536870912,8388608,26.22452230707214,51219770.13100027
BW_DMA_RD,Seq,HWarm,0,1,8192,64,414282480,345235400.0,536870912,8388608,12.44069204954069,24298226.65925916
BW_DMA_RD,Seq,HWarm,0,2,8192,64,414279040,345232533.3333333,536870912,8388608,12.440795351847877,24298428.421577882
BW_DMA_RD,Seq,HWarm,0,3,8192,64,414279808,345233173.3333333,536870912,8388608,12.440772288858453,24298383.376676664
BW_DMA_RD,Seq,HWarm,0,4,8192,64,414279376,345232813.3333333,536870912,8388608,12.440785261779482,24298408.714413047
BW_DMA_RD,Seq,HWarm,0,6,8192,64,414280496,345233746.6666667,536870912,8388608,12.440751628336372,24298343.024094477
BW_DMA_RD,Seq,HWarm,0,8,8192,64,196553360,163794466.66666666,536870912,8388608,26.22168735858802,51214233.12224223
BW_DMA_RD,Seq,HWarm,0,12,8192,64,414280336,345233613.3333333,536870912,8388608,12.440756433102827,24298352.40840396
BW_DMA_RD,Seq,HWarm,0,16,8192,64,196545072,163787560.0,536870912,8388608,26.22279308636138,51216392.74679957
BW_DMA_RD,Seq,HWarm,0,20,8192,64,414280112,345233426.6666667,536870912,8388608,12.440763159782094,24298365.546449404
BW_DMA_RD,Seq,HWarm,0,25,8192,64,414280352,345233626.6666667,536870912,8388608,12.440755952626013,24298351.46997268
BW_DMA_RD,Seq,HWarm,0,32,8192,64,196526128,163771773.33333334,536870912,8388608,26.22532081433976,51221329.71550734
BW_DMA_RD,Seq,HWarm,0,41,8192,64,414280448,345233706.6666667,536870912,8388608,12.440753069765918,24298345.839386556
BW_DMA_RD,Seq,HWarm,0,48,8192,64,196554128,163795106.66666666,536870912,8388608,26.22158490204795,51214033.011812404
BW_DMA_RD,Seq,HWarm,0,63,8192,64,414282288,345235240.0,536870912,8388608,12.440697815205656,24298237.920323547
BW_DMA_RD,Seq,HWarm,0,0,8192,128,251373216,209477680.0,1073741824,8388608,41.006443225836755,40045354.712731205
BW_DMA_RD,Seq,HWarm,1,0,8192,128,291221248,242684373.33333334,1073741824,8388608,35.39549940531811,34565917.38800597
BW_DMA_RD,Seq,HWarm,2,0,8192,128,291216080,242680066.66666666,1073741824,8388608,35.39612754350653,34566530.80420559
BW_DMA_RD,Seq,HWarm,3,0,8192,128,291216432,242680360.0,1073741824,8388608,35.39608475939297,34566489.022844695
BW_DMA_RD,Seq,HWarm,4,0,8192,128,291221584,242684653.33333334,1073741824,8388608,35.39545856738421,34565877.50721114
BW_DMA_RD,Seq,HWarm,6,0,8192,128,291223904,242686586.66666666,1073741824,8388608,35.395176593745546,34565602.14232964
