Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,512,754092352,628410293.3333334,4294967296,8388608,54.67723672338742,13348934.746920757
BW_DMA_RD,Rand,Cold,0,0,16384,512,751341600,626118000.0,4294967296,8388608,54.8774166658681,13397806.803190455
BW_DMA_RD,Rand,Cold,0,0,262144,512,750855648,625713040.0,4294967296,8388608,54.91293320017751,13406477.832074586
BW_DMA_RD,Rand,Cold,0,0,524288,512,750630560,625525466.6666666,4294967296,8388608,54.929399679117786,13410497.968534615
BW_DMA_RD,Rand,Cold,0,0,1048576,512,750346288,625288573.3333334,4294967296,8388608,54.950209924407595,13415578.594826074
BW_DMA_RD,Rand,Cold,0,0,1572864.0,512,750611232,625509360.0,4294967296,8388608,54.93081409365321,13410843.284583302
BW_DMA_RD,Rand,Cold,0,0,2097152,512,750562512,625468760.0,4294967296,8388608,54.93437972505613,13411713.800062533
BW_DMA_RD,Rand,Cold,0,0,3145728,512,750578784,625482320.0,4294967296,8388608,54.93318878781418,13411423.043899946
BW_DMA_RD,Rand,Cold,0,0,4194304,512,750616752,625513960.0,4294967296,8388608,54.93041013505118,13410744.661877729
BW_DMA_RD,Rand,Cold,0,0,8388608,512,750609968,625508306.6666666,4294967296,8388608,54.930906595154624,13410865.86795767
BW_DMA_RD,Rand,Cold,0,0,16777216,512,750610976,625509146.6666666,4294967296,8388608,54.93083282810935,13410847.858425135
BW_DMA_RD,Rand,Cold,0,0,33554432,512,750623072,625519226.6666666,4294967296,8388608,54.92994763901955,13410631.747807508
BW_DMA_RD,Rand,Cold,0,0,67108864,512,750600304,625500253.3333334,4294967296,8388608,54.93161383212016,13411038.533232462
BW_DMA_RD,Rand,DThrash,0,0,4096,512,754262384,628551986.6666666,4294967296,8388608,54.66491093316938,13345925.520793306
BW_DMA_RD,Rand,DThrash,0,0,16384,512,751346752,626122293.3333334,4294967296,8388608,54.87704037030295,13397714.934155993
BW_DMA_RD,Rand,DThrash,0,0,262144,512,750858672,625715560.0,4294967296,8388608,54.91271204443118,13406423.838972457
BW_DMA_RD,Rand,DThrash,0,0,524288,512,750600416,625500346.6666666,4294967296,8388608,54.93160563556096,13411036.532119375
BW_DMA_RD,Rand,DThrash,0,0,1048576,512,750348160,625290133.3333334,4294967296,8388608,54.95007283232359,13415545.125079002
BW_DMA_RD,Rand,DThrash,0,0,1572864.0,512,750620112,625516760.0,4294967296,8388608,54.930164250115375,13410684.631375825
BW_DMA_RD,Rand,DThrash,0,0,2097152,512,750577456,625481213.3333334,4294967296,8388608,54.93328598134714,13411446.772789828
BW_DMA_RD,Rand,DThrash,0,0,3145728,512,750573712,625478093.3333334,4294967296,8388608,54.93355999870136,13411513.67155795
BW_DMA_RD,Rand,DThrash,0,0,4194304,512,750613312,625511093.3333334,4294967296,8388608,54.93066187667079,13410806.12223408
BW_DMA_RD,Rand,DThrash,0,0,8388608,512,750536560,625447133.3333334,4294967296,8388608,54.93627924214644,13412177.54935216
BW_DMA_RD,Rand,DThrash,0,0,16777216,512,750619504,625516253.3333334,4294967296,8388608,54.93020874341682,13410695.493998246
BW_DMA_RD,Rand,DThrash,0,0,33554432,512,750624080,625520066.6666666,4294967296,8388608,54.929873874549834,13410613.738903768
BW_DMA_RD,Rand,DThrash,0,0,67108864,512,750620416,625517013.3333334,4294967296,8388608,54.93014200349168,13410679.20007121
BW_DMA_RD,Rand,DWarm,0,0,4096,512,754178304,628481920.0,4294967296,8388608,54.67100528206126,13347413.398940736
BW_DMA_RD,Rand,DWarm,0,0,16384,512,751350032,626125026.6666666,4294967296,8388608,54.87680080593915,13397656.446762487
BW_DMA_RD,Rand,DWarm,0,0,262144,512,750872272,625726893.3333334,4294967296,8388608,54.911717450661165,13406181.018227823
BW_DMA_RD,Rand,DWarm,0,0,524288,512,750620576,625517146.6666666,4294967296,8388608,54.93013029474961,13410676.341491606
BW_DMA_RD,Rand,DWarm,0,0,1048576,512,750341296,625284413.3333334,4294967296,8388608,54.95057550664251,13415667.848301394
BW_DMA_RD,Rand,DWarm,0,0,1572864.0,512,750633648,625528040.0,4294967296,8388608,54.929173707384884,13410442.799654514
BW_DMA_RD,Rand,DWarm,0,0,2097152,512,750583072,625485893.3333334,4294967296,8388608,54.93287496044142,13411346.425889017
BW_DMA_RD,Rand,DWarm,0,0,3145728,512,750605376,625504480.0,4294967296,8388608,54.931242647534674,13410947.91199577
BW_DMA_RD,Rand,DWarm,0,0,4194304,512,750641104,625534253.3333334,4294967296,8388608,54.92862810454355,13410309.595835827
BW_DMA_RD,Rand,DWarm,0,0,8388608,512,750613088,625510906.6666666,4294967296,8388608,54.93067826922837,13410810.124323333
BW_DMA_RD,Rand,DWarm,0,0,16777216,512,750609712,625508093.3333334,4294967296,8388608,54.930925329673855,13410870.441814907
BW_DMA_RD,Rand,DWarm,0,0,33554432,512,750630096,625525080.0,4294967296,8388608,54.92943363358029,13410506.258198313
BW_DMA_RD,Rand,DWarm,0,0,67108864,512,750605344,625504453.3333334,4294967296,8388608,54.93124498937753,13410948.48373475
BW_DMA_RD,Rand,HWarm,0,0,4096,512,753806576,628172146.6666666,4294967296,8388608,54.6979654388157,13353995.468460865
BW_DMA_RD,Rand,HWarm,0,0,16384,512,751245088,626037573.3333334,4294967296,8388608,54.88446673424372,13399528.011289973
BW_DMA_RD,Rand,HWarm,0,0,262144,512,750794336,625661946.6666666,4294967296,8388608,54.917417546421134,13407572.64316922
BW_DMA_RD,Rand,HWarm,0,0,524288,512,750560416,625467013.3333334,4294967296,8388608,54.934533133705784,13411751.25334614
BW_DMA_RD,Rand,HWarm,0,0,1048576,512,750291472,625242893.3333334,4294967296,8388608,54.95422456514339,13416558.731724462
BW_DMA_RD,Rand,HWarm,0,0,1572864.0,512,750545680,625454733.3333334,4294967296,8388608,54.93561170267478,13412014.575848335
BW_DMA_RD,Rand,HWarm,0,0,2097152,512,750507440,625422866.6666666,4294967296,8388608,54.9384107925699,13412697.94740476
BW_DMA_RD,Rand,HWarm,0,0,3145728,512,750536208,625446840.0,4294967296,8388608,54.93630500715297,13412183.839636955
BW_DMA_RD,Rand,HWarm,0,0,4194304,512,750543872,625453226.6666666,4294967296,8388608,54.93574403815798,13412046.884315914
BW_DMA_RD,Rand,HWarm,0,0,8388608,512,750562160,625468466.6666666,4294967296,8388608,54.934405488280944,13411720.08991234
BW_DMA_RD,Rand,HWarm,0,0,16777216,512,750557648,625464706.6666666,4294967296,8388608,54.93473572812092,13411800.714873271
BW_DMA_RD,Rand,HWarm,0,0,33554432,512,750597840,625498200.0,4294967296,8388608,54.93179415704154,13411082.55787147
BW_DMA_RD,Rand,HWarm,0,0,67108864,512,750625824,625521520.0,4294967296,8388608,54.929746250776475,13410582.580755973
