Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,Cold,0,0,4096,8,792,561.7898254394531,560.0,464,1152,576.0,976.0,660.0,468.15818786621094,466.6666666666667,386.6666666666667,960.0,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,1,0,4096,8,792,561.8478927612305,560.0,464,1136,576.0,976.0,660.0,468.2065773010254,466.6666666666667,386.6666666666667,946.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,2,0,4096,8,792,561.6240997314453,560.0,464,1104,576.0,976.0,660.0,468.0200831095378,466.6666666666667,386.6666666666667,920.0,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,3,0,4096,8,792,561.5649337768555,560.0,464,1168,576.0,976.0,660.0,467.9707781473796,466.6666666666667,386.6666666666667,973.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,4,0,4096,8,792,561.4555282592773,560.0,464,1168,576.0,976.0,660.0,467.87960688273114,466.6666666666667,386.6666666666667,973.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,6,0,4096,8,792,561.561164855957,560.0,464,1152,576.0,976.0,660.0,467.9676373799642,466.6666666666667,386.6666666666667,960.0,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,8,0,4096,8,792,561.5214691162109,560.0,464,1120,576.0,976.0,660.0,467.93455759684247,466.6666666666667,386.6666666666667,933.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,16,0,4096,8,792,561.4895248413086,560.0,464,1072,576.0,976.0,660.0,467.90793736775714,466.6666666666667,386.6666666666667,893.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,32,0,4096,8,794,564.1443176269531,560.0,464,1104,576.0,976.0,661.6666666666666,470.1202646891276,466.6666666666667,386.6666666666667,920.0,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,48,0,4096,8,794,564.130615234375,560.0,464,1072,576.0,976.0,661.6666666666666,470.1088460286458,466.6666666666667,386.6666666666667,893.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,792,561.5983581542969,560.0,464,1232,576.0,976.0,660.0,467.9986317952474,466.6666666666667,386.6666666666667,1026.6666666666667,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,1,0,4096,8,792,561.5901336669922,560.0,464,1088,576.0,976.0,660.0,467.99177805582684,466.6666666666667,386.6666666666667,906.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,2,0,4096,8,792,561.4926986694336,560.0,464,1120,576.0,976.0,660.0,467.910582224528,466.6666666666667,386.6666666666667,933.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,3,0,4096,8,792,561.4935073852539,560.0,464,1072,576.0,976.0,660.0,467.91125615437824,466.6666666666667,386.6666666666667,893.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,4,0,4096,8,792,561.664176940918,560.0,464,1184,576.0,976.0,660.0,468.0534807840983,466.6666666666667,386.6666666666667,986.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,6,0,4096,8,792,561.6331405639648,560.0,464,1088,576.0,976.0,660.0,468.0276171366374,466.6666666666667,386.6666666666667,906.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,8,0,4096,8,792,561.6448135375977,560.0,464,1088,576.0,976.0,660.0,468.03734461466473,466.6666666666667,386.6666666666667,906.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,16,0,4096,8,792,561.7223052978516,560.0,464,1072,576.0,976.0,660.0,468.10192108154297,466.6666666666667,386.6666666666667,893.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,32,0,4096,8,794,564.3559036254883,560.0,464,1120,576.0,976.0,661.6666666666666,470.29658635457355,466.6666666666667,386.6666666666667,933.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,48,0,4096,8,794,564.2814483642578,560.0,464,1120,576.0,976.0,661.6666666666666,470.23454030354816,466.6666666666667,386.6666666666667,933.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,0,0,8388608,8,792,561.5732116699219,560.0,464,1136,576.0,976.0,660.0,467.97767639160156,466.6666666666667,386.6666666666667,946.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,1,0,8388608,8,792,561.5792770385742,560.0,464,1104,576.0,976.0,660.0,467.9827308654785,466.6666666666667,386.6666666666667,920.0,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,2,0,8388608,8,792,561.559700012207,560.0,464,1072,576.0,976.0,660.0,467.9664166768392,466.6666666666667,386.6666666666667,893.3333333333334,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,3,0,8388608,8,792,561.5436096191406,560.0,464,1088,576.0,976.0,660.0,467.9530080159505,466.6666666666667,386.6666666666667,906.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,4,0,8388608,8,792,561.5539703369141,560.0,464,1088,576.0,976.0,660.0,467.9616419474284,466.6666666666667,386.6666666666667,906.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,6,0,8388608,8,792,561.937255859375,560.0,464,1232,576.0,976.0,660.0,468.2810465494792,466.6666666666667,386.6666666666667,1026.6666666666667,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,8,0,8388608,8,792,561.8436126708984,560.0,464,1088,576.0,976.0,660.0,468.20301055908203,466.6666666666667,386.6666666666667,906.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,16,0,8388608,8,792,561.8944702148438,560.0,464,1136,576.0,976.0,660.0,468.2453918457031,466.6666666666667,386.6666666666667,946.6666666666666,480.0,813.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,32,0,8388608,8,794,564.4310989379883,560.0,464,1168,576.0,976.0,661.6666666666666,470.35924911499023,466.6666666666667,386.6666666666667,973.3333333333334,480.0,813.3333333333334,0,2097152
