        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq    Cold  0  0   4KB    8    792.0  561.8   560   464  1152   576   976      660.0   468.2     466     386     960     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  1  0   4KB    8    792.0  561.8   560   464  1136   576   976      660.0   468.2     466     386     946     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  2  0   4KB    8    792.0  561.6   560   464  1104   576   976      660.0   468.0     466     386     920     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  3  0   4KB    8    792.0  561.6   560   464  1168   576   976      660.0   468.0     466     386     973     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  4  0   4KB    8    792.0  561.5   560   464  1168   576   976      660.0   467.9     466     386     973     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  6  0   4KB    8    792.0  561.6   560   464  1152   576   976      660.0   468.0     466     386     960     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  8  0   4KB    8    792.0  561.5   560   464  1120   576   976      660.0   467.9     466     386     933     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold 16  0   4KB    8    792.0  561.5   560   464  1072   576   976      660.0   467.9     466     386     893     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold 32  0   4KB    8    794.0  564.1   560   464  1104   576   976      661.7   470.1     466     386     920     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold 48  0   4KB    8    794.0  564.1   560   464  1072   576   976      661.7   470.1     466     386     893     480       813            0    2097152

  LAT_CMD_RD  Seq   HWarm  0  0   4KB    8    792.0  561.6   560   464  1232   576   976      660.0   468.0     466     386    1026     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  1  0   4KB    8    792.0  561.6   560   464  1088   576   976      660.0   468.0     466     386     906     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  2  0   4KB    8    792.0  561.5   560   464  1120   576   976      660.0   467.9     466     386     933     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  3  0   4KB    8    792.0  561.5   560   464  1072   576   976      660.0   467.9     466     386     893     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  4  0   4KB    8    792.0  561.7   560   464  1184   576   976      660.0   468.1     466     386     986     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  6  0   4KB    8    792.0  561.6   560   464  1088   576   976      660.0   468.0     466     386     906     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  8  0   4KB    8    792.0  561.6   560   464  1088   576   976      660.0   468.0     466     386     906     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm 16  0   4KB    8    792.0  561.7   560   464  1072   576   976      660.0   468.1     466     386     893     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm 32  0   4KB    8    794.0  564.4   560   464  1120   576   976      661.7   470.3     466     386     933     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm 48  0   4KB    8    794.0  564.3   560   464  1120   576   976      661.7   470.2     466     386     933     480       813            0    2097152

  LAT_CMD_RD  Seq    Cold  0  0   8MB    8    792.0  561.6   560   464  1136   576   976      660.0   468.0     466     386     946     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  1  0   8MB    8    792.0  561.6   560   464  1104   576   976      660.0   468.0     466     386     920     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  2  0   8MB    8    792.0  561.6   560   464  1072   576   976      660.0   468.0     466     386     893     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  3  0   8MB    8    792.0  561.5   560   464  1088   576   976      660.0   468.0     466     386     906     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  4  0   8MB    8    792.0  561.6   560   464  1088   576   976      660.0   468.0     466     386     906     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  6  0   8MB    8    792.0  561.9   560   464  1232   576   976      660.0   468.3     466     386    1026     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold  8  0   8MB    8    792.0  561.8   560   464  1088   576   976      660.0   468.2     466     386     906     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold 16  0   8MB    8    792.0  561.9   560   464  1136   576   976      660.0   468.2     466     386     946     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold 32  0   8MB    8    794.0  564.4   560   464  1168   576   976      661.7   470.4     466     386     973     480       813            0    2097152
  LAT_CMD_RD  Seq    Cold 48  0   8MB    8    794.0  564.5   560   464  1200   576   976      661.7   470.4     466     386    1000     480       813            0    2097152

  LAT_CMD_RD  Seq   HWarm  0  0   8MB    8    792.0  561.9   560   464  1136   576   976      660.0   468.3     466     386     946     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  1  0   8MB    8    792.0  561.9   560   464  1184   576   976      660.0   468.3     466     386     986     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  2  0   8MB    8    792.0  561.9   560   464  1168   576   976      660.0   468.2     466     386     973     480       813            0    2097152
  LAT_CMD_RD  Seq   HWarm  3  0   8MB    8    792.0  561.8   560   464  1168   576   976      660.0   468.2     466     386     973     480       813            0    2097152
