Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,4,1007,777.5538635253906,768.0,752,14688,800.0,1248.0,839.1666666666666,647.9615529378256,640.0,626.6666666666666,12240.0,666.6666666666666,1040.0,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,8,1010,781.0049285888672,768.0,752,1680,800.0,1248.0,841.6666666666666,650.8374404907227,640.0,626.6666666666666,1400.0,666.6666666666666,1040.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,16,1010,781.0771789550781,768.0,752,1616,800.0,1248.0,841.6666666666666,650.8976491292318,640.0,626.6666666666666,1346.6666666666667,666.6666666666666,1040.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,24,1023,793.8992462158203,768.0,752,1728,1008.0,1264.0,852.5,661.5827051798502,640.0,626.6666666666666,1440.0,840.0,1053.3333333333333,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,32,1023,793.9026718139648,768.0,752,1696,1008.0,1264.0,852.5,661.5855598449707,640.0,626.6666666666666,1413.3333333333333,840.0,1053.3333333333333,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,48,1040,811.4369888305664,784.0,768,1632,1088.0,1184.0,866.6666666666666,676.1974906921387,653.3333333333334,640.0,1360.0,906.6666666666666,986.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,1040,811.2848205566406,784.0,768,1648,1104.0,1216.0,866.6666666666666,676.0706837972006,653.3333333333334,640.0,1373.3333333333333,920.0,1013.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,1047,817.902587890625,816.0,784,1680,832.0,1232.0,872.5,681.5854899088541,680.0,653.3333333333334,1400.0,693.3333333333334,1026.6666666666667,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,1105,875.7939987182617,864.0,832,1680,944.0,1296.0,920.8333333333334,729.8283322652181,720.0,693.3333333333334,1400.0,786.6666666666666,1080.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,512,1201,971.1560974121094,960.0,928,14224,976.0,1440.0,1000.8333333333334,809.2967478434244,800.0,773.3333333333334,11853.333333333334,813.3333333333334,1200.0,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,768,1317,1086.5043640136719,1056.0,1024,1936,1376.0,1536.0,1097.5,905.4203033447266,880.0,853.3333333333334,1613.3333333333333,1146.6666666666667,1280.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1024,1385,1154.2957077026367,1136.0,1120,2064,1168.0,1600.0,1154.1666666666667,961.9130897521973,946.6666666666666,933.3333333333334,1720.0,973.3333333333334,1333.3333333333333,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1280,1469,1239.4182510375977,1232.0,1200,2144,1264.0,1696.0,1224.1666666666667,1032.8485425313313,1026.6666666666667,1000.0,1786.6666666666667,1053.3333333333333,1413.3333333333333,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1520,1561,1331.7487487792969,1312.0,1280,2112,1472.0,1680.0,1300.8333333333333,1109.7906239827473,1093.3333333333333,1066.6666666666667,1760.0,1226.6666666666667,1400.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,2048,1723,1492.7758255004883,1488.0,1456,2384,1520.0,1936.0,1435.8333333333333,1243.9798545837402,1240.0,1213.3333333333333,1986.6666666666667,1266.6666666666667,1613.3333333333333,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,4,1134,902.4653854370117,896.0,880,1248,912.0,944.0,945.0,752.0544878641764,746.6666666666666,733.3333333333334,1040.0,760.0,786.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,8,1134,904.9600830078125,912.0,896,1296,912.0,944.0,945.0,754.1334025065104,760.0,746.6666666666666,1080.0,760.0,786.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,16,1135,905.853385925293,912.0,896,1392,912.0,944.0,945.8333333333334,754.8778216044108,760.0,746.6666666666666,1160.0,760.0,786.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,24,1145,913.8717880249023,912.0,896,1408,928.0,944.0,954.1666666666666,761.5598233540853,760.0,746.6666666666666,1173.3333333333333,773.3333333333334,786.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,32,1147,915.3691482543945,912.0,896,1344,928.0,944.0,955.8333333333334,762.8076235453287,760.0,746.6666666666666,1120.0,773.3333333333334,786.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,48,1160,929.8981781005859,928.0,912,1392,944.0,960.0,966.6666666666666,774.9151484171549,773.3333333333334,760.0,1160.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,1161,930.6893844604492,928.0,912,1136,944.0,960.0,967.5,775.5744870503744,773.3333333333334,760.0,946.6666666666666,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,128,1207,977.8417205810547,976.0,944,1200,992.0,1008.0,1005.8333333333334,814.8681004842123,813.3333333333334,786.6666666666666,1000.0,826.6666666666666,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,256,1282,1053.3745193481445,1056.0,1040,1312,1056.0,1088.0,1068.3333333333333,877.8120994567871,880.0,866.6666666666666,1093.3333333333333,880.0,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,512,1440,1210.9677505493164,1216.0,1184,1440,1232.0,1248.0,1200.0,1009.1397921244303,1013.3333333333334,986.6666666666666,1200.0,1026.6666666666667,1040.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,768,1591,1361.469581604004,1360.0,1344,1568,1376.0,1408.0,1325.8333333333333,1134.5579846700032,1133.3333333333333,1120.0,1306.6666666666667,1146.6666666666667,1173.3333333333333,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,1024,1754,1524.350845336914,1520.0,1504,1696,1552.0,1584.0,1461.6666666666667,1270.292371114095,1266.6666666666667,1253.3333333333333,1413.3333333333333,1293.3333333333333,1320.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,1280,1922,1692.8632354736328,1696.0,1648,1856,1712.0,1744.0,1601.6666666666667,1410.719362894694,1413.3333333333333,1373.3333333333333,1546.6666666666667,1426.6666666666667,1453.3333333333333,0,2097152
