Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Seq,Cold,0,0,8192,64,160300800,133584000.0,536870912,8388608,32.151809318481256,62796502.5751587
BW_DMA_RD,Seq,Cold,1,0,8192,64,168739888,140616573.33333334,536870912,8388608,30.543819936635252,59655898.31374072
BW_DMA_RD,Seq,Cold,2,0,8192,64,166111936,138426613.33333334,536870912,8388608,31.027034416118056,60599676.59398058
BW_DMA_RD,Seq,Cold,3,0,8192,64,165346016,137788346.66666666,536870912,8388608,31.17075863019282,60880387.94959536
BW_DMA_RD,Seq,Cold,4,0,8192,64,193077696,160898080.0,536870912,8388608,26.693713784527446,52136159.73540517
BW_DMA_RD,Seq,Cold,6,0,8192,64,198302176,165251813.33333334,536870912,8388608,25.99043973778684,50762577.61286493
BW_DMA_RD,Seq,Cold,8,0,8192,64,193307200,161089333.33333334,536870912,8388608,26.662021669135964,52074261.072531186
BW_DMA_RD,Seq,Cold,12,0,8192,64,189449680,157874733.33333334,536870912,8388608,27.20490610065955,53134582.22785068
BW_DMA_RD,Seq,Cold,16,0,8192,64,157171840,130976533.33333333,536870912,8388608,32.79188406269215,64046648.5599456
BW_DMA_RD,Seq,Cold,20,0,8192,64,189370416,157808680.0,536870912,8388608,27.216293146866192,53156822.55247303
BW_DMA_RD,Seq,Cold,25,0,8192,64,196084512,163403760.0,536870912,8388608,26.284384741207912,51336688.947671704
BW_DMA_RD,Seq,Cold,32,0,8192,64,159731536,133109613.33333333,536870912,8388608,32.26639450333715,63020301.76433037
BW_DMA_RD,Seq,Cold,41,0,8192,64,197831648,164859706.66666666,536870912,8388608,26.052256083920405,50883312.66390704
BW_DMA_RD,Seq,Cold,48,0,8192,64,157321616,131101346.66666667,536870912,8388608,32.760664975625474,63985673.780518495
BW_DMA_RD,Seq,Cold,63,0,8192,64,194001632,161668026.66666666,536870912,8388608,26.56658452852603,51887860.4072774
BW_DMA_RD,Seq,Cold,0,0,8192,64,155051440,129209533.33333333,536870912,8388608,33.240328211076275,64922516.03725835
BW_DMA_RD,Seq,Cold,0,1,8192,64,532158896,443465746.6666667,536870912,8388608,9.685003471594694,18916022.405458387
BW_DMA_RD,Seq,Cold,0,2,8192,64,522719824,435599853.3333333,536870912,8388608,9.85989151082971,19257600.607089277
BW_DMA_RD,Seq,Cold,0,3,8192,64,516937376,430781146.6666667,536870912,8388608,9.970184000005448,19473015.62501064
BW_DMA_RD,Seq,Cold,0,4,8192,64,494320656,411933880.0,536870912,8388608,10.426351180437015,20363967.149291046
BW_DMA_RD,Seq,Cold,0,6,8192,64,565889648,471574706.6666667,536870912,8388608,9.107713444512418,17788502.821313318
BW_DMA_RD,Seq,Cold,0,8,8192,64,160383968,133653306.66666667,536870912,8388608,32.13513681866257,62763939.09895034
BW_DMA_RD,Seq,Cold,0,12,8192,64,681118048,567598373.3333334,536870912,8388608,7.566912623052384,14779126.216899186
BW_DMA_RD,Seq,Cold,0,16,8192,64,153968192,128306826.66666667,536870912,8388608,33.47419157328287,65379280.416568115
BW_DMA_RD,Seq,Cold,0,20,8192,64,631990448,526658706.6666667,536870912,8388608,8.155124450868282,15927977.443102114
BW_DMA_RD,Seq,Cold,0,25,8192,64,718130736,598442280.0,536870912,8388608,7.1769115243662265,14017405.321027786
BW_DMA_RD,Seq,Cold,0,32,8192,64,156988432,130823693.33333333,536870912,8388608,32.830194489744315,64121473.61278187
BW_DMA_RD,Seq,Cold,0,41,8192,64,782574128,652145106.6666666,536870912,8388608,6.5859074186004785,12863100.42695406
BW_DMA_RD,Seq,Cold,0,48,8192,64,162565408,135471173.33333334,536870912,8388608,31.70392040107327,61921719.533346236
BW_DMA_RD,Seq,Cold,0,63,8192,64,622873872,519061560.0,536870912,8388608,8.274485392445552,16161104.282120217
