Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,256,602395680,501996400.0,2147483648,8388608,34.22309240464673,16710494.338206409
BW_DMA_RD,Rand,Cold,0,0,16384,256,660705568,550587973.3333334,2147483648,8388608,31.202768705590806,15235726.90702676
BW_DMA_RD,Rand,Cold,0,0,262144,256,609512320,507926933.3333333,2147483648,8388608,33.8235050290698,16515383.314975489
BW_DMA_RD,Rand,Cold,0,0,524288,256,565805648,471504706.6666667,2147483648,8388608,36.43626233437669,17791143.717957374
BW_DMA_RD,Rand,Cold,0,0,1048576,256,508692976,423910813.3333333,2147483648,8388608,40.52708410269066,19788615.284516923
BW_DMA_RD,Rand,Cold,0,0,1572864.0,256,493542800,411285666.6666667,2147483648,8388608,41.7711351898964,20396062.1044416
BW_DMA_RD,Rand,Cold,0,0,2097152,256,493463248,411219373.3333333,2147483648,8388608,41.77786918145523,20399350.18625744
BW_DMA_RD,Rand,Cold,0,0,3145728,256,506117296,421764413.3333333,2147483648,8388608,40.73333036379773,19889321.466698106
BW_DMA_RD,Rand,Cold,0,0,4194304,256,497044256,414203546.6666667,2147483648,8388608,41.47687609692446,20252380.906701393
BW_DMA_RD,Rand,Cold,0,0,8388608,256,488093712,406744760.0,2147483648,8388608,42.23746898177619,20623764.151257906
BW_DMA_RD,Rand,Cold,0,0,16777216,256,500101152,416750960.0,2147483648,8388608,41.22334639373116,20128587.106314044
BW_DMA_RD,Rand,Cold,0,0,33554432,256,502428272,418690226.6666667,2147483648,8388608,41.03241033538017,20035356.60907235
BW_DMA_RD,Rand,Cold,0,0,67108864,256,497466464,414555386.6666667,2147483648,8388608,41.441673987495165,20235192.376706623
BW_DMA_RD,Rand,DThrash,0,0,4096,256,585055984,487546653.3333333,2147483648,8388608,35.23738511287495,17205754.44964597
BW_DMA_RD,Rand,DThrash,0,0,16384,256,714188336,595156946.6666666,2147483648,8388608,28.866115535104456,14094782.976125224
BW_DMA_RD,Rand,DThrash,0,0,262144,256,601491760,501243133.3333333,2147483648,8388608,34.27452276453463,16735606.818620423
BW_DMA_RD,Rand,DThrash,0,0,524288,256,513379664,427816386.6666667,2147483648,8388608,40.15710879580146,19607963.279199935
BW_DMA_RD,Rand,DThrash,0,0,1048576,256,494720160,412266800.0,2147483648,8388608,41.671726134629324,20347522.526674476
BW_DMA_RD,Rand,DThrash,0,0,1572864.0,256,490005824,408338186.6666667,2147483648,8388608,42.07264895855605,20543285.624294944
BW_DMA_RD,Rand,DThrash,0,0,2097152,256,491775824,409813186.6666667,2147483648,8388608,41.92122104156141,20469346.211699907
BW_DMA_RD,Rand,DThrash,0,0,3145728,256,494411040,412009200.0,2147483648,8388608,41.69778049616368,20360244.38289242
BW_DMA_RD,Rand,DThrash,0,0,4194304,256,497418272,414515226.6666667,2147483648,8388608,41.445689033313194,20237152.84829746
BW_DMA_RD,Rand,DThrash,0,0,8388608,256,495444464,412870386.6666667,2147483648,8388608,41.61080508268632,20317775.91928043
BW_DMA_RD,Rand,DThrash,0,0,16777216,256,494722368,412268640.0,2147483648,8388608,41.671540149161,20347431.713457517
BW_DMA_RD,Rand,DThrash,0,0,33554432,256,495315248,412762706.6666667,2147483648,8388608,41.62166035478076,20323076.34510779
BW_DMA_RD,Rand,DThrash,0,0,67108864,256,505607696,421339746.6666667,2147483648,8388608,40.774385326603095,19909367.835255418
BW_DMA_RD,Rand,DWarm,0,0,4096,256,570653600,475544666.6666667,2147483648,8388608,36.12672034453125,17640000.16822815
BW_DMA_RD,Rand,DWarm,0,0,16384,256,567491248,472909373.3333333,2147483648,8388608,36.328036940580276,17738299.28739271
