        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq    Cold  0  0   4KB    8   1319.0 1089.5   480   432 3601744  2672  7661     1099.2   907.9     400     360 3001453    2226      6384         1525    2097152
  LAT_CMD_RD  Seq    Cold  1  0   4KB    8   1494.0 1264.5   480   448 3607680  2672  8048     1245.0  1053.8     400     373 3006400    2226      6706         2120    2097152
  LAT_CMD_RD  Seq    Cold  2  0   4KB    8   1414.0 1183.9   480   432 3601280  2672  8096     1178.3   986.6     400     360 3001066    2226      6746         2242    2097152
  LAT_CMD_RD  Seq    Cold  3  0   4KB    8   1555.0 1324.8   480   448 3612256  2688  8624     1295.8  1104.0     400     373 3010213    2240      7186         2872    2097152
  LAT_CMD_RD  Seq    Cold  4  0   4KB    8   1417.0 1187.2   480   448 3579712  2672  8080     1180.8   989.3     400     373 2983093    2226      6733         2180    2097152
  LAT_CMD_RD  Seq    Cold  6  0   4KB    8   1378.0 1148.5   480   448 3612976  2672  7840     1148.3   957.1     400     373 3010813    2226      6533         1714    2097152
  LAT_CMD_RD  Seq    Cold  8  0   4KB    8   1563.0 1332.7   480   448 3573792  2688  8144     1302.5  1110.6     400     373 2978160    2240      6786         2325    2097152
  LAT_CMD_RD  Seq    Cold 16  0   4KB    8   2416.0 2186.1   480   448 3621344  2688 10560     2013.3  1821.8     400     373 3017786    2240      8800         3370    2097152
  LAT_CMD_RD  Seq    Cold 32  0   4KB    8   1527.0 1297.4   480   448 3621552  2688  7824     1272.5  1081.1     400     373 3017960    2240      6520         1711    2097152
  LAT_CMD_RD  Seq    Cold 48  0   4KB    8   1796.0 1566.3   480   448 3611296  2688  8256     1496.7  1305.3     400     373 3009413    2240      6880         2524    2097152

  LAT_CMD_RD  Seq   HWarm  0  0   4KB    8   2013.0 1783.6   480   448 3597568  2688  8781     1677.5  1486.3     400     373 2997973    2240      7317         2806    2097152
  LAT_CMD_RD  Seq   HWarm  1  0   4KB    8   1461.0 1231.6   480   432 3592256  2688  8096     1217.5  1026.4     400     360 2993546    2240      6746         2179    2097152
  LAT_CMD_RD  Seq   HWarm  2  0   4KB    8   2975.0 2745.0   480   448 3612256  2688 14272     2479.2  2287.5     400     373 3010213    2240     11893         4188    2097152
  LAT_CMD_RD  Seq   HWarm  3  0   4KB    8   2643.0 2413.1   480   448 5002608  2688 10861     2202.5  2010.9     400     373 4168840    2240      9051         3201    2097152
  LAT_CMD_RD  Seq   HWarm  4  0   4KB    8   3245.0 3015.6   480   448 6474816  2688 14576     2704.2  2513.0     400     373 5395680    2240     12146         4181    2097152
  LAT_CMD_RD  Seq   HWarm  6  0   4KB    8   3437.0 3206.5   480   448 3614704  2688 15152     2864.2  2672.0     400     373 3012253    2240     12626         4825    2097152
  LAT_CMD_RD  Seq   HWarm  8  0   4KB    8   3335.0 3104.6   480   448 5261648  2688 14736     2779.2  2587.1     400     373 4384706    2240     12280         4539    2097152
  LAT_CMD_RD  Seq   HWarm 16  0   4KB    8   2869.0 2639.1   480   448 5049696  2688 14144     2390.8  2199.2     400     373 4208080    2240     11786         4488    2097152
  LAT_CMD_RD  Seq   HWarm 32  0   4KB    8   1644.0 1413.7   480   448 3597968  2688  8928     1370.0  1178.1     400     373 2998306    2240      7440         3232    2097152
  LAT_CMD_RD  Seq   HWarm 48  0   4KB    8   1426.0 1196.3   480   432 3596768  2672  8000     1188.3   996.9     400     360 2997306    2226      6666         2071    2097152

  LAT_CMD_RD  Seq    Cold  0  0   8MB    8   1435.0 1204.6   464   432 3605888  2672  8064     1195.8  1003.8     386     360 3004906    2226      6720         2165    2097152
  LAT_CMD_RD  Seq    Cold  1  0   8MB    8   1716.0 1486.0   464   448 3615456  2672  8448     1430.0  1238.3     386     373 3012880    2226      7040         2607    2097152
  LAT_CMD_RD  Seq    Cold  2  0   8MB    8   1730.0 1500.3   464   448 3580368  2672  8688     1441.7  1250.3     386     373 2983640    2226      7240         3019    2097152
  LAT_CMD_RD  Seq    Cold  3  0   8MB    8   1395.0 1164.7   464   448 3602208  2672  7856     1162.5   970.6     386     373 3001840    2226      6546         1885    2097152
  LAT_CMD_RD  Seq    Cold  4  0   8MB    8   1497.0 1267.3   464   448 5579104  2672  8144     1247.5  1056.1     386     373 4649253    2226      6786         2428    2097152
  LAT_CMD_RD  Seq    Cold  6  0   8MB    8   1514.0 1283.9   464   448 3616992  2672  8592     1261.7  1069.9     386     373 3014160    2226      7160         2841    2097152
  LAT_CMD_RD  Seq    Cold  8  0   8MB    8   1691.0 1460.7   480   448 3608192  2672  9280     1409.2  1217.3     400     373 3006826    2226      7733         3610    2097152
  LAT_CMD_RD  Seq    Cold 16  0   8MB    8   1500.0 1269.5   480   448 3581392  2672  8144     1250.0  1057.9     400     373 2984493    2226      6786         2388    2097152
  LAT_CMD_RD  Seq    Cold 32  0   8MB    8   1467.0 1236.8   464   448 3591728  2672  8128     1222.5  1030.7     386     373 2993106    2226      6773         2373    2097152
  LAT_CMD_RD  Seq    Cold 48  0   8MB    8   1846.0 1616.1   480   448 3600032  2688 10032     1538.3  1346.8     400     373 3000026    2240      8360         3751    2097152

  LAT_CMD_RD  Seq   HWarm  0  0   8MB    8   1716.0 1485.8   464   448 3615712  2672  8176     1430.0  1238.2     386     373 3013093    2226      6813         2443    2097152
  LAT_CMD_RD  Seq   HWarm  1  0   8MB    8   1479.0 1249.0   464   448 3606624  2672  7984     1232.5  1040.8     386     373 3005520    2226      6653         2047    2097152
  LAT_CMD_RD  Seq   HWarm  2  0   8MB    8   2680.0 2450.3   464   448 3620960  2672 12029     2233.3  2041.9     386     373 3017466    2226     10024         3761    2097152
  LAT_CMD_RD  Seq   HWarm  3  0   8MB    8   2787.0 2556.9   464   448 3611232  2672 14109     2322.5  2130.7     386     373 3009360    2226     11757         3984    2097152
  LAT_CMD_RD  Seq   HWarm  4  0   8MB    8   2938.0 2707.5   464   432 6029024  2688 14256     2448.3  2256.2     386     360 5024186    2240     11880         4090    2097152
  LAT_CMD_RD  Seq   HWarm  6  0   8MB    8   2888.0 2658.0   464   448 5235232  2672 14221     2406.7  2215.0     386     373 4362693    2226     11851         3648    2097152
