#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq   HWarm  0  0  4096    4   1456.0 1226.1   480   432 3600416  2704  8112     1213.3  1021.7     400     360 3000346    2253      6760         2071    2097152
  LAT_CMD_RD  Seq   HWarm  0  0  4096    8   1285.0 1055.0   480   432 3599584  2688  7632     1070.8   879.2     400     360 2999653    2240      6360         1461    2097152
  LAT_CMD_RD  Seq   HWarm  0  0  4096   16   1442.0 1212.1   480   432 3613424  2688  7696     1201.7  1010.1     400     360 3011186    2240      6413         1533    2097152
  LAT_CMD_RD  Seq   HWarm  0  0  4096   24   1439.0 1209.0   480   448 3588144  2704  8096     1199.2  1007.5     400     373 2990120    2253      6746         2008    2097152
  LAT_CMD_RD  Seq   HWarm  0  0  4096   32   2332.0 2102.0   496   448 3577664  2688  8112     1943.3  1751.6     413     373 2981386    2240      6760         2159    2097152
  LAT_CMD_RD  Seq   HWarm  0  0  4096   48   3234.0 3003.6   496   448 3595808  2720 10128     2695.0  2503.0     413     373 2996506    2266      8440         2879    2097152
  LAT_CMD_RD  Seq   HWarm  0  0  4096   64   2531.0 2300.5   496   448 6011088  2720  8128     2109.2  1917.1     413     373 5009240    2266      6773         2019    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0  4096    4   1731.0 1481.0   544   512 3614848  2832 10144     1442.5  1234.2     453     426 3012373    2360      8453         3629    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0  4096    8   1517.0 1261.9   544   512 3605520  2816  9584     1264.2  1051.6     453     426 3004600    2346      7986         3338    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0  4096   16   1484.0 1218.3   544   512 3603728  2816  8240     1236.7  1015.3     453     426 3003106    2346      6866         1861    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0  4096   24   1570.0 1295.2   560   528 3609600  2896  8672     1308.3  1079.4     466     440 3008000    2413      7226         1986    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0  4096   32   1657.0 1372.3   560   528 3603008  2848  8256     1380.8  1143.6     466     440 3002506    2373      6880         1833    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0  4096   48   1886.0 1581.4   576   544 3594208  2800  9440     1571.7  1317.8     480     453 2995173    2333      7866         2741    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0  4096   64   2621.0 2297.0  1392   544 3599856  2800  8320     2184.2  1914.2    1160     453 2999880    2333      6933         1533    2097152
