Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Rand,Cold,0,0,1024,64,1432,1201.8196716308594,480.0,464,3612576,2672.0,7600.0,1193.3333333333333,1001.5163930257162,400.0,386.6666666666667,3010480.0,2226.6666666666665,6333.333333333333,1485,2097152
LAT_CMD_RD,Rand,Cold,0,0,4096,64,1456,1226.096908569336,496.0,464,3609408,2672.0,7968.0,1213.3333333333333,1021.7474238077799,413.3333333333333,386.6666666666667,3007840.0,2226.6666666666665,6640.0,2023,2097152
LAT_CMD_RD,Rand,Cold,0,0,16384,64,1835,1605.2046508789062,496.0,464,3581136,2672.0,8144.0,1529.1666666666667,1337.6705423990886,413.3333333333333,386.6666666666667,2984280.0,2226.6666666666665,6786.666666666667,2383,2097152
LAT_CMD_RD,Rand,Cold,0,0,262144,64,1376,1145.6239700317383,480.0,464,3537856,2656.0,7680.0,1146.6666666666667,954.6866416931152,400.0,386.6666666666667,2948213.3333333335,2213.3333333333335,6400.0,1678,2097152
LAT_CMD_RD,Rand,Cold,0,0,524288,64,2520,2290.0210189819336,656.0,464,3608352,2864.0,9520.0,2100.0,1908.3508491516113,546.6666666666666,386.6666666666667,3006960.0,2386.6666666666665,7933.333333333333,2459,2097152
LAT_CMD_RD,Rand,Cold,0,0,1048576,64,1847,1617.2151565551758,672.0,448,3612512,3200.0,8208.0,1539.1666666666667,1347.6792971293132,560.0,373.3333333333333,3010426.6666666665,2666.6666666666665,6840.0,1020,2097152
LAT_CMD_RD,Rand,Cold,0,0,1572864.0,64,1922,1692.1740036010742,672.0,464,3612736,3056.0,7728.0,1601.6666666666667,1410.1450030008953,560.0,386.6666666666667,3010613.3333333335,2546.6666666666665,6440.0,1072,2097152
LAT_CMD_RD,Rand,Cold,0,0,2097152,64,1751,1521.250114440918,672.0,464,3593120,3040.0,7632.0,1459.1666666666667,1267.708428700765,560.0,386.6666666666667,2994266.6666666665,2533.3333333333335,6360.0,729,2097152
LAT_CMD_RD,Rand,Cold,0,0,3145728,64,1848,1618.2418518066406,672.0,464,3566608,3040.0,7616.0,1540.0,1348.534876505534,560.0,386.6666666666667,2972173.3333333335,2533.3333333333335,6346.666666666667,832,2097152
LAT_CMD_RD,Rand,Cold,0,0,4194304,64,1733,1503.1648178100586,672.0,464,3606416,3120.0,7632.0,1444.1666666666667,1252.6373481750488,560.0,386.6666666666667,3005346.6666666665,2600.0,6360.0,614,2097152
LAT_CMD_RD,Rand,Cold,0,0,8388608,64,3510,3199.1285400390625,1600.0,464,3608848,3200.0,14560.0,2925.0,2665.9404500325522,1333.3333333333333,386.6666666666667,3007373.3333333335,2666.6666666666665,12133.333333333334,2527,2097152
