#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0  1024   64   2700.0 2374.5  1392   544 4910880  2816  8384     2250.0  1978.8    1160     453 4092400    2346      6986         2009    2097152
LAT_CMD_WRRD Rand    Cold  0  0  4096   64   2366.0 2040.9  1392   544 3608992  2800  8352     1971.7  1700.7    1160     453 3007493    2333      6960         1773    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16384   64   2502.0 2177.3  1392   544 3606976  2816  9232     2085.0  1814.4    1160     453 3005813    2346      7693         2352    2097152
LAT_CMD_WRRD Rand    Cold  0  0 262144   64   2714.0 2388.8  1392   544 3610256  2800  8352     2261.7  1990.6    1160     453 3008546    2333      6960         1754    2097152
LAT_CMD_WRRD Rand    Cold  0  0 524288   64   2813.0 2488.2  1408   544 3603776  3088  8640     2344.2  2073.5    1173     453 3003146    2573      7200         1489    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1048576   64   3185.0 2860.5  1680   544 3611968  4144  9456     2654.2  2383.7    1400     453 3009973    3453      7880          867    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1572864.0   64   4370.0 4044.9  1680   544 3601360  4224 10784     3641.7  3370.7    1400     453 3001133    3520      8986         1832    2097152
LAT_CMD_WRRD Rand    Cold  0  0 2097152   64   5567.0 5241.5  1696   544 3608528  4288 2410400     4639.2  4368.0    1413     453 3007106    3573   2008666         2903    2097152
LAT_CMD_WRRD Rand    Cold  0  0 3145728   64   4505.0 4179.8  1760   544 3608608  4368 14656     3754.2  3483.2    1466     453 3007173    3640     12213         2243    2097152
LAT_CMD_WRRD Rand    Cold  0  0 4194304   64   5191.0 4865.7  1760   576 3622176  4400 2410333     4325.8  4054.8    1466     480 3018480    3666   2008611         4276    2097152
LAT_CMD_WRRD Rand    Cold  0  0 8388608   64   5404.0 4999.1  1696   576 3611504  4400 2410320     4503.3  4165.9    1413     480 3009586    3666   2008600         4469    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16777216   64   5377.0 4931.7  1680   576 5206416  4384 2410256     4480.8  4109.8    1400     480 4338680    3653   2008546         4324    2097152
LAT_CMD_WRRD Rand    Cold  0  0 33554432   64   4234.0 3768.1  1680   576 5015296  4304 14704     3528.3  3140.1    1400     480 4179413    3586     12253         2523    2097152
LAT_CMD_WRRD Rand    Cold  0  0 67108864   64   3370.0 2893.7  1680   576 3624208  4288  8624     2808.3  2411.4    1400     480 3020173    3573      7186         1100    2097152


LAT_CMD_WRRD Rand DThrash  0  0  1024   64   2499.0 2174.2  1392   544 3619984  2848  8352     2082.5  1811.8    1160     453 3016653    2373      6960         1804    2097152
LAT_CMD_WRRD Rand DThrash  0  0  4096   64   2471.0 2146.0  1392   560 3610768  2848  9168     2059.2  1788.4    1160     466 3008973    2373      7640         2268    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16384   64   2554.0 2228.8  1392   544 3610432  2848  9232     2128.3  1857.3    1160     453 3008693    2373      7693         2326    2097152
LAT_CMD_WRRD Rand DThrash  0  0 262144   64   2387.0 2061.9  1392   560 3617248  2848  8384     1989.2  1718.2    1160     466 3014373    2373      6986         1996    2097152
LAT_CMD_WRRD Rand DThrash  0  0 524288   64   2755.0 2430.0  1408   544 6642160  2992  9232     2295.8  2025.0    1173     453 5535133    2493      7693         2307    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1048576   64   3457.0 3131.9  1680   560 3612624  4144 10813     2880.8  2609.9    1400     466 3010520    3453      9011         1712    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1572864.0   64   6270.0 5945.5  1744   544 5829952  4336 2410640     5225.0  4954.6    1453     453 4858293    3613   2008866         5989    2097152
LAT_CMD_WRRD Rand DThrash  0  0 2097152   64   5303.0 4978.2  1744   560 3615248  4352 2410400     4419.2  4148.5    1453     466 3012706    3626   2008666         4503    2097152
LAT_CMD_WRRD Rand DThrash  0  0 3145728   64   3176.0 2851.1  1760   576 3611216  4416  9744     2646.7  2375.9    1466     480 3009346    3680      8120         1061    2097152
LAT_CMD_WRRD Rand DThrash  0  0 4194304   64   3548.0 3223.0  1760   576 4825888  4480 11248     2956.7  2685.9    1466     480 4021573    3733      9373         1593    2097152
LAT_CMD_WRRD Rand DThrash  0  0 8388608   64   2973.0 2568.1  1744   576 3620624  4416  8720     2477.5  2140.1    1453     480 3017186    3680      7266          563    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16777216   64   3447.0 3001.9  1680   576 3623152  4400  9152     2872.5  2501.5    1400     480 3019293    3666      7626         1224    2097152
LAT_CMD_WRRD Rand DThrash  0  0 33554432   64   5957.0 5491.4  1680   576 4826224  4384 2410640     4964.2  4576.2    1400     480 4021853    3653   2008866         5160    2097152
LAT_CMD_WRRD Rand DThrash  0  0 67108864   64   3677.0 3201.6  1680   576 3610448  4304  9840     3064.2  2668.0    1400     480 3008706    3586      8200         1500    2097152


LAT_CMD_WRRD Rand   DWarm  0  0  1024   64   4660.0 4335.1  1392   544 3609296  2864 2410192     3883.3  3612.6    1160     453 3007746    2386   2008493         5566    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  4096   64   5426.0 5101.6  1392   544 4825808  2864 2410416     4521.7  4251.3    1160     453 4021506    2386   2008680         6678    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 16384   64   2649.0 2324.7  1392   544 3618576  2864  9424     2207.5  1937.2    1160     453 3015480    2386      7853         2664    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 262144   64   2771.0 2446.3  1392   544 3603792  2848  9056     2309.2  2038.6    1160     453 3003160    2373      7546         2171    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 524288   64   2660.0 2335.3  1440   560 3605920  3040  9232     2216.7  1946.1    1200     466 3004933    2533      7693         2266    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1048576   64   2798.0 2473.5  1680   560 3608336  4128  9248     2331.7  2061.2    1400     466 3006946    3440      7706          701    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1572864.0   64   3278.0 2953.1  1696   544 3608208  4288  9696     2731.7  2461.0    1413     453 3006840    3573      8080         1342    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 2097152   64   6255.0 5930.1  1744   576 5486288  4368 2410736     5212.5  4941.8    1453     480 4571906    3640   2008946         5942    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 3145728   64   6540.0 6214.7  1760   560 3612368  4368 2410880     5450.0  5178.9    1466     466 3010306    3640   2009066         6369    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 4194304   64   5785.0 5459.7  1760   576 4825376  4400 2410416     4820.8  4549.8    1466     480 4021146    3666   2008680         5270    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 8388608   64   6237.0 5831.3  1744   576 5838944  4416 2410829     5197.5  4859.5    1453     480 4865786    3680   2009024         5696    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 16777216   64   6938.0 6491.8  1680   560 4826096  4400 2411152     5781.7  5409.8    1400     466 4021746    3666   2009293         6782    2097152
