#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0  8192    4   4361.0 4131.3  1456   592 4833552  3488 15600     3634.2  3442.7    1213     493 4027960    2906     13000         3996    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192    8   4424.0 4194.4  1456   592 4912592  3744 15821     3686.7  3495.3    1213     493 4093826    3120     13184         3590    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192   16   4947.0 4716.6  1456   608 5425680  3520 2410496     4122.5  3930.5    1213     506 4521400    2933   2008746         4900    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192   24   6283.0 6052.7  1456   608 3619504  3504 2411088     5235.8  5043.9    1213     506 3016253    2920   2009240         6511    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192   32   5016.0 4786.2  1456   608 3609008  3328 2410496     4180.0  3988.5    1213     506 3007506    2773   2008746         4836    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192   48   5450.0 5220.1  1456   624 4825200  3344 2410560     4541.7  4350.1    1213     520 4021000    2786   2008800         5355    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192   64   4970.0 4739.7  1456   608 5953824  3280 2410496     4141.7  3949.7    1213     506 4961520    2733   2008746         4582    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  128   3838.0 3608.4  1472   656 5109712  2960 14592     3198.3  3007.0    1226     546 4258093    2466     12160         3771    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  256   5788.0 5557.6  1472   704 6026272  2976 2410704     4823.3  4631.3    1226     586 5021893    2480   2008920         6984    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  512   5002.0 4772.5  1568   784 3620064  2848 2410496     4168.3  3977.1    1306     653 3016720    2373   2008746         5392    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  768   4632.0 4401.9  1648   864 5943600  3520 15888     3860.0  3668.3    1373     720 4953000    2933     13240         2840    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192 1024   5882.0 5652.4  1728   960 4898272  3232 2411245     4901.7  4710.4    1440     800 4081893    2693   2009371         4484    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192 1280   4755.0 4525.4  1824  1040 5462480  3600 16891     3962.5  3771.2    1520     866 4552066    3000     14075         2928    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192 1520   6087.0 5856.9  1904  1120 5361104  3440 2411536     5072.5  4880.8    1586     933 4467586    2866   2009613         4377    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192 2048   3821.0 3591.3  2080  1296 4834112  3424  8992     3184.2  2992.7    1733    1080 4028426    2853      7493         1518    2097152


LAT_DMA_WRRD  Seq   HWarm  0  0  8192    4   5245.0 5015.9  1648   848 5806000  4352 2410544     4370.8  4179.9    1373     706 4838333    3626   2008786         4415    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192    8   5945.0 5715.8  1664   848 5845680  4368 2410960     4954.2  4763.1    1386     706 4871400    3640   2009133         5372    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   16   7132.0 6902.9  1664   864 3611504  4368 2411520     5943.3  5752.5    1386     720 3009586    3640   2009600         7137    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   24   4857.0 4627.6  1664   864 5856768  4368 22347     4047.5  3856.3    1386     720 4880640    3640     18622         3612    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   32   4493.0 4263.5  1664   864 5581952  4368 15056     3744.2  3552.9    1386     720 4651626    3640     12546         3107    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   48   6534.0 6304.4  1680   880 5830112  4384 2411520     5445.0  5253.7    1400     733 4858426    3653   2009600         5987    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   64   6670.0 6441.4  1664   896 4826080  4384 2411424     5558.3  5367.8    1386     746 4021733    3653   2009520         6255    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192  128   5427.0 5198.2  1728   944 4944272  4432 2410992     4522.5  4331.8    1440     786 4120226    3693   2009160         4158    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192  256   5758.0 5528.7  1792  1008 6679840  4528 2411309     4798.3  4607.3    1493     840 5566533    3773   2009424         4545    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192  512   7223.0 6994.0  1936  1152 5485984  5888 2413568     6019.2  5828.4    1613     960 4571653    4906   2011306         3867    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192  768   5819.0 5590.1  2080  1296 4826448  4784 2413808     4849.2  4658.5    1733    1080 4022040    3986   2011506         3129    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192 1024   5798.0 5569.6  2256  1472 5398624  4976 2411712     4831.7  4641.3    1880    1226 4498853    4146   2009760         3073    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192 1280   5357.0 5127.5  2416  1648 5368656  4448 17216     4464.2  4272.9    2013    1373 4473880    3706     14346         3038    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192 1520   6913.0 6684.6  2592  1808 5433456  5040 2413168     5760.8  5570.5    2160    1506 4527880    4200   2010973         4228    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192 2048   7606.0 7376.9  2944  2160 5885504  5056 2422928     6338.3  6147.4    2453    1800 4904586    4213   2019106         4565    2097152
