        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64   4409.0 4179.6  1456   608 4825376  3264 15789     3674.2  3483.0    1213     506 4021146    2720     13157         3774    2097152
  LAT_DMA_RD Rand    Cold  0  0  64KB   64   5049.0 4819.3  1456   608 4825440  3296 2410512     4207.5  4016.1    1213     506 4021200    2746   2008760         4514    2097152
  LAT_DMA_RD Rand    Cold  0  0 256KB   64   4427.0 4197.6  1456   608 5775728  3088 15904     3689.2  3498.0    1213     506 4813106    2573     13253         3821    2097152
  LAT_DMA_RD Rand    Cold  0  0 512KB   64   4711.0 4481.0  1472   608 4832448  3088 2410336     3925.8  3734.1    1226     506 4027040    2573   2008613         4612    2097152
  LAT_DMA_RD Rand    Cold  0  0   1MB   64   4277.0 4047.0  1744   608 6029040  3232 14976     3564.2  3372.5    1453     506 5024200    2693     12480         3522    2097152
  LAT_DMA_RD Rand    Cold  0  0 1.5MB   64   5456.0 5226.8  1760   608 3620400  4032 2410512     4546.7  4355.6    1466     506 3017000    3360   2008760         4832    2097152
  LAT_DMA_RD Rand    Cold  0  0   2MB   64   5071.0 4840.9  1760   608 3599712  3264 2410448     4225.8  4034.1    1466     506 2999760    2720   2008706         4419    2097152
  LAT_DMA_RD Rand    Cold  0  0   4MB   64   5397.0 5167.2  1824   608 5280032  4384 2410496     4497.5  4306.0    1520     506 4400026    3653   2008746         4589    2097152
  LAT_DMA_RD Rand    Cold  0  0   8MB   64   4731.0 4501.2  1824   624 4961472  4464 16269     3942.5  3751.0    1520     520 4134560    3720     13557         3585    2097152
  LAT_DMA_RD Rand    Cold  0  0  16MB   64   6760.0 6530.5  1824   624 4832928  4464 2411312     5633.3  5442.1    1520     520 4027440    3720   2009426         6733    2097152
  LAT_DMA_RD Rand    Cold  0  0  32MB   64   6682.0 6452.8  1824   624 5579472  4464 2411232     5568.3  5377.4    1520     520 4649560    3720   2009360         6548    2097152
  LAT_DMA_RD Rand    Cold  0  0  64MB   64   5095.0 4865.0  1824   624 5233312  4464 2410368     4245.8  4054.2    1520     520 4361093    3720   2008640         4165    2097152

  LAT_DMA_RD Rand DThrash  0  0   8KB   64   4442.0 4212.2  1456   608 6003488  3040 16080     3701.7  3510.2    1213     506 5002906    2533     13400         3984    2097152
  LAT_DMA_RD Rand DThrash  0  0  64KB   64   4885.0 4655.1  1456   608 5976368  3104 2410496     4070.8  3879.2    1213     506 4980306    2586   2008746         4605    2097152
  LAT_DMA_RD Rand DThrash  0  0 256KB   64   5133.0 4903.7  1456   608 4819280  3280 2410512     4277.5  4086.4    1213     506 4016066    2733   2008760         4716    2097152
  LAT_DMA_RD Rand DThrash  0  0 512KB   64   5224.0 4994.5  1472   608 5918592  3120 2410512     4353.3  4162.1    1226     506 4932160    2600   2008760         5361    2097152
  LAT_DMA_RD Rand DThrash  0  0   1MB   64   5307.0 5077.7  1744   608 5475232  3216 2410512     4422.5  4231.4    1453     506 4562693    2680   2008760         5033    2097152
  LAT_DMA_RD Rand DThrash  0  0 1.5MB   64   6161.0 5931.5  1760   608 5992176  3296 2410784     5134.2  4942.9    1466     506 4993480    2746   2008986         6222    2097152
  LAT_DMA_RD Rand DThrash  0  0   2MB   64   5280.0 5050.3  1760   624 4832800  3232 2410496     4400.0  4208.6    1466     520 4027333    2693   2008746         4855    2097152
  LAT_DMA_RD Rand DThrash  0  0   4MB   64   5772.0 5542.2  1824   624 6212624  4208 2410720     4810.0  4618.5    1520     520 5177186    3506   2008933         5172    2097152
  LAT_DMA_RD Rand DThrash  0  0   8MB   64   4380.0 4150.1  1824   608 3608496  4464 15040     3650.0  3458.4    1520     506 3007080    3720     12533         3012    2097152
  LAT_DMA_RD Rand DThrash  0  0  16MB   64   4699.0 4468.9  1824   608 4832752  4432 15920     3915.8  3724.0    1520     506 4027293    3693     13266         3584    2097152
  LAT_DMA_RD Rand DThrash  0  0  32MB   64   5907.0 5677.6  1824   624 5905760  4448 2410624     4922.5  4731.3    1520     520 4921466    3706   2008853         5466    2097152
  LAT_DMA_RD Rand DThrash  0  0  64MB   64   6643.0 6412.9  1824   624 4833168  4432 2411360     5535.8  5344.1    1520     520 4027640    3693   2009466         6403    2097152

  LAT_DMA_RD Rand   DWarm  0  0   8KB   64   3159.0 2929.8  1456   608 6029200  2992  9341     2632.5  2441.5    1213     506 5024333    2493      7784         2180    2097152
  LAT_DMA_RD Rand   DWarm  0  0  64KB   64   3628.0 3397.9  1456   608 4826208  3008 14352     3023.3  2831.6    1213     506 4021840    2506     11960         2958    2097152
  LAT_DMA_RD Rand   DWarm  0  0 256KB   64   6160.0 5930.3  1456   608 5044976  3392 2411024     5133.3  4941.9    1213     506 4204146    2826   2009186         6305    2097152
  LAT_DMA_RD Rand   DWarm  0  0 512KB   64   5647.0 5417.6  1472   608 5295344  3104 2410608     4705.8  4514.7    1226     506 4412786    2586   2008840         5966    2097152
  LAT_DMA_RD Rand   DWarm  0  0   1MB   64   5183.0 4953.6  1744   608 4833216  3264 2410496     4319.2  4128.0    1453     506 4027680    2720   2008746         4786    2097152
  LAT_DMA_RD Rand   DWarm  0  0 1.5MB   64   5313.0 5083.6  1760   608 4825680  3248 2410496     4427.5  4236.3    1466     506 4021400    2706   2008746         4926    2097152
  LAT_DMA_RD Rand   DWarm  0  0   2MB   64   5143.0 4913.0  1760   608 4833296  4080 2410480     4285.8  4094.2    1466     506 4027746    3400   2008733         4277    2097152
  LAT_DMA_RD Rand   DWarm  0  0   4MB   64   4007.0 3777.5  1824   624 3611184  4160 14736     3339.2  3147.9    1520     520 3009320    3466     12280         2497    2097152
  LAT_DMA_RD Rand   DWarm  0  0   8MB   64   6674.0 6444.6  1824   624 4833216  4464 2411184     5561.7  5370.5    1520     520 4027680    3720   2009320         6616    2097152
  LAT_DMA_RD Rand   DWarm  0  0  16MB   64   5529.0 5299.6  1824   624 5970512  4448 2410512     4607.5  4416.3    1520     520 4975426    3706   2008760         4791    2097152
  LAT_DMA_RD Rand   DWarm  0  0  32MB   64   5382.0 5152.6  1824   624 3607136  4448 2410496     4485.0  4293.8    1520     520 3005946    3706   2008746         4571    2097152
  LAT_DMA_RD Rand   DWarm  0  0  64MB   64   6521.0 6291.6  1824   624 6025872  4464 2411104     5434.2  5243.0    1520     520 5021560    3720   2009253         6255    2097152

  LAT_DMA_RD Rand   HWarm  0  0   8KB   64   6369.0 6139.0  1456   608 5628080  3472 2411072     5307.5  5115.8    1213     506 4690066    2893   2009226         6655    2097152
  LAT_DMA_RD Rand   HWarm  0  0  64KB   64   4921.0 4691.9  1456   608 5164288  3520 2410480     4100.8  3909.9    1213     506 4303573    2933   2008733         4483    2097152
  LAT_DMA_RD Rand   HWarm  0  0 256KB   64   4574.0 4345.5  1456   608 3620096  3360 2410224     3811.7  3621.2    1213     506 3016746    2800   2008520         4070    2097152
  LAT_DMA_RD Rand   HWarm  0  0 512KB   64   5875.0 5646.2  1472   608 6111728  3136 2410720     4895.8  4705.1    1226     506 5093106    2613   2008933         6432    2097152
  LAT_DMA_RD Rand   HWarm  0  0   1MB   64   6029.0 5799.2  1744   608 4832752  3280 2410736     5024.2  4832.6    1453     506 4027293    2733   2008946         6109    2097152
  LAT_DMA_RD Rand   HWarm  0  0 1.5MB   64   5101.0 4871.1  1760   608 4833312  4192 2410432     4250.8  4059.3    1466     506 4027760    3493   2008693         4303    2097152
  LAT_DMA_RD Rand   HWarm  0  0   2MB   64   4618.0 4387.9  1760   608 4832784  3792 15917     3848.3  3656.6    1466     506 4027320    3160     13264         3612    2097152
  LAT_DMA_RD Rand   HWarm  0  0   4MB   64   6447.0 6217.0  1824   608 5104208  4432 2410976     5372.5  5180.8    1520     506 4253506    3693   2009146         6309    2097152
  LAT_DMA_RD Rand   HWarm  0  0   8MB   64   6992.0 6761.7  1824   608 5315744  4464 2411517     5826.7  5634.7    1520     506 4429786    3720   2009597         7059    2097152
  LAT_DMA_RD Rand   HWarm  0  0  16MB   64   6291.0 6061.3  1824   624 5341008  4448 2410944     5242.5  5051.0    1520     520 4450840    3706   2009120         5951    2097152
  LAT_DMA_RD Rand   HWarm  0  0  32MB   64   6144.0 5914.2  1824   624 4832944  4448 2410960     5120.0  4928.5    1520     520 4027453    3706   2009133         5739    2097152
  LAT_DMA_RD Rand   HWarm  0  0  64MB   64   5242.0 5012.3  1824   608 5486224  4464 2410496     4368.3  4176.9    1520     506 4571853    3720   2008746         4384    2097152
