#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0  4096    8   6803.0 6547.7  1296   512 5713872  6544 2415024     5669.2  5456.4    1080     426 4761560    5453   2012520         4023    2097152
LAT_CMD_WRRD  Seq    Cold  1  0  4096    8   6039.0 5783.9   688   512 5594912  6160 2412544     5032.5  4820.0     573     426 4662426    5133   2010453         3510    2097152
LAT_CMD_WRRD  Seq    Cold  2  0  4096    8   5927.0 5671.9   608   512 5882176  5664 2412544     4939.2  4726.6     506     426 4901813    4720   2010453         3563    2097152
LAT_CMD_WRRD  Seq    Cold  3  0  4096    8   6637.0 6382.1  1296   512 6944176  7408 2413008     5530.8  5318.4    1080     426 5786813    6173   2010840         3674    2097152
LAT_CMD_WRRD  Seq    Cold  4  0  4096    8   5790.0 5535.3   608   512 5853808  5488 2412448     4825.0  4612.7     506     426 4878173    4573   2010373         3586    2097152
LAT_CMD_WRRD  Seq    Cold  6  0  4096    8   6423.0 6168.2   608   512 7199024  5984 2412992     5352.5  5140.2     506     426 5999186    4986   2010826         4010    2097152
LAT_CMD_WRRD  Seq    Cold  8  0  4096    8   6300.0 6044.6   608   512 6889904  5984 2412560     5250.0  5037.1     506     426 5741586    4986   2010466         3921    2097152
LAT_CMD_WRRD  Seq    Cold 16  0  4096    8   5953.0 5697.9  1296   512 7101376  6720 2412512     4960.8  4748.2    1080     426 5917813    5600   2010426         3151    2097152
LAT_CMD_WRRD  Seq    Cold 32  0  4096    8   5024.0 4768.5   592   512 5969904  5408 2410544     4186.7  3973.8     493     426 4974920    4506   2008786         2882    2097152
LAT_CMD_WRRD  Seq    Cold 48  0  4096    8   5353.0 5098.2   608   512 7177216  5488 2411040     4460.8  4248.5     506     426 5981013    4573   2009200         3112    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0  4096    8   6124.0 5868.6   592   512 6375568  5488 2412480     5103.3  4890.5     493     426 5312973    4573   2010400         3875    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0  4096    8   6168.0 5912.9   720   512 7217152  6016 2412544     5140.0  4927.4     600     426 6014293    5013   2010453         3771    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0  4096    8   14170.0 13914.5   592   512 6763408  5520 2422672    11808.3 11595.4     493     426 5636173    4600   2018893        11438    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0  4096    8   15035.0 14780.3   592   512 6638768  5968 2422672    12529.2 12316.9     493     426 5532306    4973   2018893        11764    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0  4096    8   15177.0 14921.9   592   512 6556784  5968 2422704    12647.5 12434.9     493     426 5463986    4973   2018920        11827    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0  4096    8   16739.0 16484.3   608   512 6273776  7392 2422848    13949.2 13736.9     506     426 5228146    6160   2019040        12488    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0  4096    8   14497.0 14241.9   592   512 6010496  5488 2422656    12080.8 11868.3     493     426 5008746    4573   2018880        11778    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0  4096    8   17763.0 17507.6   608   512 7183744  6736 2422800    14802.5 14589.7     506     426 5986453    5613   2019000        13549    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0  4096    8   16617.0 16361.6   592   512 6560576  5968 2422768    13847.5 13634.6     493     426 5467146    4973   2018973        13227    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0  4096    8   16022.0 15767.0   592   512 5969328  5456 2422656    13351.7 13139.2     493     426 4974440    4546   2018880        13205    2097152


LAT_CMD_WRRD  Seq    Cold  0  0 8388608    8   10539.0 10283.8   592   512 6122896  5424 2417792     8782.5  8569.8     493     426 5102413    4520   2014826         8064    2097152
LAT_CMD_WRRD  Seq    Cold  1  0 8388608    8   14419.0 14164.3   592   512 5919632  5760 2422701    12015.8 11803.6     493     426 4933026    4800   2018917        11216    2097152
LAT_CMD_WRRD  Seq    Cold  2  0 8388608    8   12901.0 12645.9   592   512 6794032  5456 2422592    10750.8 10538.3     493     426 5661693    4546   2018826        10262    2097152
