Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,HWarm,0,0,4096,4,5392,5162.487022399902,528.0,432,4849920,3184.0,2410320.0,4493.333333333333,4302.072518666585,440.0,360.0,4041600.0,2653.3333333333335,2008600.0,4633,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,5708,5478.413368225098,544.0,432,5787904,3184.0,2410512.0,4756.666666666667,4565.344473520915,453.3333333333333,360.0,4823253.333333333,2653.3333333333335,2008760.0,5386,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,16,2325,2095.458610534668,544.0,432,3614032,3184.0,9440.0,1937.5,1746.21550877889,453.3333333333333,360.0,3011693.3333333335,2653.3333333333335,7866.666666666667,1946,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,24,2768,2538.6940383911133,544.0,448,3611312,3200.0,9520.0,2306.6666666666665,2115.5783653259277,453.3333333333333,373.3333333333333,3009426.6666666665,2666.6666666666665,7933.333333333333,1836,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,32,2233,2003.2456283569336,544.0,448,3609888,3200.0,9168.0,1860.8333333333333,1669.3713569641113,453.3333333333333,373.3333333333333,3008240.0,2666.6666666666665,7640.0,1170,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,48,2476,2246.298568725586,544.0,448,3606384,3200.0,9456.0,2063.3333333333335,1871.9154739379883,453.3333333333333,373.3333333333333,3005320.0,2666.6666666666665,7880.0,1632,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,64,3938,3708.1372680664062,544.0,448,3607904,3200.0,18225.184000067413,3281.6666666666665,3090.1143900553384,453.3333333333333,373.3333333333333,3006586.6666666665,2666.6666666666665,15187.653333389511,2711,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,4,2917,2667.4010314941406,592.0,512,4947728,4832.0,12096.0,2430.8333333333335,2222.8341929117837,493.3333333333333,426.6666666666667,4123106.6666666665,4026.6666666666665,10080.0,1086,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,8,3138,2882.974494934082,592.0,512,3611760,5104.0,12304.0,2615.0,2402.478745778402,493.3333333333333,426.6666666666667,3009800.0,4253.333333333333,10253.333333333334,1254,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,16,4228,3963.225112915039,576.0,512,5652848,5104.0,2408528.0,3523.3333333333335,3302.6875940958657,480.0,426.6666666666667,4710706.666666667,4253.333333333333,2007106.6666666667,2176,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,24,4092,3817.6502838134766,576.0,512,3610944,5168.0,12192.0,3410.0,3181.3752365112305,480.0,426.6666666666667,3009120.0,4306.666666666667,10160.0,1945,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,32,3691,3406.7238845825195,576.0,528,3612000,5312.0,10112.0,3075.8333333333335,2838.936570485433,480.0,440.0,3010000.0,4426.666666666667,8426.666666666666,1504,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,48,4604,4299.606178283691,576.0,544,3612304,5280.0,2409376.0,3836.6666666666665,3583.0051485697427,480.0,453.3333333333333,3010253.3333333335,4400.0,2007813.3333333333,2326,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,64,12974,12649.022018432617,1392.0,544,5581136,4112.0,2412896.0,10811.666666666666,10540.851682027182,1160.0,453.3333333333333,4650946.666666667,3426.6666666666665,2010746.6666666667,9469,2097152
