        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq   HWarm  0  0   4KB    4   5392.0 5162.5   528   432 4849920  3184 2410320     4493.3  4302.1     440     360 4041600    2653   2008600         4633    2097152
  LAT_CMD_RD  Seq   HWarm  0  0   4KB    8   5708.0 5478.4   544   432 5787904  3184 2410512     4756.7  4565.3     453     360 4823253    2653   2008760         5386    2097152
  LAT_CMD_RD  Seq   HWarm  0  0   4KB   16   2325.0 2095.5   544   432 3614032  3184  9440     1937.5  1746.2     453     360 3011693    2653      7866         1946    2097152
  LAT_CMD_RD  Seq   HWarm  0  0   4KB   24   2768.0 2538.7   544   448 3611312  3200  9520     2306.7  2115.6     453     373 3009426    2666      7933         1836    2097152
  LAT_CMD_RD  Seq   HWarm  0  0   4KB   32   2233.0 2003.2   544   448 3609888  3200  9168     1860.8  1669.4     453     373 3008240    2666      7640         1170    2097152
  LAT_CMD_RD  Seq   HWarm  0  0   4KB   48   2476.0 2246.3   544   448 3606384  3200  9456     2063.3  1871.9     453     373 3005320    2666      7880         1632    2097152
  LAT_CMD_RD  Seq   HWarm  0  0   4KB   64   3938.0 3708.1   544   448 3607904  3200 18225     3281.7  3090.1     453     373 3006586    2666     15187         2711    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   4KB    4   2917.0 2667.4   592   512 4947728  4832 12096     2430.8  2222.8     493     426 4123106    4026     10080         1086    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0   4KB    8   3138.0 2883.0   592   512 3611760  5104 12304     2615.0  2402.5     493     426 3009800    4253     10253         1254    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0   4KB   16   4228.0 3963.2   576   512 5652848  5104 2408528     3523.3  3302.7     480     426 4710706    4253   2007106         2176    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0   4KB   24   4092.0 3817.7   576   512 3610944  5168 12192     3410.0  3181.4     480     426 3009120    4306     10160         1945    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0   4KB   32   3691.0 3406.7   576   528 3612000  5312 10112     3075.8  2838.9     480     440 3010000    4426      8426         1504    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0   4KB   48   4604.0 4299.6   576   544 3612304  5280 2409376     3836.7  3583.0     480     453 3010253    4400   2007813         2326    2097152
LAT_CMD_WRRD  Seq   HWarm  0  0   4KB   64   12974.0 12649.0  1392   544 5581136  4112 2412896    10811.7 10540.9    1160     453 4650946    3426   2010746         9469    2097152
