Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Rand,Cold,0,0,1024,64,4785,4555.085647583008,544.0,464,5873328,3216.0,2410416.0,3987.5,3795.9047063191733,453.3333333333333,386.6666666666667,4894440.0,2680.0,2008680.0,5858,2097152
LAT_CMD_RD,Rand,Cold,0,0,4096,64,4147,3917.2616958618164,544.0,448,5220560,3200.0,2410064.0,3455.8333333333335,3264.3847465515137,453.3333333333333,373.3333333333333,4350466.666666667,2666.6666666666665,2008386.6666666667,5079,2097152
LAT_CMD_RD,Rand,Cold,0,0,16384,64,2778,2548.6771850585938,544.0,464,6217488,3200.0,9744.0,2315.0,2123.8976542154946,453.3333333333333,386.6666666666667,5181240.0,2666.6666666666665,8120.0,3069,2097152
LAT_CMD_RD,Rand,Cold,0,0,262144,64,3087,2857.5275344848633,544.0,464,6478224,3216.0,12301.584000002593,2572.5,2381.2729454040527,453.3333333333333,386.6666666666667,5398520.0,2680.0,10251.32000000216,3505,2097152
LAT_CMD_RD,Rand,Cold,0,0,524288,64,4134,3904.6938095092773,544.0,464,5563712,3216.0,18512.0,3445.0,3253.911507924398,453.3333333333333,386.6666666666667,4636426.666666667,2680.0,15426.666666666666,5137,2097152
LAT_CMD_RD,Rand,Cold,0,0,1048576,64,4147,3917.769775390625,496.0,464,5708000,3216.0,19693.584000002593,3455.8333333333335,3264.808146158854,413.3333333333333,386.6666666666667,4756666.666666667,2680.0,16411.32000000216,4957,2097152
LAT_CMD_RD,Rand,Cold,0,0,1572864.0,64,4553,4323.104309082031,496.0,464,6960976,3216.0,2410272.0,3794.1666666666665,3602.586924235026,413.3333333333333,386.6666666666667,5800813.333333333,2680.0,2008560.0,5725,2097152
LAT_CMD_RD,Rand,Cold,0,0,2097152,64,3296,3066.352325439453,496.0,464,7129888,3216.0,14208.0,2746.6666666666665,2555.2936045328775,413.3333333333333,386.6666666666667,5941573.333333333,2680.0,11840.0,3791,2097152
LAT_CMD_RD,Rand,Cold,0,0,3145728,64,3476,3246.4645614624023,544.0,464,6065536,3216.0,14352.0,2896.6666666666665,2705.387134552002,453.3333333333333,386.6666666666667,5054613.333333333,2680.0,11960.0,4258,2097152
LAT_CMD_RD,Rand,Cold,0,0,4194304,64,3867,3637.681610107422,496.0,448,5002736,3200.0,15920.0,3222.5,3031.401341756185,413.3333333333333,373.3333333333333,4168946.6666666665,2666.6666666666665,13266.666666666666,4678,2097152
