#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0  1024    8   12301.0 12046.1   592   512 6679264  5392 2422528    10250.8 10038.4     493     426 5566053    4493   2018773         9677    2097152
LAT_CMD_WRRD Rand    Cold  0  0  4096    8   10496.0 10241.7   592   512 6500288  5376 2422352     8746.7  8534.7     493     426 5416906    4480   2018626         8088    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16384    8   10404.0 10148.9   592   512 5687776  5376 2422400     8670.0  8457.5     493     426 4739813    4480   2018666         7973    2097152
LAT_CMD_WRRD Rand    Cold  0  0 262144    8   11578.0 11323.4   544   512 6178288  5392 2422528     9648.3  9436.2     453     426 5148573    4493   2018773         9069    2097152
LAT_CMD_WRRD Rand    Cold  0  0 524288    8   9901.0 9646.1   544   512 5922432  5376 2422304     8250.8  8038.4     453     426 4935360    4480   2018586         7511    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1048576    8   11731.0 11476.7   544   512 6275232  5360 2422528     9775.8  9563.9     453     426 5229360    4466   2018773         9193    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1572864.0    8   14387.0 14131.8   544   512 7042704  5360 2422656    11989.2 11776.5     453     426 5868920    4466   2018880        11628    2097152
LAT_CMD_WRRD Rand    Cold  0  0 2097152    8   14691.0 14436.4   544   512 6021200  5424 2422672    12242.5 12030.3     453     426 5017666    4520   2018893        11901    2097152
LAT_CMD_WRRD Rand    Cold  0  0 3145728    8   14723.0 14468.3   544   512 6017328  5408 2422672    12269.2 12056.9     453     426 5014440    4506   2018893        11970    2097152
LAT_CMD_WRRD Rand    Cold  0  0 4194304    8   13131.0 12876.4   544   512 6008368  5424 2422592    10942.5 10730.3     453     426 5006973    4520   2018826        10511    2097152
LAT_CMD_WRRD Rand    Cold  0  0 8388608    8   16798.0 16462.4  1344   512 5928272  5504 2422544    13998.3 13718.7    1120     426 4940226    4586   2018786        13484    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16777216    8   14359.0 13983.4  1344   512 6393760  5504 2422464    11965.8 11652.8    1120     426 5328133    4586   2018720        10924    2097152
LAT_CMD_WRRD Rand    Cold  0  0 33554432    8   15905.0 15509.2  1344   512 5817632  5504 2422576    13254.2 12924.3    1120     426 4848026    4586   2018813        12287    2097152
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   18497.0 18091.5  1344   512 6843136  5488 2422560    15414.2 15076.2    1120     426 5702613    4573   2018800        14582    2097152


LAT_CMD_WRRD Rand DThrash  0  0  1024    8   14987.0 14732.2   592   512 5941248  5392 2422640    12489.2 12276.8     493     426 4951040    4493   2018866        12182    2097152
