Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_WRRD,Rand,Cold,0,0,1024,64,13672,13346.398628234863,1408.0,560,5702672,5280.0,2422560.0,11393.333333333334,11121.998856862387,1173.3333333333333,466.6666666666667,4752226.666666667,4400.0,2018800.0,10497,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4096,64,18135,17810.278228759766,1408.0,544,7103216,5488.0,2422816.0,15112.5,14841.89852396647,1173.3333333333333,453.3333333333333,5919346.666666667,4573.333333333333,2019013.3333333333,14297,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16384,64,17639,17313.581382751465,1408.0,544,5943088,5504.0,2422816.0,14699.166666666666,14427.98448562622,1173.3333333333333,453.3333333333333,4952573.333333333,4586.666666666667,2019013.3333333333,13864,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,262144,64,18771,18445.56349182129,1392.0,544,5964816,5296.0,2422800.0,15642.5,15371.302909851074,1160.0,453.3333333333333,4970680.0,4413.333333333333,2019000.0,15204,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,524288,64,12996,12671.288414001465,1392.0,544,5710432,5232.0,2422496.0,10830.0,10559.407011667887,1160.0,453.3333333333333,4758693.333333333,4360.0,2018746.6666666667,10348,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1048576,64,17087,16761.88941192627,1408.0,544,5855808,5280.0,2422736.0,14239.166666666666,13968.241176605225,1173.3333333333333,453.3333333333333,4879840.0,4400.0,2018946.6666666667,13792,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1572864.0,64,14294,13968.783737182617,1392.0,544,7142352,5248.0,2422576.0,11911.666666666666,11640.653114318848,1160.0,453.3333333333333,5951960.0,4373.333333333333,2018813.3333333333,11685,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,2097152,64,14474,14149.276100158691,1392.0,544,6953728,5264.0,2422608.0,12061.666666666666,11791.06341679891,1160.0,453.3333333333333,5794773.333333333,4386.666666666667,2018840.0,11646,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,3145728,64,13597,13271.408340454102,1392.0,544,5967712,5232.0,2422512.0,11330.833333333334,11059.506950378418,1160.0,453.3333333333333,4973093.333333333,4360.0,2018760.0,10936,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4194304,64,15947,15622.283752441406,1392.0,544,6006064,5280.0,2422688.0,13289.166666666666,13018.569793701172,1160.0,453.3333333333333,5005053.333333333,4400.0,2018906.6666666667,12669,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,8388608,64,21796,21390.70719909668,1392.0,544,6603808,4704.0,2422944.0,18163.333333333332,17825.589332580566,1160.0,453.3333333333333,5503173.333333333,3920.0,2019120.0,27116,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16777216,64,16191,15744.981910705566,1392.0,544,6873968,2944.0,2422672.0,13492.5,13120.818258921305,1160.0,453.3333333333333,5728306.666666667,2453.3333333333335,2018893.3333333333,26376,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,33554432,64,15959,15492.626602172852,1392.0,560,5978960,2864.0,2422608.0,13299.166666666666,12910.522168477377,1160.0,466.6666666666667,4982466.666666667,2386.6666666666665,2018840.0,26244,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,67108864,64,15090,14613.535934448242,1344.0,560,6105232,2832.0,2422576.0,12575.0,12177.946612040201,1120.0,466.6666666666667,5087693.333333333,2360.0,2018813.3333333333,24908,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,1024,64,16129,15803.30746459961,1392.0,544,6023056,5152.0,2422656.0,13440.833333333334,13169.422887166342,1160.0,453.3333333333333,5019213.333333333,4293.333333333333,2018880.0,14487,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,4096,64,16071,15746.09481048584,1408.0,560,6007264,5296.0,2422704.0,13392.5,13121.745675404867,1173.3333333333333,466.6666666666667,5006053.333333333,4413.333333333333,2018920.0,12701,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,16384,64,21112,20786.9384765625,1408.0,544,6629280,5488.0,2422896.0,17593.333333333332,17322.44873046875,1173.3333333333333,453.3333333333333,5524400.0,4573.333333333333,2019080.0,16992,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,262144,64,17036,16710.742156982422,1408.0,544,5940848,5296.0,2422720.0,14196.666666666666,13925.618464152018,1173.3333333333333,453.3333333333333,4950706.666666667,4413.333333333333,2018933.3333333333,13538,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,524288,64,5493,5167.829788208008,1408.0,544,6551424,5248.0,2410416.0,4577.5,4306.524823506673,1173.3333333333333,453.3333333333333,5459520.0,4373.333333333333,2008680.0,2873,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,1048576,64,4814,4489.041763305664,1408.0,544,5922672,5088.0,16125.584000002593,4011.6666666666665,3740.8681360880532,1173.3333333333333,453.3333333333333,4935560.0,4240.0,13437.986666668829,2358,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,1572864.0,64,4630,4304.802017211914,1408.0,544,7019760,5264.0,15040.0,3858.3333333333335,3587.3350143432617,1173.3333333333333,453.3333333333333,5849800.0,4386.666666666667,12533.333333333334,1940,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,2097152,64,4219,3893.4732055664062,1408.0,544,6737856,5232.0,13904.0,3515.8333333333335,3244.561004638672,1173.3333333333333,453.3333333333333,5614880.0,4360.0,11586.666666666666,1563,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,3145728,64,5238,4912.914306640625,1408.0,544,5515056,5120.0,2410352.0,4365.0,4094.095255533854,1173.3333333333333,453.3333333333333,4595880.0,4266.666666666667,2008626.6666666667,2793,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,4194304,64,4920,4594.87247467041,1392.0,544,5874272,4144.0,17341.584000002593,4100.0,3829.0603955586753,1160.0,453.3333333333333,4895226.666666667,3453.3333333333335,14451.32000000216,3629,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,8388608,64,6243,5837.703559875488,1392.0,544,5482432,4096.0,2410976.0,5202.5,4864.752966562907,1160.0,453.3333333333333,4568693.333333333,3413.3333333333335,2009146.6666666667,5297,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,16777216,64,6033,5586.9580154418945,1392.0,560,6977872,2896.0,2410848.0,5027.5,4655.798346201579,1160.0,466.6666666666667,5814893.333333333,2413.3333333333335,2009040.0,12965,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,33554432,64,4327,3860.6194915771484,1392.0,560,6831936,2832.0,13664.0,3605.8333333333335,3217.1829096476235,1160.0,466.6666666666667,5693280.0,2360.0,11386.666666666666,10311,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,67108864,64,6442,5965.744071960449,1344.0,560,5739312,2816.0,2411259.168000005,5368.333333333333,4971.453393300374,1120.0,466.6666666666667,4782760.0,2346.6666666666665,2009382.640000004,12111,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,1024,64,4307,3981.500907897949,1408.0,544,3624544,5088.0,14400.0,3589.1666666666665,3317.917423248291,1173.3333333333333,453.3333333333333,3020453.3333333335,4240.0,12000.0,1788,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,4096,64,5590,5265.050651550293,1392.0,544,7037888,5008.0,2410432.0,4658.333333333333,4387.542209625244,1160.0,453.3333333333333,5864906.666666667,4173.333333333333,2008693.3333333333,3306,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,16384,64,4285,3959.750389099121,1392.0,544,6587504,4992.0,14288.0,3570.8333333333335,3299.791990915934,1160.0,453.3333333333333,5489586.666666667,4160.0,11906.666666666666,1784,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,262144,64,4215,3890.011245727539,1408.0,560,5825424,5120.0,13984.0,3512.5,3241.6760381062827,1173.3333333333333,466.6666666666667,4854520.0,4266.666666666667,11653.333333333334,1614,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,524288,64,6494,6169.134605407715,1408.0,544,6671152,5248.0,2411152.0,5411.666666666667,5140.945504506429,1173.3333333333333,453.3333333333333,5559293.333333333,4373.333333333333,2009293.3333333333,3950,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,1048576,64,5005,4680.261947631836,1408.0,544,3625792,5280.0,17360.0,4170.833333333333,3900.2182896931968,1173.3333333333333,453.3333333333333,3021493.3333333335,4400.0,14466.666666666666,2294,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,1572864.0,64,5056,4730.963905334473,1408.0,544,5056752,5280.0,18672.0,4213.333333333333,3942.4699211120605,1173.3333333333333,453.3333333333333,4213960.0,4400.0,15560.0,2378,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,2097152,64,7554,7228.9476318359375,1408.0,544,7169104,5264.0,2413792.0,6295.0,6024.123026529948,1173.3333333333333,453.3333333333333,5974253.333333333,4386.666666666667,2011493.3333333333,5077,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,3145728,64,7799,7473.606674194336,1408.0,544,6165440,5280.0,2414272.0,6499.166666666667,6228.005561828613,1173.3333333333333,453.3333333333333,5137866.666666667,4400.0,2011893.3333333333,5108,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,4194304,64,6503,6177.576431274414,1408.0,544,6543024,5264.0,2411136.0,5419.166666666667,5147.980359395345,1173.3333333333333,453.3333333333333,5452520.0,4386.666666666667,2009280.0,3937,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,8388608,64,7104,6698.438758850098,1408.0,544,7165696,4112.0,2413632.0,5920.0,5582.032299041748,1173.3333333333333,453.3333333333333,5971413.333333333,3426.6666666666665,2011360.0,6449,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,16777216,64,6046,5600.0361328125,1408.0,560,6193968,2896.0,2410896.0,5038.333333333333,4666.69677734375,1173.3333333333333,466.6666666666667,5161640.0,2413.3333333333335,2009080.0,13908,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,33554432,64,6355,5889.260780334473,1392.0,560,6028064,2848.0,2411072.0,5295.833333333333,4907.717316945394,1160.0,466.6666666666667,5023386.666666667,2373.3333333333335,2009226.6666666667,14875,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,67108864,64,6184,5708.174049377441,1408.0,560,5939424,2832.0,2410880.0,5153.333333333333,4756.811707814534,1173.3333333333333,466.6666666666667,4949520.0,2360.0,2009066.6666666667,15365,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,1024,64,6862,6537.217834472656,1408.0,544,7193760,5280.0,2411752.752000008,5718.333333333333,5447.681528727214,1173.3333333333333,453.3333333333333,5994800.0,4400.0,2009793.9600000067,4144,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,4096,64,7629,7303.888153076172,1408.0,544,7159632,5280.0,2413840.0,6357.5,6086.57346089681,1173.3333333333333,453.3333333333333,5966360.0,4400.0,2011533.3333333333,4955,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,16384,64,7377,7052.24747467041,1408.0,544,5996944,5280.0,2412829.5840000026,6147.5,5876.872895558675,1173.3333333333333,453.3333333333333,4997453.333333333,4400.0,2010691.3200000022,4723,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,262144,64,7256,6931.257095336914,1408.0,544,6684352,5280.0,2413808.0,6046.666666666667,5776.047579447429,1173.3333333333333,453.3333333333333,5570293.333333333,4400.0,2011506.6666666667,4558,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,524288,64,6450,6124.864105224609,1408.0,544,5909168,5248.0,2411104.0,5375.0,5104.053421020508,1173.3333333333333,453.3333333333333,4924306.666666667,4373.333333333333,2009253.3333333333,3921,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,1048576,64,6426,6101.031539916992,1392.0,544,5901136,5072.0,2410976.0,5355.0,5084.192949930827,1160.0,453.3333333333333,4917613.333333333,4226.666666666667,2009146.6666666667,4373,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,1572864.0,64,7588,7262.5404052734375,1408.0,544,6811120,5312.0,2413824.0,6323.333333333333,6052.117004394531,1173.3333333333333,453.3333333333333,5675933.333333333,4426.666666666667,2011520.0,4897,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,2097152,64,7138,6813.161201477051,1408.0,544,3623824,5264.0,2411536.0,5948.333333333333,5677.634334564209,1173.3333333333333,453.3333333333333,3019853.3333333335,4386.666666666667,2009613.3333333333,4636,2097152
