        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0   1KB   64   13672.0 13346.4  1408   560 5702672  5280 2422560    11393.3 11122.0    1173     466 4752226    4400   2018800        10497    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4KB   64   18135.0 17810.3  1408   544 7103216  5488 2422816    15112.5 14841.9    1173     453 5919346    4573   2019013        14297    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16KB   64   17639.0 17313.6  1408   544 5943088  5504 2422816    14699.2 14428.0    1173     453 4952573    4586   2019013        13864    2097152
LAT_CMD_WRRD Rand    Cold  0  0 256KB   64   18771.0 18445.6  1392   544 5964816  5296 2422800    15642.5 15371.3    1160     453 4970680    4413   2019000        15204    2097152
LAT_CMD_WRRD Rand    Cold  0  0 512KB   64   12996.0 12671.3  1392   544 5710432  5232 2422496    10830.0 10559.4    1160     453 4758693    4360   2018746        10348    2097152
LAT_CMD_WRRD Rand    Cold  0  0   1MB   64   17087.0 16761.9  1408   544 5855808  5280 2422736    14239.2 13968.2    1173     453 4879840    4400   2018946        13792    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1.5MB   64   14294.0 13968.8  1392   544 7142352  5248 2422576    11911.7 11640.7    1160     453 5951960    4373   2018813        11685    2097152
LAT_CMD_WRRD Rand    Cold  0  0   2MB   64   14474.0 14149.3  1392   544 6953728  5264 2422608    12061.7 11791.1    1160     453 5794773    4386   2018840        11646    2097152
LAT_CMD_WRRD Rand    Cold  0  0   3MB   64   13597.0 13271.4  1392   544 5967712  5232 2422512    11330.8 11059.5    1160     453 4973093    4360   2018760        10936    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4MB   64   15947.0 15622.3  1392   544 6006064  5280 2422688    13289.2 13018.6    1160     453 5005053    4400   2018906        12669    2097152
LAT_CMD_WRRD Rand    Cold  0  0   8MB   64   21796.0 21390.7  1392   544 6603808  4704 2422944    18163.3 17825.6    1160     453 5503173    3920   2019120        27116    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16MB   64   16191.0 15745.0  1392   544 6873968  2944 2422672    13492.5 13120.8    1160     453 5728306    2453   2018893        26376    2097152
LAT_CMD_WRRD Rand    Cold  0  0  32MB   64   15959.0 15492.6  1392   560 5978960  2864 2422608    13299.2 12910.5    1160     466 4982466    2386   2018840        26244    2097152
LAT_CMD_WRRD Rand    Cold  0  0  64MB   64   15090.0 14613.5  1344   560 6105232  2832 2422576    12575.0 12177.9    1120     466 5087693    2360   2018813        24908    2097152

LAT_CMD_WRRD Rand DThrash  0  0   1KB   64   16129.0 15803.3  1392   544 6023056  5152 2422656    13440.8 13169.4    1160     453 5019213    4293   2018880        14487    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4KB   64   16071.0 15746.1  1408   560 6007264  5296 2422704    13392.5 13121.7    1173     466 5006053    4413   2018920        12701    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16KB   64   21112.0 20786.9  1408   544 6629280  5488 2422896    17593.3 17322.4    1173     453 5524400    4573   2019080        16992    2097152
LAT_CMD_WRRD Rand DThrash  0  0 256KB   64   17036.0 16710.7  1408   544 5940848  5296 2422720    14196.7 13925.6    1173     453 4950706    4413   2018933        13538    2097152
LAT_CMD_WRRD Rand DThrash  0  0 512KB   64   5493.0 5167.8  1408   544 6551424  5248 2410416     4577.5  4306.5    1173     453 5459520    4373   2008680         2873    2097152
LAT_CMD_WRRD Rand DThrash  0  0   1MB   64   4814.0 4489.0  1408   544 5922672  5088 16125     4011.7  3740.9    1173     453 4935560    4240     13437         2358    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1.5MB   64   4630.0 4304.8  1408   544 7019760  5264 15040     3858.3  3587.3    1173     453 5849800    4386     12533         1940    2097152
LAT_CMD_WRRD Rand DThrash  0  0   2MB   64   4219.0 3893.5  1408   544 6737856  5232 13904     3515.8  3244.6    1173     453 5614880    4360     11586         1563    2097152
LAT_CMD_WRRD Rand DThrash  0  0   3MB   64   5238.0 4912.9  1408   544 5515056  5120 2410352     4365.0  4094.1    1173     453 4595880    4266   2008626         2793    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4MB   64   4920.0 4594.9  1392   544 5874272  4144 17341     4100.0  3829.1    1160     453 4895226    3453     14451         3629    2097152
LAT_CMD_WRRD Rand DThrash  0  0   8MB   64   6243.0 5837.7  1392   544 5482432  4096 2410976     5202.5  4864.8    1160     453 4568693    3413   2009146         5297    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16MB   64   6033.0 5587.0  1392   560 6977872  2896 2410848     5027.5  4655.8    1160     466 5814893    2413   2009040        12965    2097152
LAT_CMD_WRRD Rand DThrash  0  0  32MB   64   4327.0 3860.6  1392   560 6831936  2832 13664     3605.8  3217.2    1160     466 5693280    2360     11386        10311    2097152
LAT_CMD_WRRD Rand DThrash  0  0  64MB   64   6442.0 5965.7  1344   560 5739312  2816 2411259     5368.3  4971.5    1120     466 4782760    2346   2009382        12111    2097152

LAT_CMD_WRRD Rand   DWarm  0  0   1KB   64   4307.0 3981.5  1408   544 3624544  5088 14400     3589.2  3317.9    1173     453 3020453    4240     12000         1788    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4KB   64   5590.0 5265.1  1392   544 7037888  5008 2410432     4658.3  4387.5    1160     453 5864906    4173   2008693         3306    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  16KB   64   4285.0 3959.8  1392   544 6587504  4992 14288     3570.8  3299.8    1160     453 5489586    4160     11906         1784    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 256KB   64   4215.0 3890.0  1408   560 5825424  5120 13984     3512.5  3241.7    1173     466 4854520    4266     11653         1614    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 512KB   64   6494.0 6169.1  1408   544 6671152  5248 2411152     5411.7  5140.9    1173     453 5559293    4373   2009293         3950    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   1MB   64   5005.0 4680.3  1408   544 3625792  5280 17360     4170.8  3900.2    1173     453 3021493    4400     14466         2294    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1.5MB   64   5056.0 4731.0  1408   544 5056752  5280 18672     4213.3  3942.5    1173     453 4213960    4400     15560         2378    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   2MB   64   7554.0 7228.9  1408   544 7169104  5264 2413792     6295.0  6024.1    1173     453 5974253    4386   2011493         5077    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   3MB   64   7799.0 7473.6  1408   544 6165440  5280 2414272     6499.2  6228.0    1173     453 5137866    4400   2011893         5108    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4MB   64   6503.0 6177.6  1408   544 6543024  5264 2411136     5419.2  5148.0    1173     453 5452520    4386   2009280         3937    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   8MB   64   7104.0 6698.4  1408   544 7165696  4112 2413632     5920.0  5582.0    1173     453 5971413    3426   2011360         6449    2097152
