        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64   4075.0 3843.3  1456   592 7003424  4176 14384     3395.8  3202.7    1213     493 5836186    3480     11986        20051   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB   64   9531.0 9299.4  1456   608 7044496  4176 2417744     7942.5  7749.5    1213     506 5870413    3480   2014786        85181   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB   64   6625.0 6392.5  1456   592 6008960  4176 2411152     5520.8  5327.1    1213     493 5007466    3480   2009293        50275   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB   64   4496.0 4263.9  1456   592 6775872  4176 15200     3746.7  3553.2    1213     493 5646560    3480     12666        24155   16777216
  LAT_DMA_RD Rand    Cold  0  0   8KB 2048   6026.0 5794.2  2080  1296 7202960  3600 2422864     5021.7  4828.5    1733    1080 6002466    3000   2019053        24131   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB 2048   4669.0 4437.2  2080  1296 6908480  3600  8304     3890.8  3697.7    1733    1080 5757066    3000      6920        13975   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB 2048   7631.0 7398.9  2080  1296 7131360  3760 2423360     6359.2  6165.8    1733    1080 5942800    3133   2019466        35969   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB 2048   5063.0 4831.2  2080  1296 7179072  3600 11248     4219.2  4026.0    1733    1080 5982560    3000      9373        16803   16777216

LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   5361.0 5129.5  1664   880 7163488  4384 2410704     4467.5  4274.6    1386     733 5969573    3653   2008920        31724   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB   64   6143.0 5911.3  1664   880 7127856  4384 2411488     5119.2  4926.1    1386     733 5939880    3653   2009573        40676   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   5518.0 5286.6  1664   880 6508720  4384 2410800     4598.3  4405.5    1386     733 5423933    3653   2009000        33942   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB   64   6004.0 5772.8  1664   880 7143456  4384 2411184     5003.3  4810.7    1386     733 5952880    3653   2009320        39556   16777216
LAT_DMA_WRRD Rand    Cold  0  0   8KB 2048   15391.0 15160.0  3504  2160 7132224  5600 2424352    12825.8 12633.3    2920    1800 5943520    4666   2020293        90339   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB 2048   8906.0 8674.9  3440  2160 6504112  5600 2423568     7421.7  7229.1    2866    1800 5420093    4666   2019640        38182   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB 2048   7391.0 7160.5  3632  2160 7158288  5616 2414000     6159.2  5967.1    3026    1800 5965240    4680   2011666        24089   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB 2048   7507.0 7275.8  3632  2160 6933136  5616 2422848     6255.8  6063.2    3026    1800 5777613    4680   2019040        25076   16777216
