Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,4,13896,13666.238311767578,1472.0,592,6658528,4176.0,2422736.0,11580.0,11388.531926472982,1226.6666666666667,493.3333333333333,5548773.333333333,3480.0,2018946.6666666667,16340,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,8,15212,14982.426948547363,1472.0,592,6952592,5040.0,2422928.0,12676.666666666666,12485.355790456137,1226.6666666666667,493.3333333333333,5793826.666666667,4200.0,2019106.6666666667,13634,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,16,13035,12805.290069580078,1472.0,592,6818496,4176.0,2422800.0,10862.5,10671.075057983398,1226.6666666666667,493.3333333333333,5682080.0,3480.0,2019000.0,14603,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,24,6414,6184.579406738281,1472.0,608,5273936,4960.0,2413872.0,5345.0,5153.816172281901,1226.6666666666667,506.6666666666667,4394946.666666667,4133.333333333333,2011560.0,4024,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,32,6118,5888.687446594238,1472.0,608,7202688,5136.0,2411823.088000018,5098.333333333333,4907.239538828532,1226.6666666666667,506.6666666666667,6002240.0,4280.0,2009852.5733333484,3445,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,48,6149,5919.740158081055,1472.0,624,5596960,5136.0,2413776.0,5124.166666666667,4933.116798400879,1226.6666666666667,520.0,4664133.333333333,4280.0,2011480.0,3428,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,4953,4723.053810119629,1472.0,608,7026752,4720.0,17520.0,4127.5,3935.878175099691,1226.6666666666667,506.6666666666667,5855626.666666667,3933.3333333333335,14600.0,2965,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,6054,5824.550636291504,1472.0,656,6885248,4176.0,2411053.5840000026,5045.0,4853.792196909587,1226.6666666666667,546.6666666666666,5737706.666666667,3480.0,2009211.3200000022,5238,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,8262,8032.2164306640625,1488.0,704,6589664,5376.0,2416404.5120000467,6885.0,6693.513692220052,1240.0,586.6666666666666,5491386.666666667,4480.0,2013670.4266667054,5314,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,512,5454,5224.114433288574,1568.0,784,6556096,3056.0,2410496.0,4545.0,4353.4286944071455,1306.6666666666667,653.3333333333334,5463413.333333333,2546.6666666666665,2008746.6666666667,8786,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,768,5500,5270.574600219727,1648.0,864,7177008,4368.0,2410976.0,4583.333333333333,4392.1455001831055,1373.3333333333333,720.0,5980840.0,3640.0,2009146.6666666667,3669,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1024,7099,6869.015663146973,2400.0,960,7125248,4176.0,2412871.840000026,5915.833333333333,5724.179719289144,2000.0,800.0,5937706.666666667,3480.0,2010726.533333355,5068,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1280,7150,6920.31778717041,2560.0,1040,6330880,5920.0,2423088.0,5958.333333333333,5766.931489308675,2133.3333333333335,866.6666666666666,5275733.333333333,4933.333333333333,2019240.0,3383,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1520,5384,5154.212127685547,2576.0,1120,6002368,3936.0,15965.584000002593,4486.666666666667,4295.176773071289,2146.6666666666665,933.3333333333334,5001973.333333333,3280.0,13304.653333335495,2385,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,2048,5603,5373.277481079102,2080.0,1296,5663792,3952.0,2411664.0,4669.166666666667,4477.731234232585,1733.3333333333333,1080.0,4719826.666666667,3293.3333333333335,2009720.0,2579,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,4,6489,6259.814849853516,1664.0,848,5853888,7072.0,2411520.0,5407.5,5216.51237487793,1386.6666666666667,706.6666666666666,4878240.0,5893.333333333333,2009600.0,2935,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,8,6811,6582.639068603516,1664.0,848,7046864,7056.0,2411984.0,5675.833333333333,5485.532557169597,1386.6666666666667,706.6666666666666,5872386.666666667,5880.0,2009986.6666666667,3231,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,16,7994,7765.377754211426,1664.0,864,6030912,7072.0,2414096.0,6661.666666666667,6471.1481285095215,1386.6666666666667,720.0,5025760.0,5893.333333333333,2011746.6666666667,4279,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,24,6669,6440.672317504883,1664.0,864,6779888,7104.0,2411536.0,5557.5,5367.226931254069,1386.6666666666667,720.0,5649906.666666667,5920.0,2009613.3333333333,3036,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,32,5833,5604.458808898926,1664.0,864,6346224,7104.0,2410592.0,4860.833333333333,4670.3823407491045,1386.6666666666667,720.0,5288520.0,5920.0,2008826.6666666667,2379,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,48,9378,9148.920913696289,1680.0,880,7028352,7120.0,2415120.0,7815.0,7624.100761413574,1400.0,733.3333333333334,5856960.0,5933.333333333333,2012600.0,5406,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,6489,6260.492515563965,1664.0,880,5538192,4400.0,2411536.0,5407.5,5217.077096303304,1386.6666666666667,733.3333333333334,4615160.0,3666.6666666666665,2009613.3333333333,5515,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,128,7141,6912.850524902344,1728.0,944,5615728,5968.0,2411984.0,5950.833333333333,5760.708770751953,1440.0,786.6666666666666,4679773.333333333,4973.333333333333,2009986.6666666667,3610,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,256,8112,7883.119438171387,1792.0,1008,6876400,5984.0,2414112.0,6760.0,6569.266198476155,1493.3333333333333,840.0,5730333.333333333,4986.666666666667,2011760.0,4388,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,512,8210,7981.056907653809,1936.0,1152,6271968,7488.0,2423088.0,6841.666666666667,6650.880756378174,1613.3333333333333,960.0,5226640.0,6240.0,2019240.0,4054,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,768,6700,6471.403915405273,2096.0,1296,6316416,5264.0,2422768.0,5583.333333333333,5392.8365961710615,1746.6666666666667,1080.0,5263680.0,4386.666666666667,2018973.3333333333,3232,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,1024,6445,6215.65763092041,2256.0,1472,6087552,5168.0,2412909.5840000026,5370.833333333333,5179.714692433675,1880.0,1226.6666666666667,5072960.0,4306.666666666667,2010757.9866666687,2800,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,1280,6734,6505.099586486816,2432.0,1648,7041328,4896.0,2412864.0,5611.666666666667,5420.916322072347,2026.6666666666667,1373.3333333333333,5867773.333333333,4080.0,2010720.0,3637,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,1520,8777,8547.724655151367,3152.0,1808,5963872,5040.0,2423696.0,7314.166666666667,7123.103879292806,2626.6666666666665,1506.6666666666667,4969893.333333333,4200.0,2019746.6666666667,5436,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,2048,10186,9956.536026000977,3808.0,2176,6562896,5728.0,2424272.0,8488.333333333334,8297.113355000814,3173.3333333333335,1813.3333333333333,5469080.0,4773.333333333333,2020226.6666666667,5217,2097152
