        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    4   13896.0 13666.2  1472   592 6658528  4176 2422736    11580.0 11388.5    1226     493 5548773    3480   2018946        16340    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    8   15212.0 14982.4  1472   592 6952592  5040 2422928    12676.7 12485.4    1226     493 5793826    4200   2019106        13634    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   16   13035.0 12805.3  1472   592 6818496  4176 2422800    10862.5 10671.1    1226     493 5682080    3480   2019000        14603    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   24   6414.0 6184.6  1472   608 5273936  4960 2413872     5345.0  5153.8    1226     506 4394946    4133   2011560         4024    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   32   6118.0 5888.7  1472   608 7202688  5136 2411823     5098.3  4907.2    1226     506 6002240    4280   2009852         3445    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   48   6149.0 5919.7  1472   624 5596960  5136 2413776     5124.2  4933.1    1226     520 4664133    4280   2011480         3428    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64   4953.0 4723.1  1472   608 7026752  4720 17520     4127.5  3935.9    1226     506 5855626    3933     14600         2965    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128   6054.0 5824.6  1472   656 6885248  4176 2411053     5045.0  4853.8    1226     546 5737706    3480   2009211         5238    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256   8262.0 8032.2  1488   704 6589664  5376 2416404     6885.0  6693.5    1240     586 5491386    4480   2013670         5314    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  512   5454.0 5224.1  1568   784 6556096  3056 2410496     4545.0  4353.4    1306     653 5463413    2546   2008746         8786    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  768   5500.0 5270.6  1648   864 7177008  4368 2410976     4583.3  4392.1    1373     720 5980840    3640   2009146         3669    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1024   7099.0 6869.0  2400   960 7125248  4176 2412871     5915.8  5724.2    2000     800 5937706    3480   2010726         5068    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1280   7150.0 6920.3  2560  1040 6330880  5920 2423088     5958.3  5766.9    2133     866 5275733    4933   2019240         3383    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1520   5384.0 5154.2  2576  1120 6002368  3936 15965     4486.7  4295.2    2146     933 5001973    3280     13304         2385    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 2048   5603.0 5373.3  2080  1296 5663792  3952 2411664     4669.2  4477.7    1733    1080 4719826    3293   2009720         2579    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    4   6489.0 6259.8  1664   848 5853888  7072 2411520     5407.5  5216.5    1386     706 4878240    5893   2009600         2935    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    8   6811.0 6582.6  1664   848 7046864  7056 2411984     5675.8  5485.5    1386     706 5872386    5880   2009986         3231    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   16   7994.0 7765.4  1664   864 6030912  7072 2414096     6661.7  6471.1    1386     720 5025760    5893   2011746         4279    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   24   6669.0 6440.7  1664   864 6779888  7104 2411536     5557.5  5367.2    1386     720 5649906    5920   2009613         3036    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   32   5833.0 5604.5  1664   864 6346224  7104 2410592     4860.8  4670.4    1386     720 5288520    5920   2008826         2379    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   48   9378.0 9148.9  1680   880 7028352  7120 2415120     7815.0  7624.1    1400     733 5856960    5933   2012600         5406    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   6489.0 6260.5  1664   880 5538192  4400 2411536     5407.5  5217.1    1386     733 4615160    3666   2009613         5515    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   7141.0 6912.9  1728   944 5615728  5968 2411984     5950.8  5760.7    1440     786 4679773    4973   2009986         3610    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  256   8112.0 7883.1  1792  1008 6876400  5984 2414112     6760.0  6569.3    1493     840 5730333    4986   2011760         4388    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  512   8210.0 7981.1  1936  1152 6271968  7488 2423088     6841.7  6650.9    1613     960 5226640    6240   2019240         4054    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  768   6700.0 6471.4  2096  1296 6316416  5264 2422768     5583.3  5392.8    1746    1080 5263680    4386   2018973         3232    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1024   6445.0 6215.7  2256  1472 6087552  5168 2412909     5370.8  5179.7    1880    1226 5072960    4306   2010757         2800    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1280   6734.0 6505.1  2432  1648 7041328  4896 2412864     5611.7  5420.9    2026    1373 5867773    4080   2010720         3637    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1520   8777.0 8547.7  3152  1808 5963872  5040 2423696     7314.2  7123.1    2626    1506 4969893    4200   2019746         5436    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 2048   10186.0 9956.5  3808  2176 6562896  5728 2424272     8488.3  8297.1    3173    1813 5469080    4773   2020226         5217    2097152
