Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,12414,12184.44426727295,1456.0,608,5989104,4192.0,2422560.0,10345.0,10153.703556060791,1213.3333333333333,506.6666666666667,4990920.0,3493.3333333333335,2018800.0,14966,2097152
LAT_DMA_RD,Rand,Cold,0,0,65536,64,12849,12619.29727935791,1456.0,608,5935440,4192.0,2422624.0,10707.5,10516.081066131592,1213.3333333333333,506.6666666666667,4946200.0,3493.3333333333335,2018853.3333333333,15437,2097152
LAT_DMA_RD,Rand,Cold,0,0,262144,64,13446,13215.829803466797,1456.0,608,5870960,4192.0,2422656.0,11205.0,11013.191502888998,1213.3333333333333,506.6666666666667,4892466.666666667,3493.3333333333335,2018880.0,16353,2097152
LAT_DMA_RD,Rand,Cold,0,0,524288,64,12273,12043.492942810059,1472.0,608,6010912,4192.0,2422576.0,10227.5,10036.244119008383,1226.6666666666667,506.6666666666667,5009093.333333333,3493.3333333333335,2018813.3333333333,14764,2097152
LAT_DMA_RD,Rand,Cold,0,0,1048576,64,11278,11047.805465698242,1456.0,608,5990432,4192.0,2422496.0,9398.333333333334,9206.504554748535,1213.3333333333333,506.6666666666667,4992026.666666667,3493.3333333333335,2018746.6666666667,13299,2097152
LAT_DMA_RD,Rand,Cold,0,0,1572864.0,64,9129,8898.817070007324,1456.0,608,6096832,4176.0,2416064.0,7607.5,7415.6808916727705,1213.3333333333333,506.6666666666667,5080693.333333333,3480.0,2013386.6666666667,10014,2097152
LAT_DMA_RD,Rand,Cold,0,0,2097152,64,10691,10461.14395904541,1456.0,608,5852608,4192.0,2422528.0,8909.166666666666,8717.619965871176,1213.3333333333333,506.6666666666667,4877173.333333333,3493.3333333333335,2018773.3333333333,12160,2097152
LAT_DMA_RD,Rand,Cold,0,0,4194304,64,12086,11855.882484436035,1472.0,608,6337936,4384.0,2422560.0,10071.666666666666,9879.902070363363,1226.6666666666667,506.6666666666667,5281613.333333333,3653.3333333333335,2018800.0,14457,2097152
LAT_DMA_RD,Rand,Cold,0,0,8388608,64,9798,9568.190071105957,1456.0,608,6935216,4176.0,2422464.0,8165.0,7973.491725921631,1213.3333333333333,506.6666666666667,5779346.666666667,3480.0,2018720.0,10779,2097152
LAT_DMA_RD,Rand,Cold,0,0,16777216,64,11613,11383.155860900879,1456.0,608,7153616,4192.0,2422576.0,9677.5,9485.963217417398,1213.3333333333333,506.6666666666667,5961346.666666667,3493.3333333333335,2018813.3333333333,13463,2097152
LAT_DMA_RD,Rand,Cold,0,0,33554432,64,13610,13380.39616394043,1472.0,608,5988016,4384.0,2422640.0,11341.666666666666,11150.330136617025,1226.6666666666667,506.6666666666667,4990013.333333333,3653.3333333333335,2018866.6666666667,16754,2097152
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,9165,8935.030632019043,1456.0,608,7156096,4192.0,2417357.5840000026,7637.5,7445.858860015869,1213.3333333333333,506.6666666666667,5963413.333333333,3493.3333333333335,2014464.6533333354,10049,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8192,64,11252,11022.220390319824,1456.0,608,5804688,4176.0,2422432.0,9376.666666666666,9185.183658599854,1213.3333333333333,506.6666666666667,4837240.0,3480.0,2018693.3333333333,13370,2097152
LAT_DMA_RD,Rand,DThrash,0,0,65536,64,9427,9197.621849060059,1456.0,608,5729936,4176.0,2418237.5840000026,7855.833333333333,7664.684874216716,1213.3333333333333,506.6666666666667,4774946.666666667,3480.0,2015197.9866666687,10484,2097152
LAT_DMA_RD,Rand,DThrash,0,0,262144,64,7445,7215.695655822754,1456.0,608,6795360,4176.0,2413648.0,6204.166666666667,6013.079713185628,1213.3333333333333,506.6666666666667,5662800.0,3480.0,2011373.3333333333,7570,2097152
LAT_DMA_RD,Rand,DThrash,0,0,524288,64,4597,4367.623878479004,1456.0,608,5934720,4176.0,15680.0,3830.8333333333335,3639.68656539917,1213.3333333333333,506.6666666666667,4945600.0,3480.0,13066.666666666666,3195,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1048576,64,4987,4756.894264221191,1472.0,608,4891424,4176.0,2410304.0,4155.833333333333,3964.0785535176597,1226.6666666666667,506.6666666666667,4076186.6666666665,3480.0,2008586.6666666667,3649,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1572864.0,64,3820,3590.647003173828,1456.0,608,7158320,4176.0,13427.920000012964,3183.3333333333335,2992.20583597819,1213.3333333333333,506.6666666666667,5965266.666666667,3480.0,11189.933333344137,2116,2097152
LAT_DMA_RD,Rand,DThrash,0,0,2097152,64,5391,5160.905616760254,1472.0,608,5841888,4176.0,2410608.0,4492.5,4300.754680633545,1226.6666666666667,506.6666666666667,4868240.0,3480.0,2008840.0,4216,2097152
LAT_DMA_RD,Rand,DThrash,0,0,4194304,64,4184,3954.385643005371,1472.0,608,6317296,4176.0,14080.0,3486.6666666666665,3295.3213691711426,1226.6666666666667,506.6666666666667,5264413.333333333,3480.0,11733.333333333334,2422,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8388608,64,5961,5731.450065612793,1456.0,608,5211952,4176.0,2411056.0,4967.5,4776.208388010661,1213.3333333333333,506.6666666666667,4343293.333333333,3480.0,2009213.3333333333,5074,2097152
LAT_DMA_RD,Rand,DThrash,0,0,16777216,64,4202,3972.1451263427734,1456.0,608,7120608,4176.0,14400.0,3501.6666666666665,3310.120938618978,1213.3333333333333,506.6666666666667,5933840.0,3480.0,12000.0,2578,2097152
LAT_DMA_RD,Rand,DThrash,0,0,33554432,64,4971,4740.770606994629,1456.0,608,3619488,4176.0,2410336.0,4142.5,3950.642172495524,1213.3333333333333,506.6666666666667,3016240.0,3480.0,2008613.3333333333,3615,2097152
LAT_DMA_RD,Rand,DThrash,0,0,67108864,64,5184,4953.704788208008,1456.0,608,3623664,4176.0,2410512.0,4320.0,4128.087323506673,1213.3333333333333,506.6666666666667,3019720.0,3480.0,2008760.0,4181,2097152
LAT_DMA_RD,Rand,DWarm,0,0,8192,64,4550,4320.324661254883,1472.0,608,7005424,4176.0,15088.0,3791.6666666666665,3600.270551045736,1226.6666666666667,506.6666666666667,5837853.333333333,3480.0,12573.333333333334,3011,2097152
LAT_DMA_RD,Rand,DWarm,0,0,65536,64,4837,4606.9085693359375,1456.0,608,6223200,4176.0,17280.0,4030.8333333333335,3839.0904744466147,1213.3333333333333,506.6666666666667,5186000.0,3480.0,14400.0,3424,2097152
LAT_DMA_RD,Rand,DWarm,0,0,262144,64,5108,4877.7569580078125,1456.0,608,6738592,4176.0,2410496.0,4256.666666666667,4064.7974650065103,1213.3333333333333,506.6666666666667,5615493.333333333,3480.0,2008746.6666666667,3801,2097152
LAT_DMA_RD,Rand,DWarm,0,0,524288,64,6071,5841.6633377075195,1456.0,608,7013968,4176.0,2411136.0,5059.166666666667,4868.052781422933,1213.3333333333333,506.6666666666667,5844973.333333333,3480.0,2009280.0,5211,2097152
LAT_DMA_RD,Rand,DWarm,0,0,1048576,64,5827,5597.309272766113,1472.0,608,5366144,4192.0,2410992.0,4855.833333333333,4664.424393971761,1226.6666666666667,506.6666666666667,4471786.666666667,3493.3333333333335,2009160.0,4718,2097152
LAT_DMA_RD,Rand,DWarm,0,0,1572864.0,64,4898,4668.185317993164,1456.0,608,7095632,4176.0,19801.344000041485,4081.6666666666665,3890.15443166097,1213.3333333333333,506.6666666666667,5913026.666666667,3480.0,16501.12000003457,3477,2097152
LAT_DMA_RD,Rand,DWarm,0,0,2097152,64,5373,5143.563270568848,1472.0,608,7062976,4192.0,2410605.5840000026,4477.5,4286.30272547404,1226.6666666666667,506.6666666666667,5885813.333333333,3493.3333333333335,2008837.9866666687,4111,2097152
LAT_DMA_RD,Rand,DWarm,0,0,4194304,64,5654,5424.156692504883,1456.0,608,5857536,4176.0,2410912.0,4711.666666666667,4520.130577087402,1213.3333333333333,506.6666666666667,4881280.0,3480.0,2009093.3333333333,4570,2097152
LAT_DMA_RD,Rand,DWarm,0,0,8388608,64,5899,5669.3339920043945,1472.0,608,6974752,4176.0,2411085.5840000026,4915.833333333333,4724.444993336995,1226.6666666666667,506.6666666666667,5812293.333333333,3480.0,2009237.9866666687,4852,2097152
LAT_DMA_RD,Rand,DWarm,0,0,16777216,64,4766,4535.797866821289,1456.0,608,5907008,4176.0,15933.584000002593,3971.6666666666665,3779.8315556844077,1213.3333333333333,506.6666666666667,4922506.666666667,3480.0,13277.986666668829,3310,2097152
LAT_DMA_RD,Rand,DWarm,0,0,33554432,64,5285,5055.1533279418945,1472.0,608,3619200,4176.0,2410528.0,4404.166666666667,4212.627773284912,1226.6666666666667,506.6666666666667,3016000.0,3480.0,2008773.3333333333,3991,2097152
LAT_DMA_RD,Rand,DWarm,0,0,67108864,64,5597,5367.410514831543,1456.0,608,6169104,4176.0,2410704.0,4664.166666666667,4472.842095692952,1213.3333333333333,506.6666666666667,5140920.0,3480.0,2008920.0,4519,2097152
LAT_DMA_RD,Rand,HWarm,0,0,8192,64,5469,5239.218994140625,1472.0,608,5585312,4192.0,2410688.0,4557.5,4366.0158284505205,1226.6666666666667,506.6666666666667,4654426.666666667,3493.3333333333335,2008906.6666666667,4234,2097152
LAT_DMA_RD,Rand,HWarm,0,0,65536,64,4825,4594.812599182129,1472.0,608,5971824,4176.0,17005.584000002593,4020.8333333333335,3829.010499318441,1226.6666666666667,506.6666666666667,4976520.0,3480.0,14171.32000000216,3376,2097152
LAT_DMA_RD,Rand,HWarm,0,0,262144,64,5695,5465.302375793457,1472.0,608,5841088,4192.0,2410736.0,4745.833333333333,4554.418646494548,1226.6666666666667,506.6666666666667,4867573.333333333,3493.3333333333335,2008946.6666666667,4536,2097152
LAT_DMA_RD,Rand,HWarm,0,0,524288,64,5015,4784.855369567871,1456.0,608,6022032,4176.0,2410464.0,4179.166666666667,3987.3794746398926,1213.3333333333333,506.6666666666667,5018360.0,3480.0,2008720.0,3686,2097152
LAT_DMA_RD,Rand,HWarm,0,0,1048576,64,4398,4168.2802734375,1456.0,608,5901392,4176.0,14800.0,3665.0,3473.56689453125,1213.3333333333333,506.6666666666667,4917826.666666667,3480.0,12333.333333333334,2912,2097152
LAT_DMA_RD,Rand,HWarm,0,0,1572864.0,64,4540,4310.505950927734,1456.0,608,4833040,4176.0,15293.584000002593,3783.3333333333335,3592.088292439779,1213.3333333333333,506.6666666666667,4027533.3333333335,3480.0,12744.653333335495,3025,2097152
