        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0   4KB    8    911.0  653.3   656   640  2064   656   688      759.2   544.4     546     533    1720     546       573            1    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   4KB    8    909.0  653.4   656   640  2080   656   688      757.5   544.5     546     533    1733     546       573            2    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   4KB    8    911.0  653.4   656   640  2304   656   688      759.2   544.5     546     533    1920     546       573            2    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   4KB    8    911.0  653.3   656   640  2064   656   688      759.2   544.4     546     533    1720     546       573            1    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   4KB    8    910.0  653.3   656   640  2080   656   688      758.3   544.4     546     533    1733     546       573            2    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   4KB    8    911.0  653.3   656   640  2304   656   688      759.2   544.4     546     533    1920     546       573            2    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   4KB    8    909.0  653.4   656   640  2064   656   688      757.5   544.5     546     533    1720     546       573            2    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   4KB    8    911.0  653.4   656   640  2512   656   688      759.2   544.5     546     533    2093     546       573            2    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   4KB    8    913.0  655.8   656   640  2080   672   688      760.8   546.5     546     533    1733     560       573            1    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   4KB    8    913.0  655.8   656   640  2352   672   688      760.8   546.5     546     533    1960     560       573            1    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   4KB    8    911.0  653.4   656   640  2000   656   688      759.2   544.5     546     533    1666     546       573            3    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0   4KB    8    911.0  653.5   656   640  2000   656   688      759.2   544.5     546     533    1666     546       573            2    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0   4KB    8    911.0  653.3   656   640  2128   656   688      759.2   544.4     546     533    1773     546       573            2    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0   4KB    8    911.0  653.3   656   640  2256   656   688      759.2   544.4     546     533    1880     546       573            1    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0   4KB    8    911.0  653.4   656   640  2240   656   688      759.2   544.5     546     533    1866     546       573            2    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0   4KB    8    911.0  653.3   656   640  2096   656   688      759.2   544.4     546     533    1746     546       573            2    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0   4KB    8    911.0  653.4   656   640  1984   656   688      759.2   544.5     546     533    1653     546       573            2    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0   4KB    8    911.0  653.4   656   640  2000   656   688      759.2   544.5     546     533    1666     546       573            2    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0   4KB    8    912.0  655.8   656   640  2160   672   688      760.0   546.5     546     533    1800     560       573            1    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0   4KB    8    913.0  655.7   656   640  2224   672   688      760.8   546.4     546     533    1853     560       573            1    2097152

LAT_CMD_WRRD  Seq    Cold  0  0   8MB    8    997.0  740.0   736   656  2080   768  1104      830.8   616.6     613     546    1733     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   8MB    8    997.0  740.0   736   656  2096   768  1104      830.8   616.7     613     546    1746     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   8MB    8    997.0  739.9   736   656  2096   768  1104      830.8   616.6     613     546    1746     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   8MB    8    996.0  740.0   736   656  2064   768  1104      830.0   616.7     613     546    1720     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   8MB    8    996.0  740.0   736   656  2320   768  1104      830.0   616.6     613     546    1933     640       920            1    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   8MB    8    996.0  740.0   736   656  2160   768  1104      830.0   616.6     613     546    1800     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   8MB    8    996.0  740.0   736   656  2080   768  1104      830.0   616.7     613     546    1733     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   8MB    8    997.0  740.0   736   672  2176   768  1104      830.8   616.7     613     560    1813     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   8MB    8    999.0  742.1   736   656  2080   768  1104      832.5   618.4     613     546    1733     640       920            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   8MB    8    998.0  742.1   736   672  2080   768  1104      831.7   618.4     613     560    1733     640       920            0    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   8MB    8    916.0  658.7   656   640  2000   672   944      763.3   548.9     546     533    1666     560       786            0    2097152
