        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0   1KB   64    809.0  576.4   576   560  1920   576   896      674.2   480.4     480     466    1600     480       746            2    2097152
  LAT_CMD_RD Rand    Cold  0  0   4KB   64    808.0  576.4   576   560  1904   576   896      673.3   480.3     480     466    1586     480       746            2    2097152
  LAT_CMD_RD Rand    Cold  0  0  16KB   64    808.0  576.3   576   560  2032   576   896      673.3   480.2     480     466    1693     480       746            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 256KB   64    808.0  576.6   576   560  1904   576   896      673.3   480.5     480     466    1586     480       746            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 512KB   64    828.0  596.4   576   560  1904   832  1104      690.0   497.0     480     466    1586     693       920            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   1MB   64    956.0  724.1   832   560  2304   848  1168      796.7   603.4     693     466    1920     706       973            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1.5MB   64    998.0  766.5   832   560  2288   864  1168      831.7   638.7     693     466    1906     720       973            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   2MB   64   1019.0  787.4   832   560  1904   864  1168      849.2   656.2     693     466    1586     720       973            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   3MB   64   1041.0  809.2   832   560  2352   880  1168      867.5   674.4     693     466    1960     733       973            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4MB   64   1052.0  819.7   832   560  1920   880  1168      876.7   683.1     693     466    1600     733       973            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   8MB   64   1149.0  836.0   832   560  1904   912  1184      957.5   696.7     693     466    1586     760       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16MB   64   1196.0  843.5   832   560  2096   912  1184      996.7   702.9     693     466    1746     760       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  32MB   64   1220.0  847.5   848   560  1904   928  1200     1016.7   706.3     706     466    1586     773      1000            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  64MB   64   1232.0  849.3   848   560  2112   944  1184     1026.7   707.8     706     466    1760     786       986            0    2097152

  LAT_CMD_RD Rand DThrash  0  0   1KB   64    808.0  576.4   576   560  1936   576   896      673.3   480.3     480     466    1613     480       746            1    2097152
  LAT_CMD_RD Rand DThrash  0  0   4KB   64    808.0  575.2   576   480  1104   576   896      673.3   479.3     480     400     920     480       746            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  16KB   64    806.0  574.5   576   480  2032   576   896      671.7   478.7     480     400    1693     480       746            1    2097152
  LAT_CMD_RD Rand DThrash  0  0 256KB   64    922.0  690.3   576   480  2192   848  1152      768.3   575.3     480     400    1826     706       960            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 512KB   64   1020.0  786.9   832   480  1904   864  1168      850.0   655.7     693     400    1586     720       973            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   1MB   64    967.0  734.9   832   480  1904   848  1168      805.8   612.5     693     400    1586     706       973            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1.5MB   64   1029.0  795.9   832   480  2000   864  1168      857.5   663.2     693     400    1666     720       973            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   2MB   64   1060.0  828.5   832   480  1904   896  1184      883.3   690.4     693     400    1586     746       986            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   3MB   64   1041.0  808.0   832   480  2064   880  1168      867.5   673.4     693     400    1720     733       973            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   4MB   64   1060.0  827.4   832   480  2064   896  1168      883.3   689.5     693     400    1720     746       973            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   8MB   64   1155.0  843.0   848   480  1904   928  1184      962.5   702.5     706     400    1586     773       986            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  16MB   64   1199.0  846.5   848   480  2256   912  1216      999.2   705.4     706     400    1880     760      1013            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  32MB   64   1219.0  846.5   848   480  1920   928  1184     1015.8   705.4     706     400    1600     773       986            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  64MB   64   1231.0  847.8   848   480  2080   928  1181     1025.8   706.5     706     400    1733     773       984            0    2097152

  LAT_CMD_RD Rand   DWarm  0  0   1KB   64    727.0  495.0   496   480   560   512   528      605.8   412.5     413     400     466     426       440            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   4KB   64    727.0  495.0   496   480  1824   512   528      605.8   412.5     413     400    1520     426       440            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0  16KB   64    727.0  495.0   496   480  1856   512   528      605.8   412.5     413     400    1546     426       440            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0 256KB   64    728.0  495.3   496   480   960   512   576      606.7   412.8     413     400     800     426       480            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 512KB   64    746.0  514.8   496   480  2016   752   960      621.7   429.0     413     400    1680     626       800            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   1MB   64    876.0  643.1   752   480  1824   768  1088      730.0   535.9     626     400    1520     640       906            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 1.5MB   64    926.0  694.1   752   480  1840   848  1120      771.7   578.4     626     400    1533     706       933            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   2MB   64    960.0  727.0   768   480  1552   848  1152      800.0   605.9     640     400    1293     706       960            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   3MB   64   1000.0  768.4   768   480  2160   848  1168      833.3   640.3     640     400    1800     706       973            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   4MB   64   1021.0  789.1   832   480  2176   864  1168      850.8   657.6     693     400    1813     720       973            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   8MB   64   1134.0  820.6   832   480  1968   880  1168      945.0   683.8     693     400    1640     733       973            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0  16MB   64   1188.0  836.1   832   480  1904   896  1184      990.0   696.7     693     400    1586     746       986            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0  32MB   64   1217.0  844.1   832   480  2080   928  1184     1014.2   703.4     693     400    1733     773       986            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0  64MB   64   1231.0  848.0   848   480  1920   928  1184     1025.8   706.6     706     400    1600     773       986            0    2097152

  LAT_CMD_RD Rand   HWarm  0  0   1KB   64    745.0  513.4   512   480  1872   528   544      620.8   427.8     426     400    1560     440       453            2    2097152
  LAT_CMD_RD Rand   HWarm  0  0   4KB   64    746.0  514.1   512   480  1872   528   544      621.7   428.4     426     400    1560     440       453            2    2097152
  LAT_CMD_RD Rand   HWarm  0  0  16KB   64    746.0  514.0   512   480  1840   528   544      621.7   428.3     426     400    1533     440       453            1    2097152
  LAT_CMD_RD Rand   HWarm  0  0 256KB   64    746.0  514.1   512   480  2048   528   560      621.7   428.5     426     400    1706     440       466            3    2097152
