Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,956,722.2260322570801,720.0,704,2240,736.0,1040.0,796.6666666666666,601.8550268809,600.0,586.6666666666666,1866.6666666666667,613.3333333333334,866.6666666666666,1,16777216
LAT_DMA_RD,Rand,HWarm,0,0,8192,64,896,661.238766670227,656.0,624,2176,672.0,704.0,746.6666666666666,551.0323055585226,546.6666666666666,520.0,1813.3333333333333,560.0,586.6666666666666,5,16777216
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,1233,998.2629947662354,992.0,704,2368,1104.0,1360.0,1027.5,831.8858289718628,826.6666666666666,586.6666666666666,1973.3333333333333,920.0,1133.3333333333333,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,67108864,64,1217,983.4624538421631,992.0,624,2336,1040.0,1328.0,1014.1666666666666,819.5520448684692,826.6666666666666,520.0,1946.6666666666667,866.6666666666666,1106.6666666666667,0,16777216
LAT_DMA_RD,Rand,Cold,0,0,8192,2048,1658,1424.8338289260864,1408.0,1392,3104,1536.0,1792.0,1381.6666666666667,1187.361524105072,1173.3333333333333,1160.0,2586.6666666666665,1280.0,1493.3333333333333,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,8192,2048,1593,1359.3335065841675,1360.0,1328,3056,1376.0,1408.0,1327.5,1132.777922153473,1133.3333333333333,1106.6666666666667,2546.6666666666665,1146.6666666666667,1173.3333333333333,0,16777216
LAT_DMA_RD,Rand,Cold,0,0,67108864,2048,1927,1691.6091289520264,1680.0,1392,3216,1824.0,2128.0,1605.8333333333333,1409.6742741266887,1400.0,1160.0,2680.0,1520.0,1773.3333333333333,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,67108864,2048,1913,1678.771490097046,1680.0,1344,3184,1728.0,2112.0,1594.1666666666667,1398.9762417475383,1400.0,1120.0,2653.3333333333335,1440.0,1760.0,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,8192,64,1165,930.8987646102905,928.0,912,2912,944.0,960.0,970.8333333333334,775.7489705085754,773.3333333333334,760.0,2426.6666666666665,786.6666666666666,800.0,1,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,8192,64,1164,930.903697013855,928.0,912,2416,944.0,960.0,970.0,775.7530808448792,773.3333333333334,760.0,2013.3333333333333,786.6666666666666,800.0,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,67108864,64,1360,1126.5628881454468,1120.0,912,2560,1136.0,1440.0,1133.3333333333333,938.8024067878723,933.3333333333334,760.0,2133.3333333333335,946.6666666666666,1200.0,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,67108864,64,1357,1123.2544746398926,1120.0,912,2752,1136.0,1440.0,1130.8333333333333,936.0453955332438,933.3333333333334,760.0,2293.3333333333335,946.6666666666666,1200.0,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,8192,2048,2445,2210.4818754196167,2208.0,2192,3856,2240.0,2272.0,2037.5,1842.0682295163472,1840.0,1826.6666666666667,3213.3333333333335,1866.6666666666667,1893.3333333333333,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,8192,2048,2445,2210.475682258606,2208.0,2192,3712,2240.0,2272.0,2037.5,1842.0630685488384,1840.0,1826.6666666666667,3093.3333333333335,1866.6666666666667,1893.3333333333333,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,67108864,2048,2555,2321.5845804214478,2320.0,2192,3968,2352.0,2640.0,2129.1666666666665,1934.653817017873,1933.3333333333333,1826.6666666666667,3306.6666666666665,1960.0,2200.0,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,67108864,2048,2555,2320.8233709335327,2320.0,2192,3792,2352.0,2640.0,2129.1666666666665,1934.0194757779439,1933.3333333333333,1826.6666666666667,3160.0,1960.0,2200.0,0,16777216
