#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0  8192   64    892.0  660.8   656   624  2256   672   704      743.3   550.7     546     520    1880     560       586            1    2097152
  LAT_DMA_RD  Seq   HWarm  1  0  8192   64    911.0  679.8   672   640  2016   688   720      759.2   566.5     560     533    1680     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  2  0  8192   64    912.0  680.0   688   640  2064   688   720      760.0   566.7     573     533    1720     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  3  0  8192   64    912.0  679.7   672   640  2208   688   720      760.0   566.4     560     533    1840     573       600            2    2097152
  LAT_DMA_RD  Seq   HWarm  4  0  8192   64    910.0  678.6   672   640  2000   688   720      758.3   565.5     560     533    1666     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  6  0  8192   64    912.0  679.8   672   640  2000   688   720      760.0   566.5     560     533    1666     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  8  0  8192   64    908.0  676.2   672   640  2000   688   720      756.7   563.5     560     533    1666     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 12  0  8192   64    908.0  675.5   672   640  2016   688   720      756.7   562.9     560     533    1680     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 16  0  8192   64    906.0  674.4   672   640  2016   688   704      755.0   562.0     560     533    1680     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm 20  0  8192   64    908.0  675.8   672   640  2048   688   720      756.7   563.2     560     533    1706     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 25  0  8192   64    906.0  674.7   672   656  2064   688   720      755.0   562.2     560     546    1720     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 32  0  8192   64    902.0  671.4   672   656  1984   688   704      751.7   559.5     560     546    1653     573       586            0    2097152
