Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,4,876,644.7854995727539,640.0,608,2016,656.0,688.0,730.0,537.3212496439616,533.3333333333334,506.6666666666667,1680.0,546.6666666666666,573.3333333333334,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,8,876,644.6828536987305,640.0,608,2384,656.0,688.0,730.0,537.2357114156088,533.3333333333334,506.6666666666667,1986.6666666666667,546.6666666666666,573.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,16,879,647.0506744384766,640.0,608,2224,656.0,688.0,732.5,539.2088953653971,533.3333333333334,506.6666666666667,1853.3333333333333,546.6666666666666,573.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,24,882,650.6524505615234,656.0,624,2256,656.0,688.0,735.0,542.2103754679362,546.6666666666666,520.0,1880.0,546.6666666666666,573.3333333333334,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,32,885,653.2427978515625,656.0,624,1968,672.0,688.0,737.5,544.3689982096354,546.6666666666666,520.0,1640.0,560.0,573.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,48,896,663.9580993652344,656.0,624,2192,672.0,704.0,746.6666666666666,553.2984161376953,546.6666666666666,520.0,1826.6666666666667,560.0,586.6666666666666,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,893,660.5778121948242,656.0,624,2160,672.0,704.0,744.1666666666666,550.4815101623535,546.6666666666666,520.0,1800.0,560.0,586.6666666666666,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,927,694.7739334106445,688.0,656,2336,720.0,736.0,772.5,578.9782778422037,573.3333333333334,546.6666666666666,1946.6666666666667,600.0,613.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,982,750.3026733398438,752.0,720,2256,768.0,800.0,818.3333333333334,625.2522277832031,626.6666666666666,600.0,1880.0,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,512,1074,841.3455657958984,848.0,800,2160,848.0,880.0,895.0,701.1213048299154,706.6666666666666,666.6666666666666,1800.0,706.6666666666666,733.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,768,1172,941.3532180786133,944.0,896,2256,960.0,992.0,976.6666666666666,784.4610150655111,786.6666666666666,746.6666666666666,1880.0,800.0,826.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1024,1254,1021.930549621582,1024.0,992,2352,1040.0,1072.0,1045.0,851.6087913513184,853.3333333333334,826.6666666666666,1960.0,866.6666666666666,893.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1280,1350,1118.164436340332,1104.0,1072,2448,1152.0,1184.0,1125.0,931.8036969502767,920.0,893.3333333333334,2040.0,960.0,986.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1520,1418,1186.0394134521484,1184.0,1168,2816,1200.0,1232.0,1181.6666666666667,988.3661778767904,986.6666666666666,973.3333333333334,2346.6666666666665,1000.0,1026.6666666666667,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,2048,1589,1358.2739181518555,1360.0,1328,2688,1376.0,1408.0,1324.1666666666667,1131.894931793213,1133.3333333333333,1106.6666666666667,2240.0,1146.6666666666667,1173.3333333333333,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,4,1135,902.7154922485352,896.0,880,2448,912.0,944.0,945.8333333333334,752.2629102071127,746.6666666666666,733.3333333333334,2040.0,760.0,786.6666666666666,0,2097152
