        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    4    876.0  644.8   640   608  2016   656   688      730.0   537.3     533     506    1680     546       573            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    8    876.0  644.7   640   608  2384   656   688      730.0   537.2     533     506    1986     546       573            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   16    879.0  647.1   640   608  2224   656   688      732.5   539.2     533     506    1853     546       573            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   24    882.0  650.7   656   624  2256   656   688      735.0   542.2     546     520    1880     546       573            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   32    885.0  653.2   656   624  1968   672   688      737.5   544.4     546     520    1640     560       573            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   48    896.0  664.0   656   624  2192   672   704      746.7   553.3     546     520    1826     560       586            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    893.0  660.6   656   624  2160   672   704      744.2   550.5     546     520    1800     560       586            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    927.0  694.8   688   656  2336   720   736      772.5   579.0     573     546    1946     600       613            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256    982.0  750.3   752   720  2256   768   800      818.3   625.3     626     600    1880     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  512   1074.0  841.3   848   800  2160   848   880      895.0   701.1     706     666    1800     706       733            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  768   1172.0  941.4   944   896  2256   960   992      976.7   784.5     786     746    1880     800       826            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1024   1254.0 1021.9  1024   992  2352  1040  1072     1045.0   851.6     853     826    1960     866       893            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1280   1350.0 1118.2  1104  1072  2448  1152  1184     1125.0   931.8     920     893    2040     960       986            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1520   1418.0 1186.0  1184  1168  2816  1200  1232     1181.7   988.4     986     973    2346    1000      1026            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 2048   1589.0 1358.3  1360  1328  2688  1376  1408     1324.2  1131.9    1133    1106    2240    1146      1173            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    4   1135.0  902.7   896   880  2448   912   944      945.8   752.3     746     733    2040     760       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    8   1135.0  902.8   896   880  2176   912   944      945.8   752.3     746     733    1813     760       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   16   1139.0  906.4   912   896  2496   912   944      949.2   755.3     760     746    2080     760       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   24   1144.0  912.2   912   896  2176   928   944      953.3   760.1     760     746    1813     773       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   32   1149.0  916.2   912   896  2368   928   944      957.5   763.5     760     746    1973     773       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   48   1163.0  930.6   928   912  2240   944   960      969.2   775.5     773     760    1866     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1161.0  930.9   928   912  2192   944   960      967.5   775.7     773     760    1826     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1210.0  979.1   976   960  2304   992  1008     1008.3   815.9     813     800    1920     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  256   1285.0 1054.0  1056  1040  2336  1056  1088     1070.8   878.4     880     866    1946     880       906            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  512   1441.0 1209.4  1216  1184  2624  1216  1248     1200.8  1007.8    1013     986    2186    1013      1040            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  768   1604.0 1373.2  1376  1344  2784  1392  1424     1336.7  1144.3    1146    1120    2320    1160      1186            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1024   1758.0 1527.3  1520  1504  2800  1536  1568     1465.0  1272.8    1266    1253    2333    1280      1306            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1280   1935.0 1704.4  1696  1680  3376  1728  1744     1612.5  1420.4    1413    1400    2813    1440      1453            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1520   2099.0 1867.7  1872  1840  3136  1888  1920     1749.2  1556.4    1560    1533    2613    1573      1600            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 2048   2441.0 2210.1  2208  2192  3392  2240  2272     2034.2  1841.8    1840    1826    2826    1866      1893            0    2097152
