Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_WRRD,Rand,Cold,0,0,8192,64,1163,931.0780944824219,928.0,912,2192,944.0,960.0,969.1666666666666,775.8984120686849,773.3333333333334,760.0,1826.6666666666667,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,65536,64,1163,931.0601119995117,928.0,912,2192,944.0,960.0,969.1666666666666,775.8834266662598,773.3333333333334,760.0,1826.6666666666667,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,262144,64,1163,930.9113235473633,928.0,912,2176,944.0,960.0,969.1666666666666,775.7594362894694,773.3333333333334,760.0,1813.3333333333333,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,524288,64,1174,943.6611099243164,928.0,912,2496,1104.0,1296.0,978.3333333333334,786.3842582702637,773.3333333333334,760.0,2080.0,920.0,1080.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,1048576,64,1259,1028.7738418579102,1104.0,912,2192,1120.0,1424.0,1049.1666666666667,857.3115348815918,920.0,760.0,1826.6666666666667,933.3333333333334,1186.6666666666667,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,1572864.0,64,1289,1058.381591796875,1104.0,912,2192,1120.0,1424.0,1074.1666666666667,881.9846598307291,920.0,760.0,1826.6666666666667,933.3333333333334,1186.6666666666667,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,2097152,64,1305,1074.6704025268555,1104.0,912,2192,1136.0,1424.0,1087.5,895.5586687723795,920.0,760.0,1826.6666666666667,946.6666666666666,1186.6666666666667,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,4194304,64,1331,1100.4591903686523,1120.0,912,2224,1136.0,1440.0,1109.1666666666667,917.0493253072103,933.3333333333334,760.0,1853.3333333333333,946.6666666666666,1200.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,8388608,64,1344,1113.550048828125,1120.0,912,2192,1136.0,1440.0,1120.0,927.9583740234375,933.3333333333334,760.0,1826.6666666666667,946.6666666666666,1200.0,0,2097152
LAT_DMA_WRRD,Rand,Cold,0,0,16777216,64,1351,1120.5533065795898,1120.0,912,2512,1136.0,1440.0,1125.8333333333333,933.7944221496582,933.3333333333334,760.0,2093.3333333333335,946.6666666666666,1200.0,0,2097152
