        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   1163.0  931.1   928   912  2192   944   960      969.2   775.9     773     760    1826     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  64KB   64   1163.0  931.1   928   912  2192   944   960      969.2   775.9     773     760    1826     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 256KB   64   1163.0  930.9   928   912  2176   944   960      969.2   775.8     773     760    1813     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 512KB   64   1174.0  943.7   928   912  2496  1104  1296      978.3   786.4     773     760    2080     920      1080            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   1MB   64   1259.0 1028.8  1104   912  2192  1120  1424     1049.2   857.3     920     760    1826     933      1186            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1.5MB   64   1289.0 1058.4  1104   912  2192  1120  1424     1074.2   882.0     920     760    1826     933      1186            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   2MB   64   1305.0 1074.7  1104   912  2192  1136  1424     1087.5   895.6     920     760    1826     946      1186            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   4MB   64   1331.0 1100.5  1120   912  2224  1136  1440     1109.2   917.0     933     760    1853     946      1200            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   8MB   64   1344.0 1113.6  1120   912  2192  1136  1440     1120.0   928.0     933     760    1826     946      1200            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  16MB   64   1351.0 1120.6  1120   912  2512  1136  1440     1125.8   933.8     933     760    2093     946      1200            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  32MB   64   1355.0 1124.2  1120   912  2352  1136  1440     1129.2   936.8     933     760    1960     946      1200            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   1357.0 1126.1  1120   912  2416  1136  1440     1130.8   938.4     933     760    2013     946      1200            0    2097152

LAT_DMA_WRRD Rand DThrash  0  0   8KB   64   1162.0  930.9   928   912  2176   944   960      968.3   775.8     773     760    1813     786       800            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0  64KB   64   1174.0  942.5   928   912  2176  1104  1296      978.3   785.4     773     760    1813     920      1080            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 256KB   64   1221.0  989.6   928   912  2192  1120  1392     1017.5   824.7     773     760    1826     933      1160            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 512KB   64   1257.0 1027.7  1104   912  2176  1120  1408     1047.5   856.4     920     760    1813     933      1173            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0   1MB   64   1311.0 1080.3  1104   912  2480  1120  1408     1092.5   900.2     920     760    2066     933      1173            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 1.5MB   64   1330.0 1099.6  1104   912  2176  1136  1408     1108.3   916.3     920     760    1813     946      1173            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0   2MB   64   1308.0 1077.1  1104   912  2784  1136  1424     1090.0   897.6     920     760    2320     946      1186            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0   4MB   64   1335.0 1104.1  1120   912  2384  1136  1440     1112.5   920.1     933     760    1986     946      1200            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0   8MB   64   1347.0 1116.5  1120   912  2512  1136  1440     1122.5   930.4     933     760    2093     946      1200            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0  16MB   64   1353.0 1122.5  1120   912  2176  1136  1440     1127.5   935.4     933     760    1813     946      1200            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0  32MB   64   1355.0 1124.9  1120   912  2224  1136  1440     1129.2   937.4     933     760    1853     946      1200            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0  64MB   64   1357.0 1126.1  1120   912  2208  1136  1440     1130.8   938.4     933     760    1840     946      1200            0    2097152

