Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Seq,HWarm,0,0,8192,64,157568976,131307480.0,536870912,8388608,32.70923557439378,63885225.73123785
BW_DMA_RD,Seq,HWarm,1,0,8192,64,195666864,163055720.0,536870912,8388608,26.34048836802536,51446266.34379953
BW_DMA_RD,Seq,HWarm,2,0,8192,64,195657168,163047640.0,536870912,8388608,26.341793699068567,51448815.8184933
BW_DMA_RD,Seq,HWarm,3,0,8192,64,195643936,163036613.33333334,536870912,8388608,26.34357527544324,51452295.45985008
BW_DMA_RD,Seq,HWarm,4,0,8192,64,179857488,149881240.0,536870912,8388608,28.655803061143608,55968365.35379611
BW_DMA_RD,Seq,HWarm,6,0,8192,64,189210512,157675426.66666666,536870912,8388608,27.23929395212461,53201746.00024337
BW_DMA_RD,Seq,HWarm,8,0,8192,64,179502960,149585800.0,536870912,8388608,28.71239981335127,56078905.8854517
BW_DMA_RD,Seq,HWarm,12,0,8192,64,179568928,149640773.33333334,536870912,8388608,28.701851776939936,56058304.251835816
BW_DMA_RD,Seq,HWarm,16,0,8192,64,193996160,161663466.66666666,536870912,8388608,26.567333885371752,51889323.99486671
BW_DMA_RD,Seq,HWarm,20,0,8192,64,179875008,149895840.0,536870912,8388608,28.65301195817042,55962913.980801605
BW_DMA_RD,Seq,HWarm,25,0,8192,64,188990512,157492093.33333334,536870912,8388608,27.27100265858849,53263677.06755564
BW_DMA_RD,Seq,HWarm,32,0,8192,64,194177200,161814333.33333334,536870912,8388608,26.542563983825083,51840945.28090836
BW_DMA_RD,Seq,HWarm,41,0,8192,64,189305952,157754960.0,536870912,8388608,27.22556106001358,53174923.945339024
BW_DMA_RD,Seq,HWarm,48,0,8192,64,194256592,161880493.33333334,536870912,8388608,26.531716129355342,51819758.06514715
BW_DMA_RD,Seq,HWarm,63,0,8192,64,195940480,163283733.33333334,536870912,8388608,26.303705876396748,51374425.5398374
BW_DMA_RD,Seq,HWarm,0,0,8192,64,157499360,131249466.66666667,536870912,8388608,32.72369332294429,63913463.521375574
BW_DMA_RD,Seq,HWarm,0,1,8192,64,405943120,338285933.3333333,536870912,8388608,12.696263346451099,24797389.348537307
BW_DMA_RD,Seq,HWarm,0,2,8192,64,405942256,338285213.3333333,536870912,8388608,12.696290368943508,24797442.12684279
BW_DMA_RD,Seq,HWarm,0,3,8192,64,405942416,338285346.6666667,536870912,8388608,12.696285364769569,24797432.35306556
BW_DMA_RD,Seq,HWarm,0,4,8192,64,405941904,338284920.0,536870912,8388608,12.69630137814006,24797463.629179806
BW_DMA_RD,Seq,HWarm,0,6,8192,64,405943232,338286026.6666667,536870912,8388608,12.696259843543837,24797382.506921556
BW_DMA_RD,Seq,HWarm,0,8,8192,64,157550976,131292480.0,536870912,8388608,32.712972563242005,63892524.537582055
BW_DMA_RD,Seq,HWarm,0,12,8192,64,405989632,338324693.3333333,536870912,8388608,12.69480880536378,24794548.44797613
BW_DMA_RD,Seq,HWarm,0,16,8192,64,157472368,131226973.33333333,536870912,8388608,32.72930242085393,63924418.79073032
BW_DMA_RD,Seq,HWarm,0,20,8192,64,405943472,338286226.6666667,536870912,8388608,12.696252337320502,24797367.846329104
BW_DMA_RD,Seq,HWarm,0,25,8192,64,405943920,338286600.0,536870912,8388608,12.696238325727357,24797340.479936242
BW_DMA_RD,Seq,HWarm,0,32,8192,64,157413344,131177786.66666667,536870912,8388608,32.741574660913116,63948388.00959592
BW_DMA_RD,Seq,HWarm,0,41,8192,64,405944064,338286720.0,536870912,8388608,12.696233822007557,24797331.68360851
BW_DMA_RD,Seq,HWarm,0,48,8192,64,157556048,131296706.66666667,536870912,8388608,32.71191947642657,63890467.727395646
BW_DMA_RD,Seq,HWarm,0,63,8192,64,405942720,338285600.0,536870912,8388608,12.696275856849951,24797413.78291006
BW_DMA_RD,Seq,HWarm,0,0,8192,128,234969472,195807893.33333334,1073741824,8388608,43.86919467734089,42841010.42709071
BW_DMA_RD,Seq,HWarm,1,0,8192,128,279261840,232718200.0,1073741824,8388608,36.91131416451313,36046205.23878236
BW_DMA_RD,Seq,HWarm,2,0,8192,128,279264096,232720080.0,1073741824,8388608,36.911015981087665,36045914.04403093
BW_DMA_RD,Seq,HWarm,3,0,8192,128,279274048,232728373.33333334,1073741824,8388608,36.90970064787402,36044629.53893947
BW_DMA_RD,Seq,HWarm,4,0,8192,128,263459168,219549306.66666666,1073741824,8388608,39.12530958269784,38208310.13935336
BW_DMA_RD,Seq,HWarm,6,0,8192,128,263650304,219708586.66666666,1073741824,8388608,39.09694528704204,38180610.63187699
BW_DMA_RD,Seq,HWarm,8,0,8192,128,263358352,219465293.33333334,1073741824,8388608,39.14028711115264,38222936.631985
BW_DMA_RD,Seq,HWarm,12,0,8192,128,257815232,214846026.66666666,1073741824,8388608,39.98181732877598,39044743.4851328
BW_DMA_RD,Seq,HWarm,16,0,8192,128,281272432,234393693.33333334,1073741824,8388608,36.64746465590343,35788539.70303069
BW_DMA_RD,Seq,HWarm,20,0,8192,128,262953712,219128093.33333334,1073741824,8388608,39.200517201293586,38281755.07938827
BW_DMA_RD,Seq,HWarm,25,0,8192,128,263554832,219629026.66666666,1073741824,8388608,39.111108046009946,38194441.45118159
BW_DMA_RD,Seq,HWarm,32,0,8192,128,278601568,232167973.33333334,1073741824,8388608,36.9987921618589,36131632.970565334
BW_DMA_RD,Seq,HWarm,41,0,8192,128,263941792,219951493.33333334,1073741824,8388608,39.053768000483984,38138445.31297264
BW_DMA_RD,Seq,HWarm,48,0,8192,128,278292096,231910080.0,1073741824,8388608,37.0399363063477,36171812.79916768
