Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Rand,Cold,0,0,4096,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,Cold,0,0,16384,64,212372192,176976826.66666666,536870912,8388608,24.268529258293857,47399471.20760518
BW_DMA_WR,Rand,Cold,0,0,262144,64,212382160,176985133.33333334,536870912,8388608,24.267390232776613,47397246.54839182
BW_DMA_WR,Rand,Cold,0,0,524288,64,212381712,176984760.0,536870912,8388608,24.267441422640005,47397346.52859376
BW_DMA_WR,Rand,Cold,0,0,1048576,64,212385344,176987786.66666666,536870912,8388608,24.267026425326222,47396535.986965284
BW_DMA_WR,Rand,Cold,0,0,1572864.0,64,212387728,176989773.33333334,536870912,8388608,24.26675403392422,47396003.97250824
BW_DMA_WR,Rand,Cold,0,0,2097152,64,212386480,176988733.33333334,536870912,8388608,24.26689662731827,47396282.475231
BW_DMA_WR,Rand,Cold,0,0,3145728,64,212406640,177005533.33333334,536870912,8388608,24.264593400658285,47391783.98566071
BW_DMA_WR,Rand,Cold,0,0,4194304,64,212385552,176987960.0,536870912,8388608,24.267002659389938,47396489.56912097
BW_DMA_WR,Rand,Cold,0,0,8388608,64,212388128,176990106.66666666,536870912,8388608,24.266708331267935,47395914.70950769
BW_DMA_WR,Rand,Cold,0,0,16777216,64,212381728,176984773.33333334,536870912,8388608,24.26743959442688,47397342.957865
BW_DMA_WR,Rand,Cold,0,0,33554432,64,212377168,176980973.33333334,536870912,8388608,24.267960646315803,47398360.637335554
BW_DMA_WR,Rand,Cold,0,0,67108864,64,212376352,176980293.33333334,536870912,8388608,24.268053889540393,47398542.75300858
BW_DMA_WR,Rand,DThrash,0,0,4096,64,212372384,176976986.66666666,536870912,8388608,24.26850731778761,47399428.355053924
BW_DMA_WR,Rand,DThrash,0,0,16384,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Rand,DThrash,0,0,262144,64,212372448,176977040.0,536870912,8388608,24.268500004294342,47399414.07088739
BW_DMA_WR,Rand,DThrash,0,0,524288,64,212372288,176976906.66666666,536870912,8388608,24.268518288035775,47399449.78131987
BW_DMA_WR,Rand,DThrash,0,0,1048576,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Rand,DThrash,0,0,1572864.0,64,212372288,176976906.66666666,536870912,8388608,24.268518288035775,47399449.78131987
BW_DMA_WR,Rand,DThrash,0,0,2097152,64,212393392,176994493.33333334,536870912,8388608,24.26610690035027,47394740.03974662
BW_DMA_WR,Rand,DThrash,0,0,3145728,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Rand,DThrash,0,0,4194304,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Rand,DThrash,0,0,8388608,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Rand,DThrash,0,0,16777216,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,DThrash,0,0,33554432,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,DThrash,0,0,67108864,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Rand,DWarm,0,0,4096,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Rand,DWarm,0,0,16384,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Rand,DWarm,0,0,262144,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Rand,DWarm,0,0,524288,64,212386944,176989120.0,536870912,8388608,24.266843611629913,47396178.928964674
BW_DMA_WR,Rand,DWarm,0,0,1048576,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Rand,DWarm,0,0,1572864.0,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Rand,DWarm,0,0,2097152,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Rand,DWarm,0,0,3145728,64,212372192,176976826.66666666,536870912,8388608,24.268529258293857,47399471.20760518
BW_DMA_WR,Rand,DWarm,0,0,4194304,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Rand,DWarm,0,0,8388608,64,212372192,176976826.66666666,536870912,8388608,24.268529258293857,47399471.20760518
BW_DMA_WR,Rand,DWarm,0,0,16777216,64,212372352,176976960.0,536870912,8388608,24.268510974535893,47399435.49714042
