#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0  4096    8    910.0  652.8   656   640  1856   656   688      758.3   544.0     546     533    1546     546       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0  4096    8    910.0  652.8   656   640  2128   656   688      758.3   544.0     546     533    1773     546       573            1    2097152
LAT_CMD_WRRD  Seq    Cold  2  0  4096    8    909.0  652.7   656   640  1856   656   688      757.5   543.9     546     533    1546     546       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0  4096    8    910.0  652.6   656   640  1952   656   688      758.3   543.8     546     533    1626     546       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0  4096    8    909.0  652.6   656   640  1856   656   688      757.5   543.8     546     533    1546     546       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0  4096    8    909.0  652.6   656   640  2096   656   688      757.5   543.8     546     533    1746     546       573            1    2097152
LAT_CMD_WRRD  Seq    Cold  8  0  4096    8    909.0  652.6   656   640  1872   656   688      757.5   543.8     546     533    1560     546       573            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0  4096    8    909.0  652.7   656   640  1968   656   688      757.5   543.9     546     533    1640     546       573            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0  4096    8    911.0  655.1   656   640  1856   672   688      759.2   545.9     546     533    1546     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0  4096    8    911.0  655.3   656   640  2112   672   688      759.2   546.0     546     533    1760     560       573            1    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0  4096    8    910.0  652.7   656   640  1776   656   688      758.3   543.9     546     533    1480     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0  4096    8    910.0  652.8   656   640  1888   656   688      758.3   544.0     546     533    1573     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0  4096    8    910.0  652.7   656   640  1952   656   688      758.3   543.9     546     533    1626     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0  4096    8    910.0  652.6   656   640  1776   656   688      758.3   543.8     546     533    1480     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0  4096    8    910.0  652.7   656   640  2064   656   688      758.3   543.9     546     533    1720     546       573            1    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0  4096    8    910.0  652.7   656   640  1792   656   688      758.3   544.0     546     533    1493     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0  4096    8    910.0  652.6   656   640  2080   656   688      758.3   543.8     546     533    1733     546       573            1    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0  4096    8    910.0  652.6   656   640  1808   656   688      758.3   543.8     546     533    1506     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0  4096    8    911.0  655.2   656   640  1840   672   688      759.2   546.0     546     533    1533     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0  4096    8    912.0  655.3   656   640  1904   672   688      760.0   546.1     546     533    1586     560       573            0    2097152


LAT_CMD_WRRD  Seq    Cold  0  0 8388608    8    991.0  735.8   736   656  1856   752  1056      825.8   613.2     613     546    1546     626       880            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0 8388608    8    991.0  735.8   736   656  1872   752  1056      825.8   613.2     613     546    1560     626       880            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0 8388608    8    992.0  735.4   736   656  2096   736  1056      826.7   612.8     613     546    1746     613       880            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0 8388608    8    991.0  735.4   736   656  1856   736  1056      825.8   612.8     613     546    1546     613       880            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0 8388608    8    991.0  735.4   736   656  1952   736  1056      825.8   612.8     613     546    1626     613       880            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0 8388608    8    991.0  735.4   736   656  1952   752  1056      825.8   612.8     613     546    1626     626       880            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0 8388608    8    991.0  735.4   736   656  2064   752  1056      825.8   612.8     613     546    1720     626       880            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0 8388608    8    991.0  735.5   736   640  2096   736  1056      825.8   612.9     613     533    1746     613       880            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0 8388608    8    993.0  737.2   736   656  1872   752  1040      827.5   614.3     613     546    1560     626       866            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0 8388608    8    993.0  737.4   736   656  2128   752  1040      827.5   614.5     613     546    1773     626       866            0    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0 8388608    8    911.0  654.0   656   640  2032   672   688      759.2   545.0     546     533    1693     560       573            1    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0 8388608    8    911.0  654.0   656   640  1776   672   704      759.2   545.0     546     533    1480     560       586            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0 8388608    8    910.0  654.0   656   640  1968   672   688      758.3   545.0     546     533    1640     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0 8388608    8    910.0  654.0   656   640  1792   672   688      758.3   545.0     546     533    1493     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0 8388608    8    910.0  653.9   656   640  1808   672   688      758.3   545.0     546     533    1506     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0 8388608    8    911.0  654.0   656   640  1792   672   688      759.2   545.0     546     533    1493     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0 8388608    8    911.0  653.9   656   640  1792   672   688      759.2   544.9     546     533    1493     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0 8388608    8    911.0  654.0   656   640  2032   672   704      759.2   545.0     546     533    1693     560       586            1    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0 8388608    8    913.0  656.4   656   640  2000   672   704      760.8   547.0     546     533    1666     560       586            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0 8388608    8    913.0  656.4   656   640  1792   672   704      760.8   547.0     546     533    1493     560       586            0    2097152


LAT_CMD_WRRD  Seq    Cold  0  0  4096   64   1000.0  674.0   672   656  1824   688   704      833.3   561.7     560     546    1520     573       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0  4096   64   1000.0  673.5   672   656  1840   688   704      833.3   561.3     560     546    1533     573       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0  4096   64   1000.0  673.5   672   656  2064   688   704      833.3   561.3     560     546    1720     573       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0  4096   64   1000.0  673.5   672   656  1808   688   704      833.3   561.3     560     546    1506     573       586            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0  4096   64   1027.0  701.0   704   672  2048   720   736      855.8   584.2     586     560    1706     600       613            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0  4096   64   1027.0  701.0   704   672  2208   720   736      855.8   584.2     586     560    1840     600       613            1    2097152
LAT_CMD_WRRD  Seq    Cold  8  0  4096   64   1024.0  697.7   704   672  1904   704   736      853.3   581.4     586     560    1586     586       613            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0  4096   64   1024.0  697.8   704   688  1904   704   736      853.3   581.5     586     573    1586     586       613            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0  4096   64   1020.0  693.2   688   672  2112   704   736      850.0   577.6     573     560    1760     586       613            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0  4096   64   1026.0  700.2   704   688  1904   704   736      855.0   583.5     586     573    1586     586       613            0    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0  4096   64   1000.0  674.0   672   656  1920   688   720      833.3   561.6     560     546    1600     573       600            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0  4096   64   1000.0  673.5   672   656  1808   688   704      833.3   561.3     560     546    1506     573       586            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0  4096   64   1000.0  673.6   672   656  2016   688   704      833.3   561.3     560     546    1680     573       586            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0  4096   64   1000.0  673.5   672   656  1808   688   704      833.3   561.2     560     546    1506     573       586            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0  4096   64   1027.0  701.0   704   672  1840   720   736      855.8   584.2     586     560    1533     600       613            0    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0  4096   64   1027.0  701.0   704   672  2144   720   736      855.8   584.2     586     560    1786     600       613            0    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0  4096   64   1023.0  697.7   704   672  2112   704   736      852.5   581.4     586     560    1760     586       613            0    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0  4096   64   1023.0  697.8   704   688  1824   704   736      852.5   581.5     586     573    1520     586       613            0    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0  4096   64   1018.0  693.1   688   672  1840   704   736      848.3   577.6     573     560    1533     586       613            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0  4096   64   1026.0  700.2   704   688  2144   704   736      855.0   583.5     586     573    1786     586       613            1    2097152


LAT_CMD_WRRD  Seq    Cold  0  0 8388608   64   1017.0  689.9   688   672  2208   704   720      847.5   574.9     573     560    1840     586       600            1    2097152
LAT_CMD_WRRD  Seq    Cold  1  0 8388608   64   1016.0  689.6   688   672  1968   704   720      846.7   574.7     573     560    1640     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0 8388608   64   1016.0  689.7   688   672  2000   704   720      846.7   574.7     573     560    1666     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0 8388608   64   1016.0  689.7   688   672  1840   704   720      846.7   574.7     573     560    1533     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0 8388608   64   1109.0  782.8   784   704  2064   800  1088      924.2   652.4     653     586    1720     666       906            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0 8388608   64   1109.0  782.8   784   704  1888   800  1088      924.2   652.3     653     586    1573     666       906            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0 8388608   64   1107.0  780.4   768   704  1936   800  1088      922.5   650.4     640     586    1613     666       906            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0 8388608   64   1107.0  780.5   768   688  1952   800  1088      922.5   650.4     640     573    1626     666       906            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0 8388608   64   1102.0  776.0   768   688  1920   784  1088      918.3   646.6     640     573    1600     653       906            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0 8388608   64   1109.0  782.2   784   704  2144   800  1088      924.2   651.8     653     586    1786     666       906            0    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0 8388608   64   1001.0  675.2   672   656  1968   688   720      834.2   562.7     560     546    1640     573       600            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0 8388608   64   1000.0  674.2   672   656  1984   688   720      833.3   561.9     560     546    1653     573       600            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0 8388608   64   1000.0  674.2   672   656  2128   688   720      833.3   561.9     560     546    1773     573       600            1    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0 8388608   64   1000.0  674.2   672   656  1808   688   720      833.3   561.9     560     546    1506     573       600            0    2097152
