        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0   1KB   64    806.0  575.8   576   560  1728   576   896      671.7   479.8     480     466    1440     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4KB   64    805.0  575.8   576   560  1696   576   896      670.8   479.8     480     466    1413     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16KB   64    805.0  575.9   576   560  1760   576   896      670.8   479.9     480     466    1466     480       746            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 256KB   64    805.0  575.9   576   560  1952   576   896      670.8   479.9     480     466    1626     480       746            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 512KB   64    806.0  575.9   576   560  1856   576   880      671.7   479.9     480     466    1546     480       733            1    2097152
  LAT_CMD_RD Rand    Cold  0  0   1MB   64    806.0  575.8   576   560  1840   576   880      671.7   479.9     480     466    1533     480       733            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 1.5MB   64    806.0  575.8   576   560  1744   576   880      671.7   479.8     480     466    1453     480       733            1    2097152
  LAT_CMD_RD Rand    Cold  0  0   2MB   64    806.0  575.8   576   560  1696   576   880      671.7   479.8     480     466    1413     480       733            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   3MB   64    806.0  575.8   576   560  1728   576   880      671.7   479.8     480     466    1440     480       733            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4MB   64    806.0  575.8   576   560  1728   576   880      671.7   479.8     480     466    1440     480       733            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   8MB   64    888.0  576.6   576   560  1696   576   880      740.0   480.5     480     466    1413     480       733            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16MB   64    928.0  576.4   576   560  1984   576   880      773.3   480.4     480     466    1653     480       733            2    2097152
  LAT_CMD_RD Rand    Cold  0  0  32MB   64    949.0  576.5   576   560  1696   576   880      790.8   480.4     480     466    1413     480       733            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  64MB   64    958.0  576.3   576   560  1696   576   880      798.3   480.2     480     466    1413     480       733            0    2097152

  LAT_CMD_RD Rand DThrash  0  0   1KB   64    801.0  570.5   576   480  1696   576   880      667.5   475.4     480     400    1413     480       733            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   4KB   64    804.0  574.3   576   480  1088   576   896      670.0   478.6     480     400     906     480       746            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  16KB   64    804.0  573.5   576   480  1696   576   896      670.0   477.9     480     400    1413     480       746            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 256KB   64    804.0  573.9   576   480  1776   576   880      670.0   478.2     480     400    1480     480       733            1    2097152
  LAT_CMD_RD Rand DThrash  0  0 512KB   64    804.0  573.9   576   480  1696   576   880      670.0   478.2     480     400    1413     480       733            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   1MB   64    804.0  573.9   576   480  1840   576   880      670.0   478.2     480     400    1533     480       733            1    2097152
  LAT_CMD_RD Rand DThrash  0  0 1.5MB   64    804.0  574.1   576   480  1104   576   880      670.0   478.4     480     400     920     480       733            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   2MB   64    804.0  573.8   576   480  1744   576   880      670.0   478.1     480     400    1453     480       733            1    2097152
  LAT_CMD_RD Rand DThrash  0  0   3MB   64    805.0  574.0   576   480  1712   576   880      670.8   478.3     480     400    1426     480       733            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   4MB   64    804.0  574.0   576   480  1104   576   880      670.0   478.3     480     400     920     480       733            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   8MB   64    886.0  574.5   576   480  1776   576   880      738.3   478.8     480     400    1480     480       733            1    2097152
  LAT_CMD_RD Rand DThrash  0  0  16MB   64    927.0  574.6   576   480  1728   576   880      772.5   478.8     480     400    1440     480       733            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  32MB   64    947.0  574.4   576   480  1008   576   880      789.2   478.6     480     400     840     480       733            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  64MB   64    956.0  574.6   576   480  1712   576   880      796.7   478.9     480     400    1426     480       733            0    2097152

  LAT_CMD_RD Rand   DWarm  0  0   1KB   64    724.0  494.4   496   480  1664   496   528      603.3   412.0     413     400    1386     413       440            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0   4KB   64    725.0  494.5   496   480   560   496   528      604.2   412.1     413     400     466     413       440            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0  16KB   64    725.0  494.5   496   480  1664   496   528      604.2   412.1     413     400    1386     413       440            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0 256KB   64    725.0  494.9   496   480  1664   496   576      604.2   412.4     413     400    1386     413       480            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0 512KB   64    725.0  494.8   496   480   896   496   576      604.2   412.3     413     400     746     413       480            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   1MB   64    726.0  495.6   496   480  1648   496   576      605.0   413.0     413     400    1373     413       480            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0 1.5MB   64    736.0  504.5   496   480  1696   576   816      613.3   420.4     413     400    1413     480       680            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   2MB   64    747.0  515.9   496   480  1056   576   864      622.5   429.9     413     400     880     480       720            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   3MB   64    768.0  536.6   560   480  1728   576   880      640.0   447.1     466     400    1440     480       733            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   4MB   64    778.0  546.3   560   480  1632   576   880      648.3   455.2     466     400    1360     480       733            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0   8MB   64    873.0  561.2   576   480  1824   576   880      727.5   467.7     480     400    1520     480       733            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0  16MB   64    921.0  569.2   576   480  1824   576   896      767.5   474.3     480     400    1520     480       746            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0  32MB   64    944.0  572.7   576   480  1744   576   880      786.7   477.2     480     400    1453     480       733            1    2097152
  LAT_CMD_RD Rand   DWarm  0  0  64MB   64    956.0  574.3   576   480  1696   576   880      796.7   478.6     480     400    1413     480       733            0    2097152

  LAT_CMD_RD Rand   HWarm  0  0   1KB   64    743.0  511.8   512   480  2064   528   544      619.2   426.5     426     400    1720     440       453            2    2097152
  LAT_CMD_RD Rand   HWarm  0  0   4KB   64    745.0  512.9   512   480  1632   528   544      620.8   427.5     426     400    1360     440       453            1    2097152
  LAT_CMD_RD Rand   HWarm  0  0  16KB   64    744.0  513.1   512   480  1680   528   544      620.0   427.6     426     400    1400     440       453            2    2097152
