#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0  1024    8    909.0  652.3   656   640  2160   656   688      757.5   543.6     546     533    1800     546       573            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0  4096    8    910.0  652.8   656   640  1856   656   688      758.3   544.0     546     533    1546     546       573            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16384    8    910.0  652.7   656   640  1984   656   688      758.3   543.9     546     533    1653     546       573            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 262144    8    910.0  653.0   656   640  2128   656   736      758.3   544.2     546     533    1773     546       613            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 524288    8    910.0  653.1   656   640  2080   656   736      758.3   544.2     546     533    1733     546       613            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1048576    8    910.0  653.5   656   640  2032   656   736      758.3   544.6     546     533    1693     546       613            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1572864.0    8    920.0  662.9   656   640  1920   736   992      766.7   552.4     546     533    1600     613       826            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 2097152    8    930.0  674.0   656   640  1872   736  1024      775.0   561.6     546     533    1560     613       853            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 3145728    8    951.0  694.0   720   640  1856   736  1040      792.5   578.4     600     533    1546     613       866            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 4194304    8    961.0  704.5   720   640  2192   736  1040      800.8   587.1     600     533    1826     613       866            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 8388608    8   1057.0  719.9   720   640  1856   736  1040      880.8   599.9     600     533    1546     613       866            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16777216    8   1104.0  727.3   736   640  2240   736  1056      920.0   606.1     613     533    1866     613       880            1    2097152
