        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    891.0  660.5   656   624  1808   672   704      742.5   550.5     546     520    1506     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB   64    910.0  678.6   672   640  1840   688   720      758.3   565.5     560     533    1533     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB   64    911.0  679.3   672   640  1792   688   720      759.2   566.1     560     533    1493     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB   64    911.0  679.9   672   640  1824   688   720      759.2   566.6     560     533    1520     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB   64    909.0  677.6   672   640  1936   688   720      757.5   564.7     560     533    1613     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB   64    910.0  678.5   672   640  1824   688   720      758.3   565.4     560     533    1520     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB   64    906.0  675.0   672   640  1808   688   704      755.0   562.5     560     533    1506     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB   64    907.0  675.1   672   640  1776   688   704      755.8   562.6     560     533    1480     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB   64    905.0  674.1   672   640  1824   688   704      754.2   561.8     560     533    1520     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB   64    908.0  676.2   672   640  2112   688   720      756.7   563.5     560     533    1760     573       600            1    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB   64    906.0  675.1   672   640  1840   688   720      755.0   562.6     560     533    1533     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB   64    902.0  671.9   672   640  1792   688   704      751.7   559.9     560     533    1493     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB   64    912.0  681.3   688   656  1808   688   720      760.0   567.8     573     546    1506     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB   64    909.0  677.8   672   656  1824   688   720      757.5   564.9     560     546    1520     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB   64    916.0  684.7   688   656  1824   704   720      763.3   570.6     573     546    1520     586       600            0    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    891.0  660.6   656   624  1792   672   704      742.5   550.5     546     520    1493     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB   64    931.0  699.7   704   672  1824   704   736      775.8   583.1     586     560    1520     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB   64    931.0  700.4   704   672  1824   704   736      775.8   583.7     586     560    1520     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB   64    931.0  700.3   704   672  2256   704   736      775.8   583.6     586     560    1880     586       613            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB   64    930.0  700.6   704   672  1904   704   736      775.0   583.8     586     560    1586     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB   64    930.0  700.4   704   672  1840   704   736      775.0   583.6     586     560    1533     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB   64    892.0  661.2   656   624  1776   672   704      743.3   551.0     546     520    1480     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 12   8KB   64    930.0  700.4   704   672  1856   704   736      775.0   583.6     586     560    1546     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 16   8KB   64    893.0  661.3   656   624  1792   672   704      744.2   551.0     546     520    1493     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 20   8KB   64    931.0  700.4   704   672  1840   704   736      775.8   583.6     586     560    1533     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 25   8KB   64    930.0  700.6   704   672  2048   704   736      775.0   583.8     586     560    1706     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 32   8KB   64    892.0  661.4   656   624  1792   672   704      743.3   551.1     546     520    1493     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 41   8KB   64    930.0  700.4   704   672  2240   704   736      775.0   583.6     586     560    1866     586       613            1    2097152
  LAT_DMA_RD  Seq   HWarm  0 48   8KB   64    893.0  661.4   656   624  1776   672   704      744.2   551.1     546     520    1480     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 63   8KB   64    931.0  700.6   704   672  1840   704   736      775.8   583.8     586     560    1533     586       613            0    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    925.0  694.3   688   656  1808   720   736      770.8   578.6     573     546    1506     600       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB  128    941.0  710.3   704   672  1808   752   768      784.2   591.9     586     560    1506     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB  128    942.0  710.5   704   672  1968   752   768      785.0   592.1     586     560    1640     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB  128    942.0  710.3   704   672  1872   752   768      785.0   591.9     586     560    1560     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB  128    941.0  709.7   704   656  1840   752   768      784.2   591.4     586     546    1533     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB  128    941.0  710.6   704   672  1824   752   768      784.2   592.2     586     560    1520     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB  128    938.0  706.8   704   656  1808   752   768      781.7   589.0     586     546    1506     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB  128    940.0  708.4   704   672  1792   752   768      783.3   590.4     586     560    1493     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB  128    940.0  708.8   704   672  1904   752   768      783.3   590.6     586     560    1586     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB  128    943.0  711.8   704   672  2000   768   784      785.8   593.2     586     560    1666     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB  128    943.0  712.5   704   688  1840   768   784      785.8   593.7     586     573    1533     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB  128    940.0  708.8   704   672  2080   752   768      783.3   590.7     586     560    1733     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB  128    946.0  715.2   704   688  1824   768   784      788.3   596.0     586     573    1520     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB  128    943.0  712.3   704   688  1856   768   784      785.8   593.6     586     573    1546     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB  128    949.0  717.9   704   688  1872   768   784      790.8   598.3     586     573    1560     640       653            0    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    925.0  693.5   688   656  1824   720   736      770.8   577.9     573     546    1520     600       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB  128    958.0  726.4   720   688  1920   752   768      798.3   605.3     600     573    1600     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB  128    958.0  726.4   720   688  1968   752   768      798.3   605.3     600     573    1640     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB  128    958.0  726.3   720   688  1840   752   768      798.3   605.3     600     573    1533     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB  128    958.0  726.1   720   688  2048   752   768      798.3   605.1     600     573    1706     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB  128    958.0  726.8   720   688  2096   752   768      798.3   605.7     600     573    1746     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB  128    926.0  694.4   688   656  1824   720   736      771.7   578.7     573     546    1520     600       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 12   8KB  128    958.0  727.0   720   688  1888   752   768      798.3   605.9     600     573    1573     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 16   8KB  128    925.0  694.4   688   656  1824   720   736      770.8   578.7     573     546    1520     600       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 20   8KB  128    958.0  726.8   720   688  2016   752   768      798.3   605.7     600     573    1680     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 25   8KB  128    958.0  726.1   720   688  2048   752   768      798.3   605.1     600     573    1706     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 32   8KB  128    925.0  693.5   688   656  1824   720   736      770.8   577.9     573     546    1520     600       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 41   8KB  128    959.0  726.9   720   688  1888   752   768      799.2   605.8     600     573    1573     626       640            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 48   8KB  128    926.0  694.3   688   656  1808   720   736      771.7   578.6     573     546    1506     600       613            0    2097152
  LAT_DMA_RD  Seq   HWarm  0 63   8KB  128    959.0  727.0   720   688  1952   752   768      799.2   605.8     600     573    1626     626       640            0    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256    978.0  747.1   752   720  1968   768   784      815.0   622.6     626     600    1640     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB  256    999.0  767.9   768   720  1920   800   832      832.5   639.9     640     600    1600     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB  256    999.0  767.9   768   720  1872   800   832      832.5   639.9     640     600    1560     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB  256    999.0  767.7   768   720  1952   800   832      832.5   639.7     640     600    1626     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB  256    998.0  766.8   768   720  1856   800   832      831.7   639.0     640     600    1546     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB  256    998.0  766.6   752   720  2080   816   832      831.7   638.8     626     600    1733     680       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB  256    994.0  763.3   752   720  2128   800   832      828.3   636.1     626     600    1773     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB  256    998.0  767.4   752   720  1904   816   832      831.7   639.5     626     600    1586     680       693            0    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB  256    994.0  763.6   752   720  2064   800   832      828.3   636.3     626     600    1720     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB  256    999.0  768.1   768   720  1904   816   832      832.5   640.0     640     600    1586     680       693            0    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB  256   1000.0  768.6   768   720  1872   816   832      833.3   640.5     640     600    1560     680       693            0    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB  256    996.0  765.0   752   720  1872   816   832      830.0   637.5     626     600    1560     680       693            0    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB  256   1003.0  772.2   768   720  1968   816   848      835.8   643.5     640     600    1640     680       706            0    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB  256   1000.0  769.3   768   736  1872   816   832      833.3   641.1     640     613    1560     680       693            0    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB  256   1009.0  778.3   768   736  2224   832   848      840.8   648.6     640     613    1853     693       706            0    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256    982.0  750.0   752   720  2240   768   784      818.3   625.0     626     600    1866     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB  256   1015.0  783.5   784   752  2016   800   832      845.8   652.9     653     626    1680     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB  256   1015.0  783.3   784   752  2016   800   832      845.8   652.7     653     626    1680     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB  256   1015.0  783.0   784   736  1920   800   832      845.8   652.5     653     613    1600     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB  256   1014.0  782.9   784   736  2016   800   832      845.0   652.4     653     613    1680     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB  256   1014.0  782.9   784   736  2064   800   832      845.0   652.4     653     613    1720     666       693            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB  256    977.0  746.5   736   720  2144   768   816      814.2   622.1     613     600    1786     640       680            0    2097152
