Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,240,973,741.1946334838867,736.0,720,1872,768.0,784.0,810.8333333333334,617.6621945699056,613.3333333333334,600.0,1560.0,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,241,980,749.458610534668,752.0,720,2080,768.0,800.0,816.6666666666666,624.5488421122233,626.6666666666666,600.0,1733.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,242,980,749.7200088500977,752.0,720,1888,768.0,800.0,816.6666666666666,624.766674041748,626.6666666666666,600.0,1573.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,243,980,749.7318344116211,752.0,720,2048,768.0,800.0,816.6666666666666,624.776528676351,626.6666666666666,600.0,1706.6666666666667,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,244,980,749.7219619750977,752.0,720,2016,768.0,800.0,816.6666666666666,624.7683016459147,626.6666666666666,600.0,1680.0,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,245,980,749.4711380004883,752.0,720,1872,768.0,800.0,816.6666666666666,624.5592816670736,626.6666666666666,600.0,1560.0,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,246,981,749.4568023681641,752.0,720,2032,768.0,800.0,817.5,624.5473353068033,626.6666666666666,600.0,1693.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,247,980,749.7383804321289,752.0,720,1888,768.0,800.0,816.6666666666666,624.7819836934408,626.6666666666666,600.0,1573.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,248,975,743.5845642089844,736.0,720,1888,768.0,784.0,812.5,619.6538035074869,613.3333333333334,600.0,1573.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,249,982,751.1652145385742,752.0,720,2032,768.0,800.0,818.3333333333334,625.9710121154785,626.6666666666666,600.0,1693.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,250,982,751.2430877685547,752.0,720,2176,768.0,800.0,818.3333333333334,626.0359064737955,626.6666666666666,600.0,1813.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,251,982,751.1752243041992,752.0,720,1888,768.0,800.0,818.3333333333334,625.9793535868326,626.6666666666666,600.0,1573.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,252,981,751.4137725830078,752.0,720,1920,768.0,800.0,817.5,626.1781438191732,626.6666666666666,600.0,1600.0,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,253,981,751.1670989990234,752.0,720,1872,768.0,800.0,817.5,625.9725824991862,626.6666666666666,600.0,1560.0,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,254,982,751.1574249267578,752.0,720,1888,768.0,800.0,818.3333333333334,625.9645207722982,626.6666666666666,600.0,1573.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,255,982,751.1552047729492,752.0,720,2064,768.0,800.0,818.3333333333334,625.9626706441244,626.6666666666666,600.0,1720.0,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,977,746.0754089355469,736.0,720,1984,768.0,800.0,814.1666666666666,621.7295074462891,613.3333333333334,600.0,1653.3333333333333,640.0,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,257,1002,771.2186965942383,768.0,720,1952,816.0,832.0,835.0,642.6822471618652,640.0,600.0,1626.6666666666667,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,258,1002,771.0650939941406,768.0,720,2016,816.0,832.0,835.0,642.5542449951172,640.0,600.0,1680.0,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,259,1002,771.0365676879883,768.0,720,1968,816.0,832.0,835.0,642.5304730733236,640.0,600.0,1640.0,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,260,1002,770.944938659668,768.0,720,1968,816.0,832.0,835.0,642.4541155497233,640.0,600.0,1640.0,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,261,1002,770.9137649536133,768.0,720,2048,816.0,832.0,835.0,642.4281374613444,640.0,600.0,1706.6666666666667,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,262,1002,771.1718368530273,768.0,720,1872,816.0,832.0,835.0,642.6431973775228,640.0,600.0,1560.0,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,263,1000,769.2077941894531,768.0,720,1904,816.0,832.0,833.3333333333334,641.0064951578776,640.0,600.0,1586.6666666666667,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,264,1000,769.2368392944336,768.0,720,1936,816.0,832.0,833.3333333333334,641.030699412028,640.0,600.0,1613.3333333333333,680.0,693.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,265,1021,790.4603881835938,784.0,752,1920,832.0,848.0,850.8333333333334,658.7169901529948,653.3333333333334,626.6666666666666,1600.0,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,266,1021,790.5840606689453,784.0,752,2160,832.0,848.0,850.8333333333334,658.8200505574545,653.3333333333334,626.6666666666666,1800.0,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,267,1021,790.5698776245117,784.0,752,1920,832.0,848.0,850.8333333333334,658.8082313537598,653.3333333333334,626.6666666666666,1600.0,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,268,1021,790.3371429443359,784.0,752,1904,832.0,848.0,850.8333333333334,658.6142857869467,653.3333333333334,626.6666666666666,1586.6666666666667,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,269,1020,790.3470153808594,784.0,752,1904,832.0,848.0,850.0,658.6225128173828,653.3333333333334,626.6666666666666,1586.6666666666667,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,270,1021,790.5713195800781,784.0,752,1952,832.0,848.0,850.8333333333334,658.8094329833984,653.3333333333334,626.6666666666666,1626.6666666666667,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,271,1021,790.5721054077148,784.0,752,1904,832.0,848.0,850.8333333333334,658.8100878397623,653.3333333333334,626.6666666666666,1586.6666666666667,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,240,1275,1045.691062927246,1040.0,1024,2144,1056.0,1088.0,1062.5,871.4092191060384,866.6666666666666,853.3333333333334,1786.6666666666667,880.0,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,241,1286,1055.6802673339844,1056.0,1040,2288,1072.0,1088.0,1071.6666666666667,879.7335561116537,880.0,866.6666666666666,1906.6666666666667,893.3333333333334,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,242,1286,1055.5321884155273,1056.0,1040,2208,1072.0,1088.0,1071.6666666666667,879.6101570129395,880.0,866.6666666666666,1840.0,893.3333333333334,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,243,1286,1055.4955749511719,1056.0,1040,2288,1072.0,1088.0,1071.6666666666667,879.5796457926432,880.0,866.6666666666666,1906.6666666666667,893.3333333333334,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,244,1286,1055.481216430664,1056.0,1040,2432,1072.0,1088.0,1071.6666666666667,879.5676803588867,880.0,866.6666666666666,2026.6666666666667,893.3333333333334,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,245,1286,1055.5072174072266,1056.0,1040,2160,1072.0,1088.0,1071.6666666666667,879.5893478393555,880.0,866.6666666666666,1800.0,893.3333333333334,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,246,1286,1055.5123748779297,1056.0,1040,2144,1072.0,1088.0,1071.6666666666667,879.593645731608,880.0,866.6666666666666,1786.6666666666667,893.3333333333334,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,247,1286,1055.48681640625,1056.0,1040,2432,1072.0,1088.0,1071.6666666666667,879.5723470052084,880.0,866.6666666666666,2026.6666666666667,893.3333333333334,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,248,1281,1050.0536651611328,1056.0,1040,2160,1056.0,1088.0,1067.5,875.0447209676107,880.0,866.6666666666666,1800.0,880.0,906.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,249,1288,1058.926399230957,1056.0,1040,2144,1072.0,1104.0,1073.3333333333333,882.4386660257975,880.0,866.6666666666666,1786.6666666666667,893.3333333333334,920.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,250,1289,1058.9869079589844,1056.0,1040,2240,1072.0,1104.0,1074.1666666666667,882.4890899658203,880.0,866.6666666666666,1866.6666666666667,893.3333333333334,920.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,251,1289,1058.9375305175781,1056.0,1040,2288,1072.0,1104.0,1074.1666666666667,882.4479420979818,880.0,866.6666666666666,1906.6666666666667,893.3333333333334,920.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,252,1289,1058.9525299072266,1056.0,1040,2144,1072.0,1104.0,1074.1666666666667,882.4604415893555,880.0,866.6666666666666,1786.6666666666667,893.3333333333334,920.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,253,1289,1058.9327011108398,1056.0,1040,2432,1072.0,1104.0,1074.1666666666667,882.4439175923666,880.0,866.6666666666666,2026.6666666666667,893.3333333333334,920.0,0,2097152
